CodCirc2,NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNuaCand,LibNuaCand,NbVoix,RapportExprimes,RapportInscrits,Elu,CodCirc,CodDept,CodeReg,index,LibCirElec,NbSap,CodReg,CodDpt
92010,8,SOUBELET,Cécile,Mme,UG,Union de la gauche,21466,"41,77","26,74",NON,9210,92,11,98,10ème circonscription,1,11,92
92012,6,BERGER,Jean-Didier,M.,LR,Les Républicains,34455,"54,31","36,72",OUI,9212,92,11,100,12ème circonscription,1,11,92
92012,7,ADJROUD,Lounes,M.,UG,Union de la gauche,28985,"45,69","30,89",NON,9212,92,11,100,12ème circonscription,1,11,92
92013,2,GAILLARD,Brice,M.,UG,Union de la gauche,26044,"43,88","29,15",NON,9213,92,11,101,13ème circonscription,1,11,92
92013,4,BREGEON,Maud,Mme,ENS,Ensemble ! (Majorité présidentielle),33310,"56,12","37,28",OUI,9213,92,11,101,13ème circonscription,1,11,92
93003,2,PORTES,Thomas,M.,UG,Union de la gauche,30688,"69,71","39,60",OUI,9303,93,11,104,3ème circonscription,1,11,93
93003,10,CRETIN-GIELLY,Denis,M.,RN,Rassemblement National,13335,"30,29","17,21",NON,9303,93,11,104,3ème circonscription,1,11,93
93004,2,BOUROUAHA,Soumya,Mme,UG,Union de la gauche,19486,"69,98","28,88",OUI,9304,93,11,105,4ème circonscription,1,11,93
93004,3,AWAD,Mohamed,M.,FI,La France insoumise,8361,"30,02","12,39",NON,9304,93,11,105,4ème circonscription,1,11,93
93005,3,LAGARDE,Aude,Mme,UDI,Union des Démocrates et Indépendants,13362,"39,45","20,26",NON,9305,93,11,106,5ème circonscription,1,11,93
93005,5,DIOUARA,Aly,M.,UG,Union de la gauche,20511,"60,55","31,11",OUI,9305,93,11,106,5ème circonscription,1,11,93
93007,2,CORBIÈRE,Alexis,M.,DVG,Divers gauche,25033,"57,16","29,98",OUI,9307,93,11,108,7ème circonscription,1,11,93
93007,10,ALI-BENALI,Sabrina,Mme,UG,Union de la gauche,18759,"42,84","22,47",NON,9307,93,11,108,7ème circonscription,1,11,93
93008,6,JOLIVET,Sébastien,M.,RN,Rassemblement National,11301,"31,59","18,01",NON,9308,93,11,109,8ème circonscription,1,11,93
93008,8,KELOUA HACHI,Fatiha,Mme,UG,Union de la gauche,24476,"68,41","39,02",OUI,9308,93,11,109,8ème circonscription,1,11,93
93012,4,LEGAVRE,Jérôme,M.,UG,Union de la gauche,22974,"64,59","34,60",OUI,9312,93,11,113,12ème circonscription,1,11,93
93012,5,PERIER,Jean-François,M.,RN,Rassemblement National,12596,"35,41","18,97",NON,9312,93,11,113,12ème circonscription,1,11,93
94001,2,LOUFFOK,Lyes,M.,UG,Union de la gauche,21897,"36,63","25,47",NON,9401,94,11,114,1ère circonscription,1,11,94
94001,3,BERRIOS,Sylvain,M.,DVD,Divers droite,29142,"48,75","33,90",OUI,9401,94,11,114,1ère circonscription,1,11,94
94001,7,SABOURIN,Anne-Gaëlle,Mme,RN,Rassemblement National,8738,"14,62","10,16",NON,9401,94,11,114,1ère circonscription,1,11,94
94003,5,BARBOTIN,Arnaud,M.,UXD,Union de l'extrême droite,13810,"30,15","18,56",NON,9403,94,11,116,3ème circonscription,1,11,94
94003,7,SIGNOR,Loïc,M.,ENS,Ensemble ! (Majorité présidentielle),10507,"22,94","14,12",NON,9403,94,11,116,3ème circonscription,1,11,94
94003,8,BOYARD,Louis,M.,UG,Union de la gauche,21492,"46,92","28,89",OUI,9403,94,11,116,3ème circonscription,1,11,94
94004,3,PHILIPPET,Alain,M.,RN,Rassemblement National,13789,"27,37","18,41",NON,9404,94,11,117,4ème circonscription,1,11,94
94004,5,AMARA,Adel,M.,UG,Union de la gauche,18140,"36,00","24,22",NON,9404,94,11,117,4ème circonscription,1,11,94
94004,10,PETIT,Maud,Mme,ENS,Ensemble ! (Majorité présidentielle),18454,"36,63","24,63",OUI,9404,94,11,117,4ème circonscription,1,11,94
94005,2,LEGER,Julien,M.,UG,Union de la gauche,23845,"39,44","26,00",NON,9405,94,11,118,5ème circonscription,1,11,94
94005,5,HUGUENIN-RICHARD,Isabelle,Mme,RN,Rassemblement National,10448,"17,28","11,39",NON,9405,94,11,118,5ème circonscription,1,11,94
94005,6,LEFEVRE,Mathieu,M.,ENS,Ensemble ! (Majorité présidentielle),26159,"43,27","28,52",OUI,9405,94,11,118,5ème circonscription,1,11,94
94006,1,BOUHADA,May,Mme,UG,Union de la gauche,26049,"47,46","31,60",NON,9406,94,11,119,6ème circonscription,1,11,94
94006,5,GOUFFIER VALENTE,Guillaume,M.,ENS,Ensemble ! (Majorité présidentielle),28834,"52,54","34,97",OUI,9406,94,11,119,6ème circonscription,1,11,94
94007,2,KEKE,Rachel,Mme,UG,Union de la gauche,20088,"49,33","30,07",NON,9407,94,11,120,7ème circonscription,1,11,94
94007,6,JEANBRUN,Vincent,M.,LR,Les Républicains,20633,"50,67","30,88",OUI,9407,94,11,120,7ème circonscription,1,11,94
94008,1,MARTINS PEREIRA,Joao,M.,UG,Union de la gauche,21743,"41,56","28,23",NON,9408,94,11,121,8ème circonscription,1,11,94
94008,2,HERBILLON,Michel,M.,LR,Les Républicains,30568,"58,44","39,69",OUI,9408,94,11,121,8ème circonscription,1,11,94
95001,2,JULES-ARTHUR,Maximillien,M.,UG,Union de la gauche,20534,"36,63","24,44",NON,9501,95,11,125,1ère circonscription,1,11,95
95001,6,SICARD,Anne,Mme,RN,Rassemblement National,21025,"37,51","25,02",OUI,9501,95,11,125,1ère circonscription,1,11,95
95001,8,CHANDLER,Émilie,Mme,ENS,Ensemble ! (Majorité présidentielle),14494,"25,86","17,25",NON,9501,95,11,125,1ère circonscription,1,11,95
95002,2,REMY,Nadejda,Mme,RN,Rassemblement National,19281,"40,49","24,47",NON,9502,95,11,126,2ème circonscription,1,11,95
95002,6,HADIZADEH,Ayda,Mme,UG,Union de la gauche,28342,"59,51","35,97",OUI,9502,95,11,126,2ème circonscription,1,11,95
95003,2,LELAIDIER,Kimberley,Mme,RN,Rassemblement National,21860,"37,46","22,70",NON,9503,95,11,127,3ème circonscription,1,11,95
95003,4,MAUREL,Emmanuel,M.,UG,Union de la gauche,36489,"62,54","37,88",OUI,9503,95,11,127,3ème circonscription,1,11,95
95004,2,LACOUTURE,Karine,Mme,UG,Union de la gauche,20008,"44,61","26,24",NON,9504,95,11,128,4ème circonscription,1,11,95
95004,6,MOUTCHOU,Naïma,Mme,ENS,Ensemble ! (Majorité présidentielle),24840,"55,39","32,57",OUI,9504,95,11,128,4ème circonscription,1,11,95
95006,1,FOLEST,Estelle,Mme,ENS,Ensemble ! (Majorité présidentielle),16149,"33,05","21,31",NON,9506,95,11,130,6ème circonscription,1,11,95
95006,4,CATHALA,Gabrielle,Mme,UG,Union de la gauche,21326,"43,64","28,14",OUI,9506,95,11,130,6ème circonscription,1,11,95
95006,9,BRUNA,Annika,Mme,RN,Rassemblement National,11389,"23,31","15,03",NON,9506,95,11,130,6ème circonscription,1,11,95
95007,4,ESKENAZI,Romain,M.,UG,Union de la gauche,24713,"60,57","36,04",OUI,9507,95,11,131,7ème circonscription,1,11,95
95007,10,QUENTIN,David,M.,RN,Rassemblement National,16088,"39,43","23,46",NON,9507,95,11,131,7ème circonscription,1,11,95
95009,7,MARION,Agnès,Mme,RN,Rassemblement National,15764,"39,73","22,00",NON,9509,95,11,133,9ème circonscription,1,11,95
95009,9,LE GALL,Arnaud,M.,UG,Union de la gauche,23918,"60,27","33,38",OUI,9509,95,11,133,9ème circonscription,1,11,95
95010,4,TACHÉ,Aurélien,M.,UG,Union de la gauche,26852,"69,62","40,19",OUI,9510,95,11,134,10ème circonscription,1,11,95
95010,6,MACÉ,Lisbeth,Mme,RN,Rassemblement National,11716,"30,38","17,54",NON,9510,95,11,134,10ème circonscription,1,11,95
18001,1,CORMIER-BOULIGEON,François,M.,ENS,Ensemble ! (Majorité présidentielle),25595,"56,82","36,36",OUI,1801,18,24,135,1ère circonscription,1,24,18
18001,4,IANNUZZI,Ugo,M.,RN,Rassemblement National,19452,"43,18","27,63",NON,1801,18,24,135,1ère circonscription,1,24,18
18002,3,DUENAS,Bastian,M.,RN,Rassemblement National,20220,"49,37","29,53",NON,1802,18,24,136,2ème circonscription,1,24,18
18002,6,SANSU,Nicolas,M.,UG,Union de la gauche,20740,"50,63","30,29",OUI,1802,18,24,136,2ème circonscription,1,24,18
18003,1,GENTILLET,Pierre,M.,RN,Rassemblement National,25578,"47,21","30,57",NON,1803,18,24,137,3ème circonscription,1,24,18
18003,6,KERVRAN,Loïc,M.,ENS,Ensemble ! (Majorité présidentielle),28602,"52,79","34,19",OUI,1803,18,24,137,3ème circonscription,1,24,18
28001,1,KASBARIAN,Guillaume,M.,ENS,Ensemble ! (Majorité présidentielle),35842,"60,59","39,13",OUI,2801,28,24,138,1ère circonscription,1,24,28
28001,3,MINOT,Emma,Mme,RN,Rassemblement National,23315,"39,41","25,46",NON,2801,28,24,138,1ère circonscription,1,24,28
28002,3,MARLEIX,Olivier,M.,LR,Les Républicains,26422,"57,25","34,96",OUI,2802,28,24,139,2ème circonscription,1,24,28
28002,4,DUBOIS,Olivier,M.,RN,Rassemblement National,19727,"42,75","26,10",NON,2802,28,24,139,2ème circonscription,1,24,28
28003,1,BAY,Christophe,M.,RN,Rassemblement National,21478,"47,42","30,18",NON,2803,28,24,140,3ème circonscription,1,24,28
28003,3,HUWART,Harold,M.,DVC,Divers centre,23815,"52,58","33,47",OUI,2803,28,24,140,3ème circonscription,1,24,28
28004,1,VIGIER,Philippe,M.,ENS,Ensemble ! (Majorité présidentielle),22542,"51,74","33,46",OUI,2804,28,24,141,4ème circonscription,1,24,28
28004,4,PECOUT,Roger,M.,UXD,Union de l'extrême droite,21025,"48,26","31,21",NON,2804,28,24,141,4ème circonscription,1,24,28
36001,4,JOLIVET,François,M.,HOR,Horizons,27060,"55,51","35,10",OUI,3601,36,24,142,1ère circonscription,1,24,36
36001,5,WUNSCH,Mylène,Mme,RN,Rassemblement National,21689,"44,49","28,14",NON,3601,36,24,142,1ère circonscription,1,24,36
36002,4,FORISSIER,Nicolas,M.,LR,Les Républicains,30423,"52,76","34,82",OUI,3602,36,24,143,2ème circonscription,1,24,36
36002,5,SIFFERT,Marc,M.,UXD,Union de l'extrême droite,27242,"47,24","31,18",NON,3602,36,24,143,2ème circonscription,1,24,36
37001,4,PIERRE,Benoist,M.,ENS,Ensemble ! (Majorité présidentielle),17169,"42,09","23,85",NON,3701,37,24,144,1ère circonscription,1,24,37
37001,6,FOURNIER,Charles,M.,UG,Union de la gauche,23624,"57,91","32,82",OUI,3701,37,24,144,1ère circonscription,1,24,37
37002,1,LABARONNE,Daniel,M.,ENS,Ensemble ! (Majorité présidentielle),37343,"59,99","40,09",OUI,3702,37,24,145,2ème circonscription,1,24,37
37002,3,FOUGERON,Corine,Mme,RN,Rassemblement National,24906,"40,01","26,74",NON,3702,37,24,145,2ème circonscription,1,24,37
37003,2,ALFANDARI,Henri,M.,ENS,Ensemble ! (Majorité présidentielle),41028,"62,24","41,26",OUI,3703,37,24,146,3ème circonscription,1,24,37
37003,5,ROBIN,Jules,M.,UXD,Union de l'extrême droite,24896,"37,76","25,04",NON,3703,37,24,146,3ème circonscription,1,24,37
37004,4,BAUMEL,Laurent,M.,UG,Union de la gauche,33179,"57,41","35,78",OUI,3704,37,24,147,4ème circonscription,1,24,37
37004,5,BELLANGER,Jean-François,M.,RN,Rassemblement National,24615,"42,59","26,54",NON,3704,37,24,147,4ème circonscription,1,24,37
37005,4,DUCAMP,François,M.,RN,Rassemblement National,23869,"40,73","27,22",NON,3705,37,24,148,5ème circonscription,1,24,37
37005,6,THILLAYE,Sabine,Mme,ENS,Ensemble ! (Majorité présidentielle),34741,"59,27","39,62",OUI,3705,37,24,148,5ème circonscription,1,24,37
41001,3,FESNEAU,Marc,M.,ENS,Ensemble ! (Majorité présidentielle),32334,"60,20","39,06",OUI,4101,41,24,149,1ère circonscription,1,24,41
41001,5,BARDET,Marine,Mme,RN,Rassemblement National,21378,"39,80","25,83",NON,4101,41,24,149,1ère circonscription,1,24,41
41002,4,AUCANTE,Nils,M.,DVD,Divers droite,24855,"47,76","30,96",NON,4102,41,24,150,2ème circonscription,1,24,41
41002,7,CHUDEAU,Roger,M.,RN,Rassemblement National,27188,"52,24","33,86",OUI,4102,41,24,150,2ème circonscription,1,24,41
41003,1,MARION,Christophe,M.,ENS,Ensemble ! (Majorité présidentielle),30055,"54,72","37,08",OUI,4103,41,24,151,3ème circonscription,1,24,41
41003,3,DE OLIVEIRA,Virginia,Mme,RN,Rassemblement National,24875,"45,28","30,69",NON,4103,41,24,151,3ème circonscription,1,24,41
45001,1,RABAULT,Tiffanie,Mme,RN,Rassemblement National,16667,"32,32","21,29",NON,4501,45,24,152,1ère circonscription,1,24,45
45001,6,RIST,Stéphanie,Mme,ENS,Ensemble ! (Majorité présidentielle),34909,"67,68","44,59",OUI,4501,45,24,152,1ère circonscription,1,24,45
45002,5,DUPLESSY,Emmanuel,M.,UG,Union de la gauche,29934,"56,15","33,78",OUI,4502,45,24,153,2ème circonscription,1,24,45
45002,7,BABIN,Elodie,Mme,RN,Rassemblement National,23375,"43,85","26,38",NON,4502,45,24,153,2ème circonscription,1,24,45
45003,1,DE PÉLICHY,Constance,Mme,DVD,Divers droite,23863,"51,11","33,87",OUI,4503,45,24,154,3ème circonscription,1,24,45
45003,3,PARIS,Mathilde,Mme,RN,Rassemblement National,22827,"48,89","32,40",NON,4503,45,24,154,3ème circonscription,1,24,45
45004,3,NOTTIN,Bruno,M.,UG,Union de la gauche,16104,"37,41","21,73",NON,4504,45,24,155,4ème circonscription,1,24,45
45004,7,MÉNAGÉ,Thomas,M.,RN,Rassemblement National,26947,"62,59","36,36",OUI,4504,45,24,155,4ème circonscription,1,24,45
45005,1,LACAPELLE,Jean-Lin,M.,RN,Rassemblement National,23335,"49,30","31,70",NON,4505,45,24,156,5ème circonscription,1,24,45
45005,5,BROSSE,Anthony,M.,ENS,Ensemble ! (Majorité présidentielle),23999,"50,70","32,61",OUI,4505,45,24,156,5ème circonscription,1,24,45
45006,1,RAMOS,Richard,M.,ENS,Ensemble ! (Majorité présidentielle),31737,"63,31","41,70",OUI,4506,45,24,157,6ème circonscription,1,24,45
45006,2,ZELLER,Anthony,M.,RN,Rassemblement National,18392,"36,69","24,17",NON,4506,45,24,157,6ème circonscription,1,24,45
21001,1,GODARD,Océane,Mme,UG,Union de la gauche,18716,"37,15","26,54",OUI,2101,21,27,158,1ère circonscription,1,27,21
21001,4,MARTIN,Didier,M.,ENS,Ensemble ! (Majorité présidentielle),17314,"34,36","24,56",NON,2101,21,27,158,1ère circonscription,1,27,21
21001,5,HUMBLOT-CORNILLE,Cyline,Mme,RN,Rassemblement National,14356,"28,49","20,36",NON,2101,21,27,158,1ère circonscription,1,27,21
21002,1,GUYENOT,Tatiana,Mme,RN,Rassemblement National,21184,"46,37","29,41",NON,2102,21,27,159,2ème circonscription,1,27,21
21002,2,HERVIEU,Catherine,Mme,UG,Union de la gauche,24498,"53,63","34,01",OUI,2102,21,27,159,2ème circonscription,1,27,21
21003,4,PRIBETICH,Pierre,M.,UG,Union de la gauche,24555,"53,15","33,89",OUI,2103,21,27,160,3ème circonscription,1,27,21
21003,5,COUDERT,Thierry,M.,UXD,Union de l'extrême droite,21646,"46,85","29,88",NON,2103,21,27,160,3ème circonscription,1,27,21
21004,1,BRIGAND,Hubert,M.,LR,Les Républicains,25179,"53,96","37,33",OUI,2104,21,27,161,4ème circonscription,1,27,21
21004,2,DUMONT,Sophie,Mme,RN,Rassemblement National,21481,"46,04","31,85",NON,2104,21,27,161,4ème circonscription,1,27,21
21005,1,PARIS,Didier,M.,ENS,Ensemble ! (Majorité présidentielle),28634,"49,96","33,46",NON,2105,21,27,162,5ème circonscription,1,27,21
21005,6,LIORET,René,M.,RN,Rassemblement National,28676,"50,04","33,51",OUI,2105,21,27,162,5ème circonscription,1,27,21
25001,3,LUTZ,Thomas,M.,RN,Rassemblement National,17261,"32,31","22,77",NON,2501,25,27,163,1ère circonscription,1,27,25
25001,6,VÉZIÈS,Séverine,Mme,UG,Union de la gauche,16830,"31,51","22,20",NON,2501,25,27,163,1ère circonscription,1,27,25
25001,7,CROIZIER,Laurent,M.,ENS,Ensemble ! (Majorité présidentielle),19324,"36,18","25,49",OUI,2501,25,27,163,1ère circonscription,1,27,25
25002,1,VOYNET,Dominique,Mme,UG,Union de la gauche,31053,"59,95","39,36",OUI,2502,25,27,164,2ème circonscription,1,27,25
25002,3,FUSIS,Eric,M.,RN,Rassemblement National,20749,"40,05","26,30",NON,2502,25,27,164,2ème circonscription,1,27,25
25003,1,BLOCH,Matthieu,M.,UXD,Union de l'extrême droite,21543,"50,76","33,27",OUI,2503,25,27,165,3ème circonscription,1,27,25
25003,4,PACQUOT,Nicolas,M.,ENS,Ensemble ! (Majorité présidentielle),20901,"49,24","32,28",NON,2503,25,27,165,3ème circonscription,1,27,25
25004,2,GRANGIER,Géraldine,Mme,RN,Rassemblement National,22274,"54,85","34,01",OUI,2504,25,27,166,4ème circonscription,1,27,25
25004,3,DUVERNOIS,Magali,Mme,UG,Union de la gauche,18333,"45,15","28,00",NON,2504,25,27,166,4ème circonscription,1,27,25
25005,3,GENEVARD,Annie,Mme,LR,Les Républicains,35576,"62,69","41,72",OUI,2505,25,27,167,5ème circonscription,1,27,25
25005,6,JEANDENAND,Floriane,Mme,RN,Rassemblement National,21173,"37,31","24,83",NON,2505,25,27,167,5ème circonscription,1,27,25
39001,1,GRABY,Valérie,Mme,RN,Rassemblement National,19049,"43,15","29,34",NON,3901,39,27,168,1ère circonscription,1,27,39
39001,4,BRULEBOIS,Danielle,Mme,ENS,Ensemble ! (Majorité présidentielle),25097,"56,85","38,65",OUI,3901,39,27,168,1ère circonscription,1,27,39
39002,5,MOSCA,Thierry,M.,RN,Rassemblement National,12568,"34,98","22,57",NON,3902,39,27,169,2ème circonscription,1,27,39
39002,6,DALLOZ,Marie-Christine,Mme,LR,Les Républicains,23359,"65,02","41,94",OUI,3902,39,27,169,2ème circonscription,1,27,39
39003,3,GRUET,Justine,Mme,LR,Les Républicains,26822,"56,19","38,20",OUI,3903,39,27,170,3ème circonscription,1,27,39
39003,4,VUILLEMIN-PLANCON,Aurore,Mme,RN,Rassemblement National,20915,"43,81","29,79",NON,3903,39,27,170,3ème circonscription,1,27,39
58001,2,GOULET,Perrine,Mme,ENS,Ensemble ! (Majorité présidentielle),24627,"53,67","33,34",OUI,5801,58,27,171,1ère circonscription,1,27,58
58001,6,GALLOIS,Charles-Henri,M.,RN,Rassemblement National,21256,"46,33","28,78",NON,5801,58,27,171,1ère circonscription,1,27,58
58002,2,PAUL,Christian,M.,UG,Union de la gauche,22686,"45,18","28,80",NON,5802,58,27,172,2ème circonscription,1,27,58
58002,6,GUIBERT,Julien,M.,RN,Rassemblement National,27522,"54,82","34,94",OUI,5802,58,27,172,2ème circonscription,1,27,58
70001,3,CHRETIEN,Alain,M.,ENS,Ensemble ! (Majorité présidentielle),27812,"46,46","31,48",NON,7001,70,27,173,1ère circonscription,1,27,70
70001,4,VILLEDIEU,Antoine,M.,RN,Rassemblement National,32044,"53,54","36,27",OUI,7001,70,27,173,1ère circonscription,1,27,70
71001,2,DIRX,Benjamin,M.,ENS,Ensemble ! (Majorité présidentielle),30145,"60,56","40,05",OUI,7101,71,27,175,1ère circonscription,1,27,71
71001,4,DREVET,Rachel,Mme,RN,Rassemblement National,19636,"39,44","26,09",NON,7101,71,27,175,1ère circonscription,1,27,71
71002,2,DAMIEN,Olivier,M.,RN,Rassemblement National,21360,"41,61","27,87",NON,7102,71,27,176,2ème circonscription,1,27,71
71002,5,CORNELOUP,Josiane,Mme,LR,Les Républicains,29977,"58,39","39,12",OUI,7102,71,27,176,2ème circonscription,1,27,71
71003,1,REBEYROTTE,Rémy,M.,ENS,Ensemble ! (Majorité présidentielle),26458,"49,94","32,71",NON,7103,71,27,177,3ème circonscription,1,27,71
71003,7,DUTREMBLE,Aurélien,M.,RN,Rassemblement National,26523,"50,06","32,79",OUI,7103,71,27,177,3ème circonscription,1,27,71
71004,3,UNTERMAIER,Cécile,Mme,UG,Union de la gauche,24283,"45,34","29,38",NON,7104,71,27,178,4ème circonscription,1,27,71
71004,4,MICHOUX,Eric,M.,UXD,Union de l'extrême droite,29272,"54,66","35,42",OUI,7104,71,27,178,4ème circonscription,1,27,71
71005,2,SANVERT,Arnaud,M.,RN,Rassemblement National,22657,"40,57","26,35",OUI,7105,71,27,179,5ème circonscription,1,27,71
71005,3,PLATRET,Gilles,M.,DVD,Divers droite,15593,"27,92","18,14",NON,7105,71,27,179,5ème circonscription,1,27,71
71005,4,KOURICHE,Fatima,Mme,UG,Union de la gauche,17591,"31,50","20,46",NON,7105,71,27,179,5ème circonscription,1,27,71
89001,5,LOURY,Florence,Mme,UG,Union de la gauche,22459,"48,62","29,95",NON,8901,89,27,180,1ère circonscription,1,27,89
89001,6,GRENON,Daniel,M.,RN,Rassemblement National,23736,"51,38","31,66",OUI,8901,89,27,180,1ère circonscription,1,27,89
89002,1,ROY,Sophie-Laurence,Mme,UXD,Union de l'extrême droite,23736,"50,42","32,85",OUI,8902,89,27,181,2ème circonscription,1,27,89
89002,5,VILLIERS,André,M.,ENS,Ensemble ! (Majorité présidentielle),23341,"49,58","32,30",NON,8902,89,27,181,2ème circonscription,1,27,89
90001,2,MANCK,Carine,Mme,RN,Rassemblement National,14108,"44,62","29,66",NON,9001,90,27,183,1ère circonscription,1,27,90
90001,3,BOUCARD,Ian,M.,LR,Les Républicains,17512,"55,38","36,82",OUI,9001,90,27,183,1ère circonscription,1,27,90
90002,2,CHAUCHE,Florian,M.,UG,Union de la gauche,14209,"49,41","30,60",NON,9002,90,27,184,2ème circonscription,1,27,90
90002,6,BIGOT,Guillaume,M.,RN,Rassemblement National,14546,"50,59","31,33",OUI,9002,90,27,184,2ème circonscription,1,27,90
14001,1,FOURREAU,Emma,Mme,UG,Union de la gauche,19229,"40,13","26,24",NON,1401,14,28,185,1ère circonscription,1,28,14
14001,4,BRUNEAU,Joël,M.,DVD,Divers droite,28691,"59,87","39,15",OUI,1401,14,28,185,1ère circonscription,1,28,14
14002,3,DELAPORTE,Arthur,M.,UG,Union de la gauche,29761,"68,28","43,11",OUI,1402,14,28,186,2ème circonscription,1,28,14
14002,4,LIBAN,Josseline,Mme,RN,Rassemblement National,13823,"31,72","20,02",NON,1402,14,28,186,2ème circonscription,1,28,14
14003,4,PATRIER-LEITUS,Jérémie,M.,ENS,Ensemble ! (Majorité présidentielle),28545,"54,78","35,69",OUI,1403,14,28,187,3ème circonscription,1,28,14
14003,7,FAUVAGE,Edouard,M.,RN,Rassemblement National,23562,"45,22","29,46",NON,1403,14,28,187,3ème circonscription,1,28,14
14004,5,HENRY,Chantal,Mme,RN,Rassemblement National,28610,"40,58","27,28",NON,1404,14,28,188,4ème circonscription,1,28,14
14004,7,BLANCHET,Christophe,M.,ENS,Ensemble ! (Majorité présidentielle),41893,"59,42","39,95",OUI,1404,14,28,188,4ème circonscription,1,28,14
14005,3,BOUYX,Bertrand,M.,ENS,Ensemble ! (Majorité présidentielle),39408,"61,68","42,40",OUI,1405,14,28,189,5ème circonscription,1,28,14
14005,7,CHAPRON,Philippe,M.,RN,Rassemblement National,24486,"38,32","26,34",NON,1405,14,28,189,5ème circonscription,1,28,14
14006,1,CALBRIX,Nicolas,M.,RN,Rassemblement National,27851,"43,64","28,90",NON,1406,14,28,190,6ème circonscription,1,28,14
14006,6,BORNE,Elisabeth,Mme,ENS,Ensemble ! (Majorité présidentielle),35962,"56,36","37,32",OUI,1406,14,28,190,6ème circonscription,1,28,14
27001,4,LOIR,Christine,Mme,RN,Rassemblement National,27889,"50,83","31,91",OUI,2701,27,28,191,1ère circonscription,1,28,27
27001,5,CANIN,Julien,M.,ENS,Ensemble ! (Majorité présidentielle),26983,"49,17","30,87",NON,2701,27,28,191,1ère circonscription,1,28,27
27002,2,VEYRI,Timour,M.,UG,Union de la gauche,22573,"45,63","28,53",NON,2702,27,28,192,2ème circonscription,1,28,27
27002,3,LEVAVASSEUR,Katiana,Mme,RN,Rassemblement National,26895,"54,37","33,99",OUI,2702,27,28,192,2ème circonscription,1,28,27
27003,2,MAUVIEUX,Kévin,M.,RN,Rassemblement National,31416,"56,80","36,68",OUI,2703,27,28,193,3ème circonscription,1,28,27
27003,5,TAMARELLE VERHAEGHE,Marie,Mme,ENS,Ensemble ! (Majorité présidentielle),23892,"43,20","27,89",NON,2703,27,28,193,3ème circonscription,1,28,27
27004,2,BRUN,Philippe,M.,UG,Union de la gauche,31914,"52,83","34,14",OUI,2704,27,28,194,4ème circonscription,1,28,27
27004,4,PAUPER,Patrice,M.,RN,Rassemblement National,28495,"47,17","30,48",NON,2704,27,28,194,4ème circonscription,1,28,27
27005,4,HOUSSIN,Timothée,M.,RN,Rassemblement National,29337,"51,13","32,66",OUI,2705,27,28,195,5ème circonscription,1,28,27
27005,7,DUCHÉ,Frédéric,M.,ENS,Ensemble ! (Majorité présidentielle),28035,"48,87","31,21",NON,2705,27,28,195,5ème circonscription,1,28,27
50001,4,GOSSELIN,Philippe,M.,DVD,Divers droite,36531,"63,45","42,12",OUI,5001,50,28,196,1ère circonscription,1,28,50
50001,5,SIMON,Franck,M.,RN,Rassemblement National,21046,"36,55","24,27",NON,5001,50,28,196,1ère circonscription,1,28,50
50002,2,SORRE,Bertrand,M.,ENS,Ensemble ! (Majorité présidentielle),40472,"62,90","41,82",OUI,5002,50,28,197,2ème circonscription,1,28,50
50002,5,KURDZIEL,Marie-Françoise,Mme,RN,Rassemblement National,23870,"37,10","24,66",NON,5002,50,28,197,2ème circonscription,1,28,50
50003,2,GIRY,Pierre,M.,UXD,Union de l'extrême droite,30844,"41,33","27,76",NON,5003,50,28,198,3ème circonscription,1,28,50
50003,7,TRAVERT,Stéphane,M.,ENS,Ensemble ! (Majorité présidentielle),43785,"58,67","39,41",OUI,5003,50,28,198,3ème circonscription,1,28,50
50004,3,CONQUER,Nicolas,M.,UXD,Union de l'extrême droite,22166,"40,36","25,00",NON,5004,50,28,199,4ème circonscription,1,28,50
50004,6,PIC,Anna,Mme,UG,Union de la gauche,32748,"59,64","36,93",OUI,5004,50,28,199,4ème circonscription,1,28,50
61001,5,JOURDAN,Chantal,Mme,UG,Union de la gauche,22804,"53,89","33,44",OUI,6101,61,28,200,1ère circonscription,1,28,61
61001,7,BELZIDSKY,Nadine,Mme,RN,Rassemblement National,19511,"46,11","28,61",NON,6101,61,28,200,1ère circonscription,1,28,61
61002,3,LOUWAGIE,Véronique,Mme,DVD,Divers droite,23433,"54,43","36,31",OUI,6102,61,28,201,2ème circonscription,1,28,61
61002,6,VIENNE,Gérard,M.,RN,Rassemblement National,19621,"45,57","30,40",NON,6102,61,28,201,2ème circonscription,1,28,61
61003,3,PETCHENINA,Ludmila,Mme,RN,Rassemblement National,16226,"35,27","22,96",NON,6103,61,28,202,3ème circonscription,1,28,61
61003,4,NURY,Jérôme,M.,DVD,Divers droite,29782,"64,73","42,15",OUI,6103,61,28,202,3ème circonscription,1,28,61
76001,6,HEROUIN-LÉAUTEY,Florence,Mme,UG,Union de la gauche,22790,"51,23","34,21",OUI,7601,76,28,203,1ère circonscription,1,28,76
76001,7,HOUDAN,Grégoire,M.,RN,Rassemblement National,9009,"20,25","13,52",NON,7601,76,28,203,1ère circonscription,1,28,76
76001,8,ADAM,Damien,M.,ENS,Ensemble ! (Majorité présidentielle),12690,"28,52","19,05",NON,7601,76,28,203,1ère circonscription,1,28,76
