CodCirc2,NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNuaCand,LibNuaCand,NbVoix,RapportExprimes,RapportInscrits,Elu,CodCirc,CodDept,CodeReg,index,LibCirElec,NbSap,CodReg,CodDpt,Elu2,Elu1
13016,5,TACHE DE LA PAGERIE,Emmanuel,M.,RN,Rassemblement National,32359,"56,13","35,29",OUI,1316,13,93,559.0,16ème circonscription,1,93,13,OUI,
14001,4,BRUNEAU,Joël,M.,DVD,Divers droite,28691,"59,87","39,15",OUI,1401,14,28,185.0,1ère circonscription,1,28,14,OUI,
14002,3,DELAPORTE,Arthur,M.,UG,Union de la gauche,29761,"68,28","43,11",OUI,1402,14,28,186.0,2ème circonscription,1,28,14,OUI,
14003,4,PATRIER-LEITUS,Jérémie,M.,ENS,Ensemble ! (Majorité présidentielle),28545,"54,78","35,69",OUI,1403,14,28,187.0,3ème circonscription,1,28,14,OUI,
14004,7,BLANCHET,Christophe,M.,ENS,Ensemble ! (Majorité présidentielle),41981,"59,46","40,03",OUI,1404,14,28,188.0,4ème circonscription,1,28,14,OUI,
14005,3,BOUYX,Bertrand,M.,ENS,Ensemble ! (Majorité présidentielle),39408,"61,68","42,40",OUI,1405,14,28,189.0,5ème circonscription,1,28,14,OUI,
14006,6,BORNE,Elisabeth,Mme,ENS,Ensemble ! (Majorité présidentielle),35962,"56,36","37,32",OUI,1406,14,28,190.0,6ème circonscription,1,28,14,OUI,
15001,1,DESCOEUR,Vincent,M.,DVD,Divers droite,28330,"65,89","45,46",OUI,1501,15,84,478.0,1ère circonscription,1,84,15,OUI,
15002,7,BONY,Jean Yves,M.,DVD,Divers droite,21585,"60,71","41,27",OUI,1502,15,84,479.0,2ème circonscription,1,84,15,OUI,
16001,4,PILATO,René,M.,UG,Union de la gauche,20288,"35,75","24,08",OUI,1601,16,75,369.0,1ère circonscription,1,75,16,OUI,
16002,7,MARSAUD,Sandra,Mme,ENS,Ensemble ! (Majorité présidentielle),28350,"52,50","34,02",OUI,1602,16,75,370.0,2ème circonscription,1,75,16,OUI,
16003,4,COLOMBIER,Caroline,Mme,RN,Rassemblement National,30110,"52,22","33,21",OUI,1603,16,75,371.0,3ème circonscription,1,75,16,OUI,
17001,8,FALORNI,Olivier,M.,DVG,Divers gauche,54352,"74,71","48,58",OUI,1701,17,75,372.0,1ère circonscription,1,75,17,OUI,
17002,3,BITEAU,Benoît,M.,UG,Union de la gauche,37985,"53,39","33,42",OUI,1702,17,75,373.0,2ème circonscription,1,75,17,OUI,
17003,5,BARUSSEAU,Fabrice,M.,UG,Union de la gauche,26441,"50,06","31,58",OUI,1703,17,75,374.0,3ème circonscription,1,75,17,OUI,
17004,2,MARKOWSKY,Pascal,M.,RN,Rassemblement National,31356,"50,74","33,16",OUI,1704,17,75,375.0,4ème circonscription,1,75,17,OUI,
17005,2,PLASSARD,Christophe,M.,HOR,Horizons,42725,"52,11","35,51",OUI,1705,17,75,376.0,5ème circonscription,1,75,17,OUI,
18001,1,CORMIER-BOULIGEON,François,M.,ENS,Ensemble ! (Majorité présidentielle),25595,"56,82","36,36",OUI,1801,18,24,135.0,1ère circonscription,1,24,18,OUI,
18002,6,SANSU,Nicolas,M.,UG,Union de la gauche,20740,"50,63","30,29",OUI,1802,18,24,136.0,2ème circonscription,1,24,18,OUI,
18003,6,KERVRAN,Loïc,M.,ENS,Ensemble ! (Majorité présidentielle),28602,"52,79","34,19",OUI,1803,18,24,137.0,3ème circonscription,1,24,18,OUI,
19001,4,HOLLANDE,François,M.,UG,Union de la gauche,28751,"43,10","31,34",OUI,1901,19,75,377.0,1ère circonscription,1,75,19,OUI,
19002,3,MEUNIER,Frédérique,Mme,LR,Les Républicains,37354,"59,94","40,05",OUI,1902,19,75,378.0,2ème circonscription,1,75,19,OUI,
21001,1,GODARD,Océane,Mme,UG,Union de la gauche,18716,"37,15","26,54",OUI,2101,21,27,158.0,1ère circonscription,1,27,21,OUI,
21002,2,HERVIEU,Catherine,Mme,UG,Union de la gauche,24498,"53,63","34,01",OUI,2102,21,27,159.0,2ème circonscription,1,27,21,OUI,
21003,4,PRIBETICH,Pierre,M.,UG,Union de la gauche,24555,"53,15","33,89",OUI,2103,21,27,160.0,3ème circonscription,1,27,21,OUI,
21004,1,BRIGAND,Hubert,M.,LR,Les Républicains,25179,"53,96","37,33",OUI,2104,21,27,161.0,4ème circonscription,1,27,21,OUI,
21005,6,LIORET,René,M.,RN,Rassemblement National,28676,"50,04","33,51",OUI,2105,21,27,162.0,5ème circonscription,1,27,21,OUI,
22001,1,COSSON,Mickaël,M.,ENS,Ensemble ! (Majorité présidentielle),27186,"41,45","29,99",OUI,2201,22,53,342.0,1ère circonscription,1,53,22,OUI,
22002,5,BERVILLE,Hervé,M.,ENS,Ensemble ! (Majorité présidentielle),47119,"63,63","45,08",OUI,2202,22,53,343.0,2ème circonscription,1,53,22,OUI,
22003,1,LE FUR,Corentin,M.,LR,Les Républicains,41619,"67,97","46,54",OUI,2203,22,53,344.0,3ème circonscription,1,53,22,OUI,
22004,5,LEPVRAUD,Murielle,Mme,UG,Union de la gauche,28234,"54,75","34,62",OUI,2204,22,53,345.0,4ème circonscription,1,53,22,OUI,
22005,3,BOTHOREL,Eric,M.,ENS,Ensemble ! (Majorité présidentielle),32463,"41,21","30,13",OUI,2205,22,53,346.0,5ème circonscription,1,53,22,OUI,
23001,5,LENOIR,Bartolomé,M.,UXD,Union de l'extrême droite,23513,"37,69","26,14",OUI,2301,23,75,379.0,1ère circonscription,1,75,23,OUI,
24001,4,LECHON,Nadine,Mme,RN,Rassemblement National,24180,"50,09","30,96",OUI,2401,24,75,380.0,1ère circonscription,1,75,24,OUI,
24002,5,MULLER,Serge,M.,RN,Rassemblement National,28256,"52,05","33,52",OUI,2402,24,75,381.0,2ème circonscription,1,75,24,OUI,
24003,3,JOUBERT,Florence,Mme,RN,Rassemblement National,22589,"50,08","33,74",OUI,2403,24,75,382.0,3ème circonscription,1,75,24,OUI,
24004,3,PEYTAVIE,Sébastien,M.,UG,Union de la gauche,32750,"54,64","36,41",OUI,2404,24,75,383.0,4ème circonscription,1,75,24,OUI,
25001,7,CROIZIER,Laurent,M.,ENS,Ensemble ! (Majorité présidentielle),19324,"36,18","25,49",OUI,2501,25,27,163.0,1ère circonscription,1,27,25,OUI,
25002,1,VOYNET,Dominique,Mme,UG,Union de la gauche,31053,"59,95","39,36",OUI,2502,25,27,164.0,2ème circonscription,1,27,25,OUI,
25003,1,BLOCH,Matthieu,M.,UXD,Union de l'extrême droite,21543,"50,76","33,27",OUI,2503,25,27,165.0,3ème circonscription,1,27,25,OUI,
25004,2,GRANGIER,Géraldine,Mme,RN,Rassemblement National,22274,"54,85","34,01",OUI,2504,25,27,166.0,4ème circonscription,1,27,25,OUI,
25005,3,GENEVARD,Annie,Mme,LR,Les Républicains,35576,"62,69","41,72",OUI,2505,25,27,167.0,5ème circonscription,1,27,25,OUI,
26001,6,CHRISTOPHLE,Paul,M.,UG,Union de la gauche,27439,"56,24","35,33",OUI,2601,26,84,480.0,1ère circonscription,1,84,26,OUI,
26002,3,POLLET,Lisette,Mme,RN,Rassemblement National,33755,"58,28","34,74",OUI,2602,26,84,481.0,2ème circonscription,1,84,26,OUI,
26003,2,POCHON,Marie,Mme,UG,Union de la gauche,43483,"56,59","39,23",OUI,2603,26,84,482.0,3ème circonscription,1,84,26,OUI,
26004,6,MONNIER,Thibaut,M.,RN,Rassemblement National,29846,"41,96","29,63",OUI,2604,26,84,483.0,4ème circonscription,1,84,26,OUI,
27001,4,LOIR,Christine,Mme,RN,Rassemblement National,27886,"50,83","31,90",OUI,2701,27,28,191.0,1ère circonscription,1,28,27,OUI,
27002,3,LEVAVASSEUR,Katiana,Mme,RN,Rassemblement National,26895,"54,37","33,99",OUI,2702,27,28,192.0,2ème circonscription,1,28,27,OUI,
27003,2,MAUVIEUX,Kévin,M.,RN,Rassemblement National,31416,"56,80","36,68",OUI,2703,27,28,193.0,3ème circonscription,1,28,27,OUI,
27004,2,BRUN,Philippe,M.,UG,Union de la gauche,31914,"52,83","34,14",OUI,2704,27,28,194.0,4ème circonscription,1,28,27,OUI,
27005,4,HOUSSIN,Timothée,M.,RN,Rassemblement National,29337,"51,13","32,66",OUI,2705,27,28,195.0,5ème circonscription,1,28,27,OUI,
28001,1,KASBARIAN,Guillaume,M.,ENS,Ensemble ! (Majorité présidentielle),35842,"60,59","39,13",OUI,2801,28,24,138.0,1ère circonscription,1,24,28,OUI,
28002,3,MARLEIX,Olivier,M.,LR,Les Républicains,26422,"57,26","34,96",OUI,2802,28,24,139.0,2ème circonscription,1,24,28,OUI,
28003,3,HUWART,Harold,M.,DVC,Divers centre,23815,"52,58","33,47",OUI,2803,28,24,140.0,3ème circonscription,1,24,28,OUI,
28004,1,VIGIER,Philippe,M.,ENS,Ensemble ! (Majorité présidentielle),22542,"51,74","33,46",OUI,2804,28,24,141.0,4ème circonscription,1,24,28,OUI,
29001,1,LE MEUR,Annaïg,Mme,ENS,Ensemble ! (Majorité présidentielle),27066,"39,70","29,31",OUI,2901,29,53,347.0,1ère circonscription,1,53,29,OUI,
29002,7,CADALEN,Pierre-Yves,M.,UG,Union de la gauche,22110,"41,01","28,28",OUI,2902,29,53,348.0,2ème circonscription,1,53,29,OUI,
29003,2,LE GAC,Didier,M.,ENS,Ensemble ! (Majorité présidentielle),44449,"69,13","47,35",OUI,2903,29,53,349.0,3ème circonscription,1,53,29,OUI,
29004,5,LE FEUR,Sandrine,Mme,ENS,Ensemble ! (Majorité présidentielle),24048,"39,40","28,51",OUI,2904,29,53,350.0,4ème circonscription,1,53,29,OUI,
29005,4,MELCHIOR,Graziella,Mme,ENS,Ensemble ! (Majorité présidentielle),46270,"68,07","46,85",OUI,2905,29,53,351.0,5ème circonscription,1,53,29,OUI,
29006,6,THOMIN,Mélanie,Mme,UG,Union de la gauche,38630,"61,83","42,20",OUI,2906,29,53,352.0,6ème circonscription,1,53,29,OUI,
29007,1,TANGUY,Liliana,Mme,ENS,Ensemble ! (Majorité présidentielle),23310,"37,94","27,86",OUI,2907,29,53,353.0,7ème circonscription,1,53,29,OUI,
29008,4,BALANANT,Erwan,M.,ENS,Ensemble ! (Majorité présidentielle),40112,"64,61","43,72",OUI,2908,29,53,354.0,8ème circonscription,1,53,29,OUI,
2A001,7,MARCANGELI,Laurent,M.,ENS,Ensemble ! (Majorité présidentielle),20892,"63,20","39,80",OUI,2A01,2A,94,573.0,1ère circonscription,1,94,2A,OUI,
2A002,1,COLOMBANI,Paul-André,M.,REG,Régionaliste,23969,"59,21","38,35",OUI,2A02,2A,94,574.0,2ème circonscription,1,94,2A,OUI,
2B001,2,CASTELLANI,Michel,M.,REG,Régionaliste,24667,"64,33","39,71",OUI,2B01,2B,94,575.0,1ère circonscription,1,94,2B,OUI,
2B002,3,CECCOLI,François-Xavier,M.,DVD,Divers droite,24458,"54,48","36,01",OUI,2B02,2B,94,576.0,2ème circonscription,1,94,2B,OUI,
30001,5,GILLET,Yoann,M.,RN,Rassemblement National,28259,"54,22","31,26",OUI,3001,30,76,426.0,1ère circonscription,1,76,30,OUI,
30002,2,MEIZONNET,Nicolas,M.,RN,Rassemblement National,34427,"52,22","35,74",OUI,3002,30,76,,2ème circonscription,1,76,30,,OUI
30003,5,BORDES,Pascale,Mme,RN,Rassemblement National,35685,"58,68","37,18",OUI,3003,30,76,428.0,3ème circonscription,1,76,30,OUI,
30004,5,MEURIN,Pierre,M.,RN,Rassemblement National,35144,"57,64","36,98",OUI,3004,30,76,429.0,4ème circonscription,1,76,30,OUI,
30005,3,ALLEGRET-PILOT,Alexandre,M.,UXD,Union de l'extrême droite,32627,"51,58","32,97",OUI,3005,30,76,430.0,5ème circonscription,1,76,30,OUI,
30006,6,JOSSERAND,Sylvie,Mme,RN,Rassemblement National,26838,"51,40","31,36",OUI,3006,30,76,431.0,6ème circonscription,1,76,30,OUI,
31001,2,CLOUET,Hadrien,M.,UG,Union de la gauche,29005,"49,88","34,03",OUI,3101,31,76,432.0,1ère circonscription,1,76,31,OUI,
31002,2,STAMBACH-TERRENOIR,Anne,Mme,UG,Union de la gauche,33063,"44,41","31,01",OUI,3102,31,76,433.0,2ème circonscription,1,76,31,OUI,
31003,6,VIGNON,Corinne,Mme,ENS,Ensemble ! (Majorité présidentielle),23650,"39,42","28,87",OUI,3103,31,76,434.0,3ème circonscription,1,76,31,OUI,
31004,4,PIQUEMAL,François,M.,UG,Union de la gauche,25681,"53,39","36,71",OUI,3104,31,76,,4ème circonscription,1,76,31,,OUI
31005,3,PORTARRIEU,Jean-François,M.,ENS,Ensemble ! (Majorité présidentielle),41533,"56,22","38,17",OUI,3105,31,76,436.0,5ème circonscription,1,76,31,OUI,
31006,4,SIMION,Arnaud,M.,UG,Union de la gauche,47670,"60,40","40,61",OUI,3106,31,76,437.0,6ème circonscription,1,76,31,OUI,
31007,3,BEX,Christophe,M.,UG,Union de la gauche,35228,"50,78","32,54",OUI,3107,31,76,438.0,7ème circonscription,1,76,31,OUI,
31008,5,AVIRAGNET,Joël,M.,UG,Union de la gauche,29807,"51,87","34,64",OUI,3108,31,76,439.0,8ème circonscription,1,76,31,OUI,
31009,4,ARRIGHI,Christine,Mme,UG,Union de la gauche,30177,"54,50","37,08",OUI,3109,31,76,440.0,9ème circonscription,1,76,31,OUI,
31010,8,OBERTI,Jacques,M.,UG,Union de la gauche,44932,"61,07","42,72",OUI,3110,31,76,441.0,10ème circonscription,1,76,31,OUI,
32001,1,CAZENEUVE,Jean-René,M.,ENS,Ensemble ! (Majorité présidentielle),29182,"58,48","39,85",OUI,3201,32,76,442.0,1ère circonscription,1,76,32,OUI,
32002,3,TAUPIAC,David,M.,DVG,Divers gauche,30912,"59,37","41,97",OUI,3202,32,76,443.0,2ème circonscription,1,76,32,OUI,
33001,1,CAZENAVE,Thomas,M.,ENS,Ensemble ! (Majorité présidentielle),31768,"43,20","30,00",OUI,3301,33,75,384.0,1ère circonscription,1,75,33,OUI,
33002,4,THIERRY,Nicolas,M.,UG,Union de la gauche,27920,"59,01","37,65",OUI,3302,33,75,385.0,2ème circonscription,1,75,33,OUI,
33003,9,PRUD'HOMME,Loïc,M.,UG,Union de la gauche,32525,"53,84","35,48",OUI,3303,33,75,386.0,3ème circonscription,1,75,33,OUI,
33004,3,DAVID,Alain,M.,UG,Union de la gauche,37141,"61,48","37,22",OUI,3304,33,75,387.0,4ème circonscription,1,75,33,OUI,
33005,5,GOT,Pascale,Mme,UG,Union de la gauche,40665,"50,63","33,04",OUI,3305,33,75,388.0,5ème circonscription,1,75,33,OUI,
33006,7,RECALDE,Marie,Mme,UG,Union de la gauche,31079,"39,78","28,50",OUI,3306,33,75,389.0,6ème circonscription,1,75,33,OUI,
33007,3,SAINT-PASTEUR,Sébastien,M.,UG,Union de la gauche,24810,"43,82","30,75",OUI,3307,33,75,390.0,7ème circonscription,1,75,33,OUI,
33008,6,PANONACLE,Sophie,Mme,ENS,Ensemble ! (Majorité présidentielle),46756,"56,41","38,46",OUI,3308,33,75,391.0,8ème circonscription,1,75,33,OUI,
33009,1,METTE,Sophie,Mme,ENS,Ensemble ! (Majorité présidentielle),40190,"56,99","38,69",OUI,3309,33,75,392.0,9ème circonscription,1,75,33,OUI,
33010,2,BOUDIÉ,Florent,M.,ENS,Ensemble ! (Majorité présidentielle),28960,"52,17","34,63",OUI,3310,33,75,393.0,10ème circonscription,1,75,33,OUI,
33011,2,DIAZ,Edwige,Mme,RN,Rassemblement National,34590,"53,33","34,59",OUI,3311,33,75,,11ème circonscription,1,75,33,,OUI
33012,3,FELD,Mathilde,Mme,UG,Union de la gauche,28474,"50,41","31,94",OUI,3312,33,75,395.0,12ème circonscription,1,75,33,OUI,
34001,3,ROUMEGAS,Jean-Louis,M.,UG,Union de la gauche,31864,"55,19","34,87",OUI,3401,34,76,444.0,1ère circonscription,1,76,34,OUI,
34002,5,OZIOL,Nathalie,Mme,UG,Union de la gauche,24707,"58,22","36,75",OUI,3402,34,76,,2ème circonscription,1,76,34,,OUI
34003,2,DOMBRE-COSTE,Fanny,Mme,UG,Union de la gauche,36860,"58,29","39,19",OUI,3403,34,76,446.0,3ème circonscription,1,76,34,OUI,
34004,1,BOUQUIN,Manon,Mme,RN,Rassemblement National,40186,"50,49","33,37",OUI,3404,34,76,447.0,4ème circonscription,1,76,34,OUI,
34005,5,GALZY,Stéphanie,Mme,RN,Rassemblement National,36171,"55,36","36,16",OUI,3405,34,76,448.0,5ème circonscription,1,76,34,OUI,
34006,4,GABARRON,Julien,M.,RN,Rassemblement National,29288,"47,26","30,83",OUI,3406,34,76,449.0,6ème circonscription,1,76,34,OUI,
34007,2,LOPEZ-LIGUORI,Aurélien,M.,RN,Rassemblement National,37495,"51,66","33,94",OUI,3407,34,76,,7ème circonscription,1,76,34,,OUI
34008,2,CARRIERE,Sylvain,M.,UG,Union de la gauche,29841,"50,33","31,19",OUI,3408,34,76,451.0,8ème circonscription,1,76,34,OUI,
34009,9,ALLONCLE,Charles,M.,UXD,Union de l'extrême droite,28433,"51,90","31,36",OUI,3409,34,76,452.0,9ème circonscription,1,76,34,OUI,
35001,1,MESMEUR,Marie,Mme,UG,Union de la gauche,30190,"45,66","31,99",OUI,3501,35,53,355.0,1ère circonscription,1,53,35,OUI,
35002,5,LAHAIS,Tristan,M.,UG,Union de la gauche,32489,"43,65","32,52",OUI,3502,35,53,356.0,2ème circonscription,1,53,35,OUI,
35003,4,ROUAUX,Claudia,Mme,UG,Union de la gauche,27165,"40,49","29,09",OUI,3503,35,53,357.0,3ème circonscription,1,53,35,OUI,
35004,4,HIGNET,Mathilde,Mme,UG,Union de la gauche,36195,"57,57","37,04",OUI,3504,35,53,358.0,4ème circonscription,1,53,35,OUI,
35005,4,LE NABOUR,Christine,Mme,ENS,Ensemble ! (Majorité présidentielle),50267,"67,72","45,03",OUI,3505,35,53,359.0,5ème circonscription,1,53,35,OUI,
35006,5,BENOIT,Thierry,M.,ENS,Ensemble ! (Majorité présidentielle),40987,"66,50","45,21",OUI,3506,35,53,360.0,6ème circonscription,1,53,35,OUI,
35007,2,BOURGEAUX,Jean-Luc,M.,DVD,Divers droite,50058,"69,14","46,94",OUI,3507,35,53,361.0,7ème circonscription,1,53,35,OUI,
