Inscrits,CodCirc,CodCirc2
69454,6401,6401
84677,6402,6402
83930,6403,6403
80798,6404,6404
101137,6405,6405
106621,6406,6406
91752,7901,7901
98055,7902,7902
85329,7903,7903
81069,8601,8601
80219,8602,8602
72430,8603,8603
73685,8604,8604
83963,8701,8701
98351,8702,8702
81414,8703,8703
62062,0902,0902
99232,1101,1101
92846,1102,1102
89852,1103,1103
78351,1201,1201
68221,1202,1202
72268,1203,1203
90395,3001,3001
95973,3003,3003
95045,3004,3004
98963,3005,3005
85592,3006,3006
85235,3101,3101
106618,3102,3102
81918,3103,3103
108819,3105,3105
117395,3106,3106
108255,3107,3107
86059,3108,3108
81378,3109,3109
105169,3110,3110
73224,3201,3201
73653,3202,3202
91374,3401,3401
94060,3403,3403
120394,3404,3404
100018,3405,3405
94986,3406,3406
95661,3408,3408
90654,3409,3409
73051,4601,4601
66321,4602,4602
59753,4801,4801
87312,6501,6501
88507,6502,6502
74071,6601,6601
85655,6603,6603
102747,6604,6604
85364,8101,8101
110310,8102,8102
104787,8103,8103
93423,8201,8201
97199,8202,8202
86854,0101,0101
101905,0102,0102
84168,0103,0103
96133,0104,0104
77919,0105,0105
88553,0301,0301
79874,0302,0302
80102,0303,0303
79596,0701,0701
97151,0702,0702
81011,0703,0703
62321,1501,1501
52307,1502,1502
77660,2601,2601
97164,2602,2602
110848,2603,2603
100717,2604,2604
83946,3801,3801
79236,3802,3802
57526,3803,3803
92613,3804,3804
106962,3805,3805
91071,3806,3806
97024,3807,3807
82869,3808,3808
101341,3809,3809
99416,3810,3810
63990,4201,4201
50910,4202,4202
84428,4203,4203
104529,4204,4204
101607,4205,4205
111870,4206,4206
102716,4301,4301
79392,4302,4302
83805,6301,6301
90172,6302,6302
90191,6303,6303
101980,6304,6304
105057,6305,6305
71914,6901,6901
74623,6902,6902
78903,6904,6904
90622,6905,6905
92020,6906,6906
72634,6907,6907
105986,6908,6908
98153,6909,6909
99067,6910,6910
98040,6911,6911
82772,6912,6912
89820,6913,6913
76602,6914,6914
94122,7301,7301
75611,7302,7302
74595,7303,7303
79636,7304,7304
110725,7401,7401
101713,7402,7402
89979,7403,7403
90902,7404,7404
103725,7405,7405
82169,7406,7406
61472,0401,0401
66674,0402,0402
60057,0501,0501
54530,0502,0502
81883,0601,0601
90411,0602,0602
91728,0603,0603
96288,0607,0607
84401,0608,0608
82404,0609,0609
82816,1301,1301
84461,1302,1302
77883,1303,1303
75491,1305,1305
79715,1306,1306
103695,1308,1308
101449,1309,1309
110783,1310,1310
93657,1311,1311
94828,1313,1313
99995,1314,1314
110725,1315,1315
91707,1316,1316
71123,8301,8301
103283,8303,8303
103771,8307,8307
74035,8401,8401
86496,8402,8402
90653,8404,8404
84965,8405,8405
52487,2A01,2A01
62503,2A02,2A02
62118,2B01,2B01
67917,2B02,2B02
