CodCirc2,Inscrits,CodCirc,CodDept,CodeReg
44007,118946,4407,44,52
44008,91147,4408,44,52
44009,132667,4409,44,52
44010,126331,4410,44,52
45001,78309,4501,45,24
45002,88601,4502,45,24
45003,70445,4503,45,24
45004,74099,4504,45,24
45005,73581,4505,45,24
45006,76084,4506,45,24
46001,73047,4601,46,76
46002,66320,4602,46,76
47001,88558,4701,47,75
47002,76944,4702,47,75
47003,75786,4703,47,75
48001,59764,4801,48,76
49001,88675,4901,49,52
49002,95583,4902,49,52
49003,72748,4903,49,52
49004,76126,4904,49,52
49005,80097,4905,49,52
49006,99656,4906,49,52
49007,84491,4907,49,52
50001,86727,5001,50,28
50002,96780,5002,50,28
50003,111098,5003,50,28
50004,88663,5004,50,28
51001,75390,5101,51,44
51002,74627,5102,51,44
51003,78476,5103,51,44
51004,77894,5104,51,44
51005,75602,5105,51,44
52001,69171,5201,52,44
52002,59043,5202,52,44
53001,74167,5301,53,52
53002,79759,5302,53,52
53003,72655,5303,53,52
54001,83269,5401,54,44
54002,67916,5402,54,44
54003,80382,5403,54,44
54004,96430,5404,54,44
54005,78674,5405,54,44
54006,87566,5406,54,44
55001,74962,5501,55,44
55002,59230,5502,55,44
56001,115573,5601,56,53
56002,113726,5602,56,53
56003,98154,5603,56,53
56004,113628,5604,56,53
56005,80820,5605,56,53
56006,93830,5606,56,53
57001,93930,5701,57,44
57002,76778,5702,57,44
57003,76057,5703,57,44
57004,80777,5704,57,44
57005,72095,5705,57,44
57006,66393,5706,57,44
57007,89245,5707,57,44
57008,91374,5708,57,44
57009,100711,5709,57,44
58001,73850,5801,58,27
58002,78765,5802,58,27
59001,61672,5901,59,32
59002,87355,5902,59,32
59003,91620,5903,59,32
59004,101833,5904,59,32
59005,102283,5905,59,32
59006,95058,5906,59,32
59007,73444,5907,59,32
59008,68933,5908,59,32
59009,92045,5909,59,32
59010,83192,5910,59,32
59011,93191,5911,59,32
59012,93070,5912,59,32
59013,86045,5913,59,32
59014,99449,5914,59,32
59015,97601,5915,59,32
59016,84041,5916,59,32
59017,73875,5917,59,32
59018,90821,5918,59,32
59019,80890,5919,59,32
59020,82190,5920,59,32
59021,81160,5921,59,32
60001,83258,6001,60,32
60002,89305,6002,60,32
60003,74495,6003,60,32
60004,94183,6004,60,32
60005,73645,6005,60,32
60006,75856,6006,60,32
60007,77118,6007,60,32
61001,68184,6101,61,28
61002,64536,6102,61,28
61003,70653,6103,61,28
62001,105247,6201,62,32
62002,88596,6202,62,32
62003,83041,6203,62,32
62004,89963,6204,62,32
62005,90906,6205,62,32
62006,94643,6206,62,32
62007,94659,6207,62,32
62008,92388,6208,62,32
62009,80762,6209,62,32
62010,89095,6210,62,32
62011,94166,6211,62,32
62012,96789,6212,62,32
63001,83788,6301,63,84
63002,90283,6302,63,84
63003,90194,6303,63,84
63004,101981,6304,63,84
