CodCirElec,LibCirElec,NbSap,CodReg,CodDpt,CodCirc2
4101,1ère circonscription,1,24,41,41001
4102,2ème circonscription,1,24,41,41002
4103,3ème circonscription,1,24,41,41003
4501,1ère circonscription,1,24,45,45001
4502,2ème circonscription,1,24,45,45002
4503,3ème circonscription,1,24,45,45003
4504,4ème circonscription,1,24,45,45004
4505,5ème circonscription,1,24,45,45005
4506,6ème circonscription,1,24,45,45006
2101,1ère circonscription,1,27,21,21001
2102,2ème circonscription,1,27,21,21002
2103,3ème circonscription,1,27,21,21003
2104,4ème circonscription,1,27,21,21004
2105,5ème circonscription,1,27,21,21005
2501,1ère circonscription,1,27,25,25001
2502,2ème circonscription,1,27,25,25002
2503,3ème circonscription,1,27,25,25003
2504,4ème circonscription,1,27,25,25004
2505,5ème circonscription,1,27,25,25005
3901,1ère circonscription,1,27,39,39001
3902,2ème circonscription,1,27,39,39002
3903,3ème circonscription,1,27,39,39003
5801,1ère circonscription,1,27,58,58001
5802,2ème circonscription,1,27,58,58002
7001,1ère circonscription,1,27,70,70001
7002,2ème circonscription,1,27,70,70002
7101,1ère circonscription,1,27,71,71001
7102,2ème circonscription,1,27,71,71002
7103,3ème circonscription,1,27,71,71003
7104,4ème circonscription,1,27,71,71004
7105,5ème circonscription,1,27,71,71005
8901,1ère circonscription,1,27,89,89001
8902,2ème circonscription,1,27,89,89002
8903,3ème circonscription,1,27,89,89003
9001,1ère circonscription,1,27,90,90001
9002,2ème circonscription,1,27,90,90002
1401,1ère circonscription,1,28,14,14001
1402,2ème circonscription,1,28,14,14002
1403,3ème circonscription,1,28,14,14003
1404,4ème circonscription,1,28,14,14004
1405,5ème circonscription,1,28,14,14005
1406,6ème circonscription,1,28,14,14006
2701,1ère circonscription,1,28,27,27001
2702,2ème circonscription,1,28,27,27002
2703,3ème circonscription,1,28,27,27003
2704,4ème circonscription,1,28,27,27004
2705,5ème circonscription,1,28,27,27005
5001,1ère circonscription,1,28,50,50001
5002,2ème circonscription,1,28,50,50002
5003,3ème circonscription,1,28,50,50003
5004,4ème circonscription,1,28,50,50004
6101,1ère circonscription,1,28,61,61001
6102,2ème circonscription,1,28,61,61002
6103,3ème circonscription,1,28,61,61003
7601,1ère circonscription,1,28,76,76001
7602,2ème circonscription,1,28,76,76002
7603,3ème circonscription,1,28,76,76003
7604,4ème circonscription,1,28,76,76004
7605,5ème circonscription,1,28,76,76005
7606,6ème circonscription,1,28,76,76006
7607,7ème circonscription,1,28,76,76007
7608,8ème circonscription,1,28,76,76008
7609,9ème circonscription,1,28,76,76009
7610,10ème circonscription,1,28,76,76010
0201,1ère circonscription,1,32,02,02001
0202,2ème circonscription,1,32,02,02002
0203,3ème circonscription,1,32,02,02003
0204,4ème circonscription,1,32,02,02004
0205,5ème circonscription,1,32,02,02005
5901,1ère circonscription,1,32,59,59001
5902,2ème circonscription,1,32,59,59002
5903,3ème circonscription,1,32,59,59003
5904,4ème circonscription,1,32,59,59004
5905,5ème circonscription,1,32,59,59005
5906,6ème circonscription,1,32,59,59006
5907,7ème circonscription,1,32,59,59007
5908,8ème circonscription,1,32,59,59008
5909,9ème circonscription,1,32,59,59009
5910,10ème circonscription,1,32,59,59010
5911,11ème circonscription,1,32,59,59011
5912,12ème circonscription,1,32,59,59012
5913,13ème circonscription,1,32,59,59013
5914,14ème circonscription,1,32,59,59014
5915,15ème circonscription,1,32,59,59015
5916,16ème circonscription,1,32,59,59016
5917,17ème circonscription,1,32,59,59017
5918,18ème circonscription,1,32,59,59018
5919,19ème circonscription,1,32,59,59019
5920,20ème circonscription,1,32,59,59020
5921,21ème circonscription,1,32,59,59021
6001,1ère circonscription,1,32,60,60001
6002,2ème circonscription,1,32,60,60002
6003,3ème circonscription,1,32,60,60003
6004,4ème circonscription,1,32,60,60004
6005,5ème circonscription,1,32,60,60005
6006,6ème circonscription,1,32,60,60006
6007,7ème circonscription,1,32,60,60007
6201,1ère circonscription,1,32,62,62001
6202,2ème circonscription,1,32,62,62002
6203,3ème circonscription,1,32,62,62003
6204,4ème circonscription,1,32,62,62004
6205,5ème circonscription,1,32,62,62005
6206,6ème circonscription,1,32,62,62006
6207,7ème circonscription,1,32,62,62007
6208,8ème circonscription,1,32,62,62008
6209,9ème circonscription,1,32,62,62009
6210,10ème circonscription,1,32,62,62010
6211,11ème circonscription,1,32,62,62011
6212,12ème circonscription,1,32,62,62012
8001,1ère circonscription,1,32,80,80001
8002,2ème circonscription,1,32,80,80002
8003,3ème circonscription,1,32,80,80003
8004,4ème circonscription,1,32,80,80004
8005,5ème circonscription,1,32,80,80005
0801,1ère circonscription,1,44,08,08001
0802,2ème circonscription,1,44,08,08002
0803,3ème circonscription,1,44,08,08003
1001,1ère circonscription,1,44,10,10001
1002,2ème circonscription,1,44,10,10002
1003,3ème circonscription,1,44,10,10003
5101,1ère circonscription,1,44,51,51001
5102,2ème circonscription,1,44,51,51002
5103,3ème circonscription,1,44,51,51003
5104,4ème circonscription,1,44,51,51004
5105,5ème circonscription,1,44,51,51005
5201,1ère circonscription,1,44,52,52001
5202,2ème circonscription,1,44,52,52002
5401,1ère circonscription,1,44,54,54001
5402,2ème circonscription,1,44,54,54002
5403,3ème circonscription,1,44,54,54003
5404,4ème circonscription,1,44,54,54004
5405,5ème circonscription,1,44,54,54005
5406,6ème circonscription,1,44,54,54006
5501,1ère circonscription,1,44,55,55001
5502,2ème circonscription,1,44,55,55002
5701,1ère circonscription,1,44,57,57001
5702,2ème circonscription,1,44,57,57002
5703,3ème circonscription,1,44,57,57003
5704,4ème circonscription,1,44,57,57004
5705,5ème circonscription,1,44,57,57005
5706,6ème circonscription,1,44,57,57006
5707,7ème circonscription,1,44,57,57007
5708,8ème circonscription,1,44,57,57008
5709,9ème circonscription,1,44,57,57009
6701,1ère circonscription,1,44,67,67001
6702,2ème circonscription,1,44,67,67002
6703,3ème circonscription,1,44,67,67003
6704,4ème circonscription,1,44,67,67004
6705,5ème circonscription,1,44,67,67005
6706,6ème circonscription,1,44,67,67006
6707,7ème circonscription,1,44,67,67007
6708,8ème circonscription,1,44,67,67008
6709,9ème circonscription,1,44,67,67009
6801,1ère circonscription,1,44,68,68001
6802,2ème circonscription,1,44,68,68002
6803,3ème circonscription,1,44,68,68003
6804,4ème circonscription,1,44,68,68004
6805,5ème circonscription,1,44,68,68005
6806,6ème circonscription,1,44,68,68006
8801,1ère circonscription,1,44,88,88001
8802,2ème circonscription,1,44,88,88002
8803,3ème circonscription,1,44,88,88003
8804,4ème circonscription,1,44,88,88004
4401,1ère circonscription,1,52,44,44001
4402,2ème circonscription,1,52,44,44002
4403,3ème circonscription,1,52,44,44003
4404,4ème circonscription,1,52,44,44004
4405,5ème circonscription,1,52,44,44005
4406,6ème circonscription,1,52,44,44006
4407,7ème circonscription,1,52,44,44007
4408,8ème circonscription,1,52,44,44008
4409,9ème circonscription,1,52,44,44009
4410,10ème circonscription,1,52,44,44010
4901,1ère circonscription,1,52,49,49001
4902,2ème circonscription,1,52,49,49002
4903,3ème circonscription,1,52,49,49003
4904,4ème circonscription,1,52,49,49004
4905,5ème circonscription,1,52,49,49005
4906,6ème circonscription,1,52,49,49006
4907,7ème circonscription,1,52,49,49007
5301,1ère circonscription,1,52,53,53001
5302,2ème circonscription,1,52,53,53002
5303,3ème circonscription,1,52,53,53003
7201,1ère circonscription,1,52,72,72001
7202,2ème circonscription,1,52,72,72002
7203,3ème circonscription,1,52,72,72003
7204,4ème circonscription,1,52,72,72004
7205,5ème circonscription,1,52,72,72005
8501,1ère circonscription,1,52,85,85001
8502,2ème circonscription,1,52,85,85002
8503,3ème circonscription,1,52,85,85003
8504,4ème circonscription,1,52,85,85004
8505,5ème circonscription,1,52,85,85005
2201,1ère circonscription,1,53,22,22001
2202,2ème circonscription,1,53,22,22002
2203,3ème circonscription,1,53,22,22003
2204,4ème circonscription,1,53,22,22004
2205,5ème circonscription,1,53,22,22005
2901,1ère circonscription,1,53,29,29001
2902,2ème circonscription,1,53,29,29002
2903,3ème circonscription,1,53,29,29003
2904,4ème circonscription,1,53,29,29004
2905,5ème circonscription,1,53,29,29005
2906,6ème circonscription,1,53,29,29006
2907,7ème circonscription,1,53,29,29007
2908,8ème circonscription,1,53,29,29008
3501,1ère circonscription,1,53,35,35001
3502,2ème circonscription,1,53,35,35002
3503,3ème circonscription,1,53,35,35003
3504,4ème circonscription,1,53,35,35004
3505,5ème circonscription,1,53,35,35005
3506,6ème circonscription,1,53,35,35006
3507,7ème circonscription,1,53,35,35007
3508,8ème circonscription,1,53,35,35008
5601,1ère circonscription,1,53,56,56001
5602,2ème circonscription,1,53,56,56002
5603,3ème circonscription,1,53,56,56003
5604,4ème circonscription,1,53,56,56004
5605,5ème circonscription,1,53,56,56005
5606,6ème circonscription,1,53,56,56006
1601,1ère circonscription,1,75,16,16001
1602,2ème circonscription,1,75,16,16002
1603,3ème circonscription,1,75,16,16003
1701,1ère circonscription,1,75,17,17001
1702,2ème circonscription,1,75,17,17002
1703,3ème circonscription,1,75,17,17003
1704,4ème circonscription,1,75,17,17004
1705,5ème circonscription,1,75,17,17005
1901,1ère circonscription,1,75,19,19001
1902,2ème circonscription,1,75,19,19002
2301,1ère circonscription,1,75,23,23001
2401,1ère circonscription,1,75,24,24001
2402,2ème circonscription,1,75,24,24002
2403,3ème circonscription,1,75,24,24003
2404,4ème circonscription,1,75,24,24004
3301,1ère circonscription,1,75,33,33001
3302,2ème circonscription,1,75,33,33002
3303,3ème circonscription,1,75,33,33003
3304,4ème circonscription,1,75,33,33004
3305,5ème circonscription,1,75,33,33005
3306,6ème circonscription,1,75,33,33006
3307,7ème circonscription,1,75,33,33007
3308,8ème circonscription,1,75,33,33008
