CodCirc2,COM,DIV,DSV,DVC,DVD,DVG,ECO,ENS,EXD,EXG,FI,HOR,LR,RDG,REC,REG,RN,SOC,UDI,UG,UXD,VEC
10001,,,,,,,,BEURY Philippe,,PAILLARD Lionel,,,MANIERI-BIGORGNE Chris,,,,GUITTON Jordan,,,BARRY Alice,,
10002,,,,,,,,FONTAINE-GARCIA Salomé,,VALLÉE Romain,,,BAZIN-MALGRAS Valérie,,,,FERRAND Albéric,,,SEBBARI Samira,,
10003,,,,,RICHARD Olivier,,COLLOT-TOUZÉ Nelly,SCHERRER Luc,,ANDRIEUX Pascal,,,LEPRINCE Didier,,,,RANC Angélique,,,GIRARDIN Olivier,,
11001,,,,AMALRIC Laure-Nelly,,TURCHETTO Aurélien,,PEREZ Jean-Claude,,GADRAT Nicole,,,MARIN Jean-Marc,,COFFINET Fabrice,FERRÉ Monique,BARTHÈS Christophe,,,POUTOU Philippe,,
11002,,LENFANT Gérard,,,BRUN Alain,,,BREYTON Christine,,VIGIER Annette,,,,,PEYRE Alain,GRAU Nicole,FALCON Frédéric,,,THIVENT Viviane,,
11003,,BIANCO Bernard,,,,,,SOREL-LESTIN Sylvie,,GALONNIER Dominique,,,LECLERC Jean-François,,MARTEEL Nathalie,,RANCOULE Julien,,CHAMPION Christine,ANDRIEU Philippe,,
12001,,,,,DA CRUZ Antoine,,,MAZARS Stéphane,,SAINT-AVIT Arlette,,,,,,,CHARTIER Jean-Philippe,,,THEBAULT Léon,,
12002,,,ARMET Jean-Philippe,,,,,DEGUARA Samuel,,EL HEDRI Lucile,,,,,,,PAROLIN Marie-Christine,,,ALEXANDRE Laurent,,
12003,,,,,,,NOEL Thierry,ROUSSET Jean-François,,COMBES Bernard,,,,,,,,,,BOUIGUE Richard,FEVRE Pierre-Antoine,
13001,,,CARAVELLAZI Céline,,,,,AGRESTI-ROUBACHE Sabrina,,CECONE Marc,,,,,MOYAL Salomé,,GRISETI Monique,,,LÉCORCHÉ Pascaline,,
13002,,,,,,ROCHE POGGI Hugo,,PITOLLAT Claire,,RODINSON Claudine,,,CARADEC Laure-Agnès,,GRAFFEO Jean-Marc,,RIOULT Olivier,,,LHARDIT Laurent,,
