CodCirc2,DIV,DSV,DVC,DVD,DVG,DXG,ENS,LR,NUP,REG,RN,UDI
29004,0,0,0,0,0,0,1,0,2,0,0,0
29005,0,0,0,0,0,0,1,0,2,0,0,0
29006,0,0,0,0,0,0,2,0,1,0,0,0
29007,0,0,0,0,0,0,1,0,2,0,0,0
29008,0,0,0,0,0,0,1,0,2,0,0,0
2A001,0,0,0,0,0,0,1,0,0,2,0,0
2A002,0,0,0,2,0,0,0,0,0,1,0,0
2B001,0,0,2,0,0,0,0,0,0,1,0,0
2B002,0,0,0,2,0,0,0,0,0,1,0,0
30001,0,0,0,0,0,0,2,0,0,0,1,0
30002,0,0,0,0,0,0,2,0,0,0,1,0
30003,0,0,0,0,0,0,2,0,0,0,1,0
30004,0,0,0,0,0,0,0,0,2,0,1,0
30005,0,0,0,0,0,0,0,0,1,0,2,0
30006,0,0,0,0,0,0,1,0,2,0,0,0
31001,0,0,0,0,0,0,2,0,1,0,0,0
31002,0,0,0,0,0,0,2,0,1,0,0,0
31003,0,0,0,0,0,0,1,0,2,0,0,0
31004,0,0,0,0,0,0,2,0,1,0,0,0
31005,0,0,0,0,0,0,1,0,2,0,0,0
31006,0,0,0,0,0,0,1,0,2,0,0,0
31007,0,0,0,0,0,0,2,0,1,0,0,0
31008,0,0,0,0,1,0,0,0,0,0,2,0
31009,0,0,0,0,0,0,2,0,1,0,0,0
31010,0,0,0,0,0,0,1,0,2,0,0,0
32001,0,0,0,0,0,0,1,0,2,0,0,0
32002,0,0,0,0,1,0,2,0,0,0,0,0
33001,0,0,0,0,0,0,1,0,2,0,0,0
33002,0,0,0,0,0,0,2,0,1,0,0,0
33003,0,0,0,0,0,0,2,0,1,0,0,0
33004,0,0,0,0,0,0,2,0,1,0,0,0
33005,0,0,0,0,0,0,0,0,2,0,1,0
33006,0,0,0,0,0,0,1,0,2,0,0,0
33007,0,0,0,0,0,0,1,0,2,0,0,0
33008,0,0,0,0,0,0,1,0,0,0,2,0
33009,0,0,0,0,0,0,1,0,2,0,0,0
33010,0,0,0,0,0,0,1,0,0,0,2,0
33011,0,0,0,0,0,0,2,0,0,0,1,0
33012,0,0,0,0,0,0,1,0,2,0,0,0
34001,0,0,0,0,0,0,1,0,2,0,0,0
34002,0,0,0,0,0,0,2,0,1,0,0,0
34003,0,0,0,0,0,0,1,0,2,0,0,0
34004,0,0,0,0,0,0,0,0,1,0,2,0
34005,0,0,0,0,0,0,0,0,2,0,1,0
34006,0,0,0,1,0,0,0,0,2,0,0,0
34007,0,0,0,0,0,0,0,0,2,0,1,0
34008,0,0,0,0,0,0,0,0,1,0,2,0
34009,0,0,0,0,0,0,1,0,2,0,0,0
35001,0,0,0,0,0,0,2,0,1,0,0,0
35002,0,0,0,0,0,0,1,0,2,0,0,0
35003,0,0,0,0,0,0,2,0,1,0,0,0
35004,0,0,0,0,0,0,2,0,1,0,0,0
35005,0,0,0,0,0,0,1,0,2,0,0,0
35006,0,0,0,0,0,0,1,0,2,0,0,0
35007,0,0,0,0,0,0,2,1,0,0,0,0
35008,0,0,0,0,0,0,2,0,1,0,0,0
36001,0,0,0,0,0,0,1,0,2,0,0,0
36002,0,0,0,0,0,0,0,1,0,0,2,0
37001,0,0,0,0,0,0,2,0,1,0,0,0
37002,0,0,0,0,0,0,1,0,2,0,0,0
37003,0,0,0,0,0,0,1,0,2,0,0,0
37004,0,0,0,0,0,0,1,0,2,0,0,0
37005,0,0,0,0,0,0,1,0,0,0,2,0
38001,0,0,0,0,0,0,1,0,2,0,0,0
38002,0,0,0,0,0,0,2,0,1,0,0,0
