CodCirc2,DIV,DSV,DVC,DVD,DVG,DXG,ENS,LR,NUP,REG,RN,UDI
92008,0,0,0,0,0,0,1,0,2,0,0,0
92009,0,0,0,0,0,0,1,2,0,0,0,0
92010,0,0,0,0,0,0,1,0,2,0,0,0
92011,0,0,0,0,0,0,2,0,1,0,0,0
92012,0,0,0,0,0,0,1,0,2,0,0,0
92013,0,0,0,0,0,0,1,0,2,0,0,0
93001,0,0,0,0,0,0,2,0,1,0,0,0
93002,0,0,0,0,0,0,2,0,1,0,0,0
93003,0,0,0,0,0,0,2,0,1,0,0,0
93004,0,0,0,0,0,0,0,0,1,0,0,0
93005,0,0,0,0,0,0,0,0,1,0,0,2
93006,0,0,0,0,0,0,2,0,1,0,0,0
93007,0,0,0,0,0,0,0,0,1,0,0,0
93008,0,0,0,0,0,0,2,0,1,0,0,0
93009,0,0,0,0,0,0,2,0,1,0,0,0
93010,0,0,0,0,0,0,0,2,1,0,0,0
93011,0,0,0,0,0,0,0,0,1,0,0,0
93012,0,0,0,0,0,0,2,0,1,0,0,0
94001,0,0,0,0,0,0,1,0,2,0,0,0
94002,0,0,0,0,0,0,2,0,1,0,0,0
94003,0,0,0,0,0,0,2,0,1,0,0,0
94004,0,0,0,0,0,0,1,0,2,0,0,0
94005,0,0,0,0,0,0,1,0,2,0,0,0
94006,0,0,0,0,0,0,1,0,2,0,0,0
94007,0,0,0,0,0,0,2,0,1,0,0,0
94008,0,0,0,0,0,0,0,1,2,0,0,0
94009,0,0,0,0,0,0,2,0,1,0,0,0
94010,0,0,0,0,0,0,2,0,1,0,0,0
94011,0,0,0,0,0,0,2,0,1,0,0,0
95001,0,0,0,0,0,0,1,0,2,0,0,0
95002,0,0,0,0,0,0,1,0,2,0,0,0
95003,0,0,0,0,0,0,1,0,2,0,0,0
95004,0,0,0,0,0,0,1,0,2,0,0,0
95005,0,0,0,0,0,0,2,0,1,0,0,0
95006,0,0,0,0,0,0,1,0,2,0,0,0
95007,0,0,0,0,0,0,1,0,2,0,0,0
95008,0,0,0,0,0,0,2,0,1,0,0,0
95009,0,0,0,0,0,0,0,0,1,0,2,0
95010,0,0,0,0,0,0,2,0,1,0,0,0
ZA001,0,0,0,0,1,0,0,0,0,0,0,0
ZA002,0,0,0,0,1,0,2,0,0,0,0,0
ZA003,0,0,0,0,1,0,0,0,0,0,2,0
ZA004,0,0,0,0,1,0,0,0,0,0,0,0
ZB001,0,0,0,0,1,0,0,0,0,2,0,0
ZB002,0,0,0,0,0,0,0,0,0,1,0,0
ZB003,0,0,0,0,1,0,0,0,0,2,0,0
ZB004,0,0,0,0,0,0,0,0,0,1,0,0
ZC001,0,0,0,0,0,0,0,0,0,1,0,0
ZC002,0,0,0,0,1,0,2,0,0,0,0,0
ZD001,0,0,0,2,1,0,0,0,0,0,0,0
ZD002,0,0,0,0,1,0,0,0,0,0,0,2
ZD003,0,0,0,1,0,0,0,0,0,0,0,0
ZD004,0,0,0,0,1,0,0,2,0,0,0,0
ZD005,0,0,0,0,1,0,0,0,0,0,0,0
ZD006,0,0,0,0,1,2,0,0,0,0,0,0
ZD007,0,0,2,0,1,0,0,0,0,0,0,0
ZM001,1,0,0,0,0,0,0,0,0,0,0,0
ZM002,0,0,2,0,0,0,0,1,0,0,0,0
ZN001,0,0,0,0,0,0,1,0,0,2,0,0
ZN002,0,0,0,0,0,0,1,0,0,2,0,0
ZP001,0,0,0,0,0,0,2,0,0,1,0,0
ZP002,0,0,0,0,0,0,2,0,0,1,0,0
ZP003,0,0,0,0,0,0,2,0,0,1,0,0
ZS001,0,0,0,1,2,0,0,0,0,0,0,0
ZW001,0,0,1,0,0,0,0,0,0,0,0,0
ZX001,0,0,1,2,0,0,0,0,0,0,0,0
ZZ001,0,0,0,0,0,0,1,0,2,0,0,0
ZZ002,0,0,0,0,0,0,1,0,2,0,0,0
ZZ003,0,0,0,0,0,0,1,0,2,0,0,0
ZZ004,0,0,0,0,0,0,1,0,2,0,0,0
ZZ005,0,0,1,0,0,0,0,0,2,0,0,0
ZZ006,0,0,0,0,0,0,1,0,2,0,0,0
ZZ007,0,0,0,0,0,0,1,0,2,0,0,0
ZZ008,0,0,0,0,0,0,2,0,0,0,0,1
ZZ009,0,0,0,0,0,0,2,0,1,0,0,0
ZZ010,0,0,0,0,0,0,1,0,2,0,0,0
ZZ011,0,0,0,0,0,0,1,0,2,0,0,0
