NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNuaCand,LibNuaCand,CodCirc,CodDept,CodeReg,CodCirc2
8,DIOP,Dieynaba,Mme,UG,Union de la gauche,7809,78,11,78009
2,BERGÉ,Aurore,Mme,ENS,Ensemble ! (Majorité présidentielle),7810,78,11,78010
6,BRIOLAIS,Cédric,M.,UG,Union de la gauche,7810,78,11,78010
7,DU CHALARD,Thomas,M.,RN,Rassemblement National,7810,78,11,78010
2,MARTINET,William,M.,UG,Union de la gauche,7811,78,11,78011
6,MAZAURY,Laurent,M.,UDI,Union des Démocrates et Indépendants,7811,78,11,78011
4,MASSIAUX,Christophe,M.,UG,Union de la gauche,7812,78,11,78012
6,METTELET,Jean-Louis,M.,RN,Rassemblement National,7812,78,11,78012
7,OLIVE,Karl,M.,ENS,Ensemble ! (Majorité présidentielle),7812,78,11,78012
3,BEAUDET,Stéphane,M.,DIV,Divers,9101,91,11,91001
4,AMRANI,Farida,Mme,UG,Union de la gauche,9101,91,11,91001
7,VEGA,Thiebauld,M.,RN,Rassemblement National,9101,91,11,91001
1,HILLAIRE,Mathieu,M.,UG,Union de la gauche,9102,91,11,91002
6,DA CONCEICAO CARVALHO,Nathalie,Mme,RN,Rassemblement National,9102,91,11,91002
5,MILOSEVIC,Stefan,M.,RN,Rassemblement National,9103,91,11,91003
7,GUSTAVE,Steevy,M.,UG,Union de la gauche,9103,91,11,91003
3,RIXAIN,Marie-Pierre,Mme,ENS,Ensemble ! (Majorité présidentielle),9104,91,11,91004
6,CARBRIAND,Jérôme,M.,UXD,Union de l'extrême droite,9104,91,11,91004
2,LARROUTUROU,Pierre,M.,UG,Union de la gauche,9105,91,11,91005
8,MIDY,Paul,M.,ENS,Ensemble ! (Majorité présidentielle),9105,91,11,91005
1,GUEDJ,Jérôme,M.,UG,Union de la gauche,9106,91,11,91006
6,GOUPY,Natacha,Mme,RN,Rassemblement National,9106,91,11,91006
3,GUIBERT,Audrey,Mme,RN,Rassemblement National,9107,91,11,91007
5,REDA,Robin,M.,ENS,Ensemble ! (Majorité présidentielle),9107,91,11,91007
6,LEJEUNE,Claire,Mme,UG,Union de la gauche,9107,91,11,91007
2,DUROVRAY,François,M.,DVD,Divers droite,9108,91,11,91008
4,DUPONT-AIGNAN,Nicolas,M.,DSV,Droite souverainiste,9108,91,11,91008
5,CERNON,Bérenger,M.,UG,Union de la gauche,9108,91,11,91008
2,MERRIEN,Paul-Henri,M.,RN,Rassemblement National,9109,91,11,91009
5,OZENNE,Julie,Mme,UG,Union de la gauche,9109,91,11,91009
2,LÉAUMENT,Antoine,M.,UG,Union de la gauche,9110,91,11,91010
10,AMAND,Michael,M.,RN,Rassemblement National,9110,91,11,91010
2,PASQUINI,Francesca,Mme,UG,Union de la gauche,9202,92,11,92002
8,LAM,Thomas,M.,LR,Les Républicains,9202,92,11,92002
3,SEBAIHI,Sabrina,Mme,UG,Union de la gauche,9204,92,11,92004
9,DE CRECY,Isabelle,Mme,ENS,Ensemble ! (Majorité présidentielle),9204,92,11,92004
1,PITTI,Raphaël,M.,UG,Union de la gauche,9205,92,11,92005
4,CALVEZ,Céline,Mme,ENS,Ensemble ! (Majorité présidentielle),9205,92,11,92005
1,DIDIER,Geoffroy,M.,LR,Les Républicains,9206,92,11,92006
2,LE GRIP,Constance,Mme,ENS,Ensemble ! (Majorité présidentielle),9206,92,11,92006
7,MUSCIANISI,Sihame,Mme,UG,Union de la gauche,9206,92,11,92006
2,THEVENOT,Prisca,Mme,ENS,Ensemble ! (Majorité présidentielle),9208,92,11,92008
5,NICOLAS-CHAVANCE,Salomé,Mme,UG,Union de la gauche,9208,92,11,92008
4,SÉJOURNÉ,Stéphane,M.,ENS,Ensemble ! (Majorité présidentielle),9209,92,11,92009
6,RAPILLY-FERNIOT,Pauline,Mme,UG,Union de la gauche,9209,92,11,92009
7,ATTAL,Gabriel,M.,ENS,Ensemble ! (Majorité présidentielle),9210,92,11,92010
8,SOUBELET,Cécile,Mme,UG,Union de la gauche,9210,92,11,92010
6,BERGER,Jean-Didier,M.,LR,Les Républicains,9212,92,11,92012
7,ADJROUD,Lounes,M.,UG,Union de la gauche,9212,92,11,92012
2,GAILLARD,Brice,M.,UG,Union de la gauche,9213,92,11,92013
4,BREGEON,Maud,Mme,ENS,Ensemble ! (Majorité présidentielle),9213,92,11,92013
2,PORTES,Thomas,M.,UG,Union de la gauche,9303,93,11,93003
10,CRETIN-GIELLY,Denis,M.,RN,Rassemblement National,9303,93,11,93003
2,BOUROUAHA,Soumya,Mme,UG,Union de la gauche,9304,93,11,93004
3,AWAD,Mohamed,M.,FI,La France insoumise,9304,93,11,93004
3,LAGARDE,Aude,Mme,UDI,Union des Démocrates et Indépendants,9305,93,11,93005
5,DIOUARA,Aly,M.,UG,Union de la gauche,9305,93,11,93005
2,CORBIÈRE,Alexis,M.,DVG,Divers gauche,9307,93,11,93007
10,ALI-BENALI,Sabrina,Mme,UG,Union de la gauche,9307,93,11,93007
6,JOLIVET,Sébastien,M.,RN,Rassemblement National,9308,93,11,93008
8,KELOUA HACHI,Fatiha,Mme,UG,Union de la gauche,9308,93,11,93008
4,LEGAVRE,Jérôme,M.,UG,Union de la gauche,9312,93,11,93012
5,PERIER,Jean-François,M.,RN,Rassemblement National,9312,93,11,93012
2,LOUFFOK,Lyes,M.,UG,Union de la gauche,9401,94,11,94001
3,BERRIOS,Sylvain,M.,DVD,Divers droite,9401,94,11,94001
7,SABOURIN,Anne-Gaëlle,Mme,RN,Rassemblement National,9401,94,11,94001
5,BARBOTIN,Arnaud,M.,UXD,Union de l'extrême droite,9403,94,11,94003
7,SIGNOR,Loïc,M.,ENS,Ensemble ! (Majorité présidentielle),9403,94,11,94003
8,BOYARD,Louis,M.,UG,Union de la gauche,9403,94,11,94003
3,PHILIPPET,Alain,M.,RN,Rassemblement National,9404,94,11,94004
5,AMARA,Adel,M.,UG,Union de la gauche,9404,94,11,94004
10,PETIT,Maud,Mme,ENS,Ensemble ! (Majorité présidentielle),9404,94,11,94004
2,LEGER,Julien,M.,UG,Union de la gauche,9405,94,11,94005
5,HUGUENIN-RICHARD,Isabelle,Mme,RN,Rassemblement National,9405,94,11,94005
6,LEFEVRE,Mathieu,M.,ENS,Ensemble ! (Majorité présidentielle),9405,94,11,94005
1,BOUHADA,May,Mme,UG,Union de la gauche,9406,94,11,94006
5,GOUFFIER VALENTE,Guillaume,M.,ENS,Ensemble ! (Majorité présidentielle),9406,94,11,94006
2,KEKE,Rachel,Mme,UG,Union de la gauche,9407,94,11,94007
6,JEANBRUN,Vincent,M.,LR,Les Républicains,9407,94,11,94007
1,MARTINS PEREIRA,Joao,M.,UG,Union de la gauche,9408,94,11,94008
2,HERBILLON,Michel,M.,LR,Les Républicains,9408,94,11,94008
2,JULES-ARTHUR,Maximillien,M.,UG,Union de la gauche,9501,95,11,95001
6,SICARD,Anne,Mme,RN,Rassemblement National,9501,95,11,95001
