Nom,Prenom,Civilite,LibNua,NumDepCand,Voix,RapVoixExp,CodCirc,NbVoix,RapportExprimes
GODIN,ANDRE,M.,Socialiste,2,      16 734,"  33,23",00101,16734,33.23
BERTRAND,J.MICHEL,M.,Union pour la majorité présidentielle,3,      21 397,"  42,49",00101,21397,42.49
COTTON,J.PIERRE,M.,Extrême gauche,5,         597,"   1,19",00101,597,1.19
GUENARD-GERBAUD,CAROLE,Mme,Ligue communiste révolutionnaire,7,         713,"   1,42",00101,713,1.42
LE MAOUT,HERVE,M.,Mouvement pour la France,8,         803,"   1,59",00101,803,1.59
BOULME,J.MICHEL,M.,Extrême gauche,12,         191,"   0,38",00101,191,0.38
VEILLEROT,ANNICK,Mme,Mouvement national républicain,13,         781,"   1,55",00101,781,1.55
LAHY,ERIC,M.,Lutte ouvrière,18,         414,"   0,82",00101,414,0.82
BENOISTON,ARMELLE,Mme,Front national,27,       5 630,"  11,18",00101,5630,11.18
BESSON,M.FRANCE,Mme,Chasse-Pêche-Nature et Traditions,44,         899,"   1,79",00101,899,1.79
FAVIER,NOELLE,Mme,Communiste,45,         737,"   1,46",00101,737,1.46
DURAND,BEATRICE,Mme,Pôle républicain,49,         555,"   1,10",00101,555,1.1
FAVRE,BERNARD,M.,Autre écologiste,50,         627,"   1,25",00101,627,1.25
BOVIS,OLIVIER,M.,Divers,55,          64,"   0,13",00101,64,0.13
SOLMONT,LEO,M.,Autre écologiste,62,         216,"   0,43",00101,216,0.43
GUICHON,LUCIEN,M.,Union pour la majorité présidentielle,6,      20 791,"  41,14",00102,20791,41.14
GILBERT,ERIC,M.,Les Verts,9,       2 043,"   4,04",00102,2043,4.04
BARATAY,DENIS,M.,Chasse-Pêche-Nature et Traditions,10,         800,"   1,58",00102,800,1.58
CLAVEL,ANDRE,M.,Mouvement national républicain,14,       1 810,"   3,58",00102,1810,3.58
DRUT-GORJU,ELIANE,Mme,Socialiste,22,      10 439,"  20,66",00102,10439,20.66
LARGERON,GUY,M.,Lutte ouvrière,26,         658,"   1,30",00102,658,1.3
GRELIER,BERNADETTE,Mme,Autre écologiste,32,         553,"   1,09",00102,553,1.09
ECKEL,DIDIER,M.,Ligue communiste révolutionnaire,38,         462,"   0,91",00102,462,0.91
DUCHESNE,JULIEN,M.,Divers,40,         183,"   0,36",00102,183,0.36
PIN,FABIENNE,Mme,Mouvement pour la France,43,         798,"   1,58",00102,798,1.58
FERRI,MYLENE,Mme,Communiste,48,       1 684,"   3,33",00102,1684,3.33
GIRAULT,LYDIA,Mme,Front national,63,       8 831,"  17,47",00102,8831,17.47
CAVET,ALAIN,M.,Pôle républicain,64,       1 254,"   2,48",00102,1254,2.48
KALLACHE,CATHERINE,Mme,Autre écologiste,65,         233,"   0,46",00102,233,0.46
VIRARD,PHILIPPE,M.,Pôle républicain,11,       3 208,"   6,93",00103,3208,6.93
FERNANDEZ,PATRICK,M.,Mouvement national républicain,16,         476,"   1,03",00103,476,1.03
BERTRAND,HUBERT,M.,Radical de gauche,20,       8 721,"  18,84",00103,8721,18.84
BLANC,ETIENNE,M.,Union pour la majorité présidentielle,21,      20 247,"  43,74",00103,20247,43.74
CROZET,SYLVIE,Mme,Lutte ouvrière,25,         671,"   1,45",00103,671,1.45
SOLARI-VINCENSINI,COSTANZA,Mme,Extrême gauche,30,         286,"   0,62",00103,286,0.62
RICHARD,GINETTE,Mme,Autre écologiste,34,         871,"   1,88",00103,871,1.88
PASQUALIN,ALAIN,M.,Les Verts,35,       1 945,"   4,20",00103,1945,4.2
WYSSA,OLIVIER,M.,Front national,37,       6 169,"  13,33",00103,6169,13.33
ROSSET,A.MARIE,Mme,Régionaliste,39,         141,"   0,30",00103,141,0.3
HERVE,DANIELE,Mme,Divers,51,          92,"   0,20",00103,92,0.2
ALLENBACH,ELISA,Mme,Divers,54,         240,"   0,52",00103,240,0.52
MERLO,J.PIERRE,M.,Communiste,56,       1 556,"   3,36",00103,1556,3.36
BETTANT,GERARD,M.,Chasse-Pêche-Nature et Traditions,57,       1 662,"   3,59",00103,1662,3.59
LACHEISSERIE DE,J.LOUP,M.,Front national,1,      10 102,"  16,47",00104,10102,16.47
VOISIN,MICHEL,M.,Union pour la majorité présidentielle,4,      28 045,"  45,73",00104,28045,45.73
JOUVE,RENEE,Mme,Mouvement national républicain,15,         551,"   0,90",00104,551,0.9
PARTENSKY,ANNE,Mme,Les Verts,17,         956,"   1,56",00104,956,1.56
VIAL,DOMINIQUE,Mme,Pôle républicain,19,         844,"   1,38",00104,844,1.38
LEVEQUE,MICHELE,Mme,Mouvement pour la France,24,         512,"   0,83",00104,512,0.83
