NbrIns,RapIns,CodCirc,Inscrits
      77 720," 100,00",04501,77720
      77 452," 100,00",04502,77452
      83 337," 100,00",04503,83337
      88 561," 100,00",04504,88561
      83 676," 100,00",04505,83676
      65 720," 100,00",04601,65720
      62 733," 100,00",04602,62733
      80 198," 100,00",04701,80198
      75 523," 100,00",04702,75523
      73 569," 100,00",04703,73569
      31 327," 100,00",04801,31327
      75 323," 100,00",04901,75323
      80 043," 100,00",04902,80043
      64 287," 100,00",04903,64287
      68 675," 100,00",04904,68675
      70 558," 100,00",04905,70558
      84 643," 100,00",04906,84643
      68 223," 100,00",04907,68223
      73 403," 100,00",05003,73403
      69 373," 100,00",05004,69373
      69 135," 100,00",05005,69135
      56 497," 100,00",05101,56497
      64 862," 100,00",05102,64862
      62 584," 100,00",05103,62584
      67 343," 100,00",05106,67343
      77 043," 100,00",05201,77043
      66 829," 100,00",05202,66829
      65 040," 100,00",05302,65040
      70 365," 100,00",05303,70365
      48 584," 100,00",05401,48584
      74 888," 100,00",05402,74888
      56 593," 100,00",05403,56593
      74 859," 100,00",05404,74859
      70 973," 100,00",05405,70973
      75 208," 100,00",05406,75208
      69 891," 100,00",05407,69891
      78 703," 100,00",05501,78703
      60 699," 100,00",05502,60699
      93 398," 100,00",05601,93398
      83 490," 100,00",05602,83490
      77 375," 100,00",05603,77375
      82 297," 100,00",05604,82297
      80 070," 100,00",05605,80070
      70 597," 100,00",05701,70597
      71 689," 100,00",05702,71689
      69 536," 100,00",05703,69536
      67 935," 100,00",05704,67935
      73 928," 100,00",05705,73928
      72 347," 100,00",05706,72347
      76 856," 100,00",05707,76856
      72 213," 100,00",05708,72213
      70 977," 100,00",05709,70977
      69 005," 100,00",05710,69005
      55 378," 100,00",05801,55378
      59 833," 100,00",05802,59833
      55 348," 100,00",05803,55348
      58 435," 100,00",05901,58435
      70 938," 100,00",05902,70938
      60 045," 100,00",05903,60045
      83 592," 100,00",05905,83592
      76 947," 100,00",05906,76947
      68 409," 100,00",05907,68409
      68 057," 100,00",05908,68057
      74 073," 100,00",05910,74073
      84 288," 100,00",05911,84288
      69 727," 100,00",05912,69727
      64 969," 100,00",05913,64969
      71 427," 100,00",05914,71427
      71 240," 100,00",05915,71240
      79 861," 100,00",05916,79861
      73 191," 100,00",05917,73191
      77 646," 100,00",05918,77646
      77 992," 100,00",05919,77992
      80 177," 100,00",05920,80177
      75 097," 100,00",05921,75097
      74 211," 100,00",05922,74211
      67 110," 100,00",05923,67110
      64 534," 100,00",05924,64534
      74 837," 100,00",06001,74837
      79 721," 100,00",06002,79721
      64 490," 100,00",06003,64490
      83 666," 100,00",06004,83666
      65 788," 100,00",06005,65788
      69 409," 100,00",06006,69409
      69 918," 100,00",06007,69918
      71 442," 100,00",06101,71442
      77 798," 100,00",06201,77798
      73 897," 100,00",06202,73897
      73 007," 100,00",06203,73007
      76 745," 100,00",06204,76745
      63 020," 100,00",06205,63020
      70 576," 100,00",06206,70576
      81 261," 100,00",06207,81261
      67 256," 100,00",06208,67256
      79 654," 100,00",06209,79654
      72 028," 100,00",06210,72028
      91 864," 100,00",06211,91864
      77 667," 100,00",06212,77667
      71 606," 100,00",06213,71606
      74 065," 100,00",06214,74065
      58 699," 100,00",06301,58699
      72 686," 100,00",06302,72686
      71 771," 100,00",06303,71771
      73 660," 100,00",06304,73660
      64 957," 100,00",06305,64957
      84 906," 100,00",06306,84906
      65 104," 100,00",06401,65104
      69 440," 100,00",06402,69440
      76 692," 100,00",06403,76692
      78 911," 100,00",06404,78911
      76 774," 100,00",06405,76774
      85 398," 100,00",06406,85398
      59 173," 100,00",06501,59173
      60 054," 100,00",06502,60054
      50 247," 100,00",06503,50247
      58 838," 100,00",06601,58838
      85 481," 100,00",06602,85481
      61 694," 100,00",06603,61694
      80 513," 100,00",06604,80513
      49 330," 100,00",06701,49330
      48 372," 100,00",06702,48372
      61 396," 100,00",06703,61396
      92 984," 100,00",06705,92984
      97 787," 100,00",06709,97787
      71 589," 100,00",06802,71589
      68 864," 100,00",06804,68864
      51 772," 100,00",06805,51772
      70 648," 100,00",06806,70648
      71 088," 100,00",06807,71088
      54 210," 100,00",06901,54210
      62 891," 100,00",06902,62891
      57 266," 100,00",06903,57266
      63 752," 100,00",06904,63752
      79 104," 100,00",06905,79104
      63 935," 100,00",06906,63935
      53 433," 100,00",06907,53433
      72 650," 100,00",06909,72650
      81 519," 100,00",06910,81519
      73 208," 100,00",06911,73208
      83 187," 100,00",06913,83187
      46 593," 100,00",06914,46593
      62 029," 100,00",07001,62029
      61 236," 100,00",07002,61236
      51 577," 100,00",07003,51577
      64 588," 100,00",07102,64588
      67 599," 100,00",07103,67599
      61 294," 100,00",07104,61294
      62 315," 100,00",07105,62315
      80 465," 100,00",07106,80465
      79 487," 100,00",07202,79487
      80 876," 100,00",07203,80876
      84 037," 100,00",07205,84037
      97 900," 100,00",07301,97900
      89 008," 100,00",07303,89008
      92 173," 100,00",07401,92173
      77 551," 100,00",07402,77551
      78 066," 100,00",07403,78066
      81 136," 100,00",07404,81136
      95 402," 100,00",07405,95402
      54 973," 100,00",07501,54973
      50 567," 100,00",07502,50567
      41 238," 100,00",07503,41238
      41 014," 100,00",07505,41014
      55 313," 100,00",07506,55313
      55 694," 100,00",07507,55694
      64 184," 100,00",07508,64184
      53 605," 100,00",07509,53605
      58 331," 100,00",07510,58331
      53 790," 100,00",07511,53790
      38 592," 100,00",07515,38592
      49 695," 100,00",07516,49695
      48 290," 100,00",07517,48290
      48 673," 100,00",07518,48673
      40 107," 100,00",07519,40107
      54 981," 100,00",07520,54981
      63 797," 100,00",07521,63797
      55 341," 100,00",07601,55341
      83 193," 100,00",07602,83193
      54 309," 100,00",07603,54309
      69 774," 100,00",07604,69774
      85 397," 100,00",07605,85397
      75 911," 100,00",07606,75911
      58 265," 100,00",07607,58265
      52 613," 100,00",07608,52613
      81 091," 100,00",07609,81091
      80 746," 100,00",07610,80746
