NbrIns,RapIns,CodCirc,Inscrits
      80 534," 100,00",00101,80534
      83 249," 100,00",00102,83249
      77 413," 100,00",00103,77413
      98 271," 100,00",00104,98271
      70 129," 100,00",00201,70129
      73 010," 100,00",00202,73010
      72 659," 100,00",00203,72659
      76 159," 100,00",00204,76159
      75 534," 100,00",00205,75534
      57 895," 100,00",00301,57895
      65 653," 100,00",00302,65653
      70 148," 100,00",00303,70148
      62 826," 100,00",00304,62826
      53 761," 100,00",00401,53761
      55 411," 100,00",00402,55411
      52 844," 100,00",00501,52844
      42 515," 100,00",00502,42515
      61 562," 100,00",00601,61562
      67 362," 100,00",00602,67362
      72 483," 100,00",00603,72483
      70 356," 100,00",00604,70356
      83 399," 100,00",00605,83399
      95 021," 100,00",00606,95021
      89 600," 100,00",00607,89600
      60 983," 100,00",00608,60983
      94 753," 100,00",00609,94753
      68 981," 100,00",00701,68981
      83 133," 100,00",00702,83133
      68 109," 100,00",00703,68109
      70 398," 100,00",00801,70398
      64 159," 100,00",00802,64159
      58 179," 100,00",00803,58179
      54 069," 100,00",00901,54069
      55 180," 100,00",00902,55180
      55 576," 100,00",01001,55576
      68 838," 100,00",01002,68838
      69 854," 100,00",01003,69854
      65 699," 100,00",01101,65699
      99 726," 100,00",01102,99726
      71 661," 100,00",01103,71661
      72 571," 100,00",01201,72571
      71 874," 100,00",01202,71874
      70 323," 100,00",01203,70323
      55 174," 100,00",01301,55174
      58 400," 100,00",01302,58400
      43 103," 100,00",01303,43103
      42 843," 100,00",01304,42843
      47 853," 100,00",01305,47853
      63 494," 100,00",01306,63494
      46 649," 100,00",01307,46649
      64 346," 100,00",01308,64346
      83 557," 100,00",01309,83557
     112 115," 100,00",01310,112115
      88 360," 100,00",01311,88360
     100 030," 100,00",01312,100030
      83 418," 100,00",01313,83418
      91 027," 100,00",01314,91027
      90 035," 100,00",01315,90035
      79 408," 100,00",01316,79408
      69 518," 100,00",01401,69518
      64 788," 100,00",01402,64788
      71 637," 100,00",01403,71637
      75 610," 100,00",01404,75610
      94 414," 100,00",01405,94414
      83 595," 100,00",01406,83595
      64 058," 100,00",01501,64058
      59 842," 100,00",01502,59842
      62 611," 100,00",01601,62611
      60 816," 100,00",01602,60816
      69 349," 100,00",01603,69349
      62 747," 100,00",01604,62747
      87 546," 100,00",01701,87546
      83 252," 100,00",01702,83252
      76 492," 100,00",01703,76492
      81 865," 100,00",01704,81865
      89 676," 100,00",01705,89676
      74 219," 100,00",01801,74219
      68 685," 100,00",01802,68685
      85 526," 100,00",01803,85526
      65 481," 100,00",01901,65481
      66 327," 100,00",01902,66327
      52 536," 100,00",01903,52536
      63 487," 100,00",02101,63487
      58 516," 100,00",02102,58516
      63 336," 100,00",02103,63336
      68 471," 100,00",02104,68471
      77 586," 100,00",02105,77586
      83 820," 100,00",02201,83820
      86 082," 100,00",02202,86082
      83 259," 100,00",02203,83259
      79 125," 100,00",02204,79125
      97 517," 100,00",02205,97517
      51 316," 100,00",02301,51316
      50 509," 100,00",02302,50509
      72 869," 100,00",02401,72869
      77 503," 100,00",02402,77503
      71 072," 100,00",02403,71072
      82 999," 100,00",02404,82999
      65 445," 100,00",02501,65445
      69 931," 100,00",02502,69931
      64 363," 100,00",02503,64363
      65 602," 100,00",02504,65602
      70 532," 100,00",02505,70532
      68 306," 100,00",02601,68306
      74 518," 100,00",02602,74518
      90 338," 100,00",02603,90338
      77 567," 100,00",02604,77567
      78 277," 100,00",02701,78277
      70 279," 100,00",02702,70279
      73 443," 100,00",02703,73443
      77 245," 100,00",02704,77245
      79 686," 100,00",02705,79686
      78 945," 100,00",02801,78945
      64 752," 100,00",02802,64752
      69 335," 100,00",02803,69335
      65 630," 100,00",02804,65630
      79 422," 100,00",02901,79422
      68 034," 100,00",02902,68034
      86 638," 100,00",02903,86638
      78 588," 100,00",02904,78588
      84 560," 100,00",02905,84560
      85 633," 100,00",02906,85633
      76 691," 100,00",02907,76691
      77 818," 100,00",02908,77818
      41 176," 100,00",02A01,41176
      45 367," 100,00",02A02,45367
      47 659," 100,00",02B01,47659
      57 204," 100,00",02B02,57204
      77 145," 100,00",03001,77145
     102 289," 100,00",03002,102289
     103 250," 100,00",03003,103250
      79 795," 100,00",03004,79795
      84 438," 100,00",03005,84438
      64 030," 100,00",03101,64030
      99 808," 100,00",03102,99808
      79 039," 100,00",03103,79039
      50 341," 100,00",03104,50341
     120 131," 100,00",03105,120131
     113 016," 100,00",03106,113016
     108 007," 100,00",03107,108007
      79 146," 100,00",03108,79146
      70 237," 100,00",03201,70237
      65 434," 100,00",03202,65434
      72 884," 100,00",03301,72884
      52 179," 100,00",03302,52179
      64 925," 100,00",03303,64925
      77 010," 100,00",03304,77010
      86 229," 100,00",03305,86229
      80 088," 100,00",03306,80088
      90 668," 100,00",03307,90668
     105 638," 100,00",03308,105638
      91 084," 100,00",03309,91084
      74 283," 100,00",03310,74283
      76 125," 100,00",03311,76125
      67 665," 100,00",03401,67665
      57 788," 100,00",03402,57788
     114 722," 100,00",03403,114722
     118 966," 100,00",03404,118966
      88 371," 100,00",03405,88371
      80 288," 100,00",03406,80288
     107 449," 100,00",03407,107449
      71 900," 100,00",03501,71900
      90 031," 100,00",03502,90031
      83 468," 100,00",03503,83468
      98 887," 100,00",03504,98887
     108 991," 100,00",03505,108991
      74 105," 100,00",03506,74105
      93 268," 100,00",03507,93268
      55 393," 100,00",03601,55393
      64 285," 100,00",03602,64285
      57 192," 100,00",03603,57192
      53 768," 100,00",03701,53768
      85 115," 100,00",03702,85115
      87 822," 100,00",03703,87822
      82 137," 100,00",03704,82137
      73 572," 100,00",03705,73572
      74 819," 100,00",03801,74819
      66 002," 100,00",03802,66002
      54 408," 100,00",03803,54408
      77 861," 100,00",03804,77861
      83 187," 100,00",03805,83187
      92 619," 100,00",03806,92619
      88 419," 100,00",03807,88419
      93 862," 100,00",03808,93862
      80 436," 100,00",03809,80436
      62 709," 100,00",03901,62709
      53 724," 100,00",03902,53724
      65 421," 100,00",03903,65421
      84 368," 100,00",04001,84368
      95 940," 100,00",04002,95940
      79 315," 100,00",04003,79315
      86 801," 100,00",04101,86801
      76 928," 100,00",04102,76928
      69 373," 100,00",04103,69373
      66 492," 100,00",04201,66492
      50 487," 100,00",04202,50487
      75 070," 100,00",04203,75070
      67 007," 100,00",04204,67007
      68 453," 100,00",04205,68453
      65 577," 100,00",04206,65577
      92 517," 100,00",04207,92517
      87 655," 100,00",04301,87655
      78 904," 100,00",04302,78904
      69 243," 100,00",04401,69243
      76 572," 100,00",04402,76572
      81 062," 100,00",04403,81062
      74 167," 100,00",04404,74167
     104 280," 100,00",04405,104280
      71 030," 100,00",04406,71030
      94 621," 100,00",04407,94621
      72 255," 100,00",04408,72255
      86 229," 100,00",04409,86229
      88 698," 100,00",04410,88698
      77 721," 100,00",04501,77721
      77 449," 100,00",04502,77449
      83 338," 100,00",04503,83338
      88 569," 100,00",04504,88569
      83 674," 100,00",04505,83674
      65 717," 100,00",04601,65717
      62 734," 100,00",04602,62734
      80 206," 100,00",04701,80206
      75 530," 100,00",04702,75530
      73 607," 100,00",04703,73607
      31 333," 100,00",04801,31333
      27 507," 100,00",04802,27507
      75 326," 100,00",04901,75326
      80 043," 100,00",04902,80043
      64 291," 100,00",04903,64291
      68 675," 100,00",04904,68675
      70 560," 100,00",04905,70560
      84 647," 100,00",04906,84647
      68 227," 100,00",04907,68227
      72 275," 100,00",05001,72275
      75 123," 100,00",05002,75123
      73 408," 100,00",05003,73408
      69 380," 100,00",05004,69380
      69 138," 100,00",05005,69138
      56 497," 100,00",05101,56497
      64 859," 100,00",05102,64859
      62 589," 100,00",05103,62589
      59 356," 100,00",05104,59356
      62 268," 100,00",05105,62268
      67 350," 100,00",05106,67350
      77 043," 100,00",05201,77043
      66 829," 100,00",05202,66829
      79 033," 100,00",05301,79033
      65 042," 100,00",05302,65042
      70 367," 100,00",05303,70367
      48 585," 100,00",05401,48585
      74 895," 100,00",05402,74895
      56 593," 100,00",05403,56593
      74 877," 100,00",05404,74877
      70 982," 100,00",05405,70982
      75 217," 100,00",05406,75217
      69 899," 100,00",05407,69899
      78 711," 100,00",05501,78711
      60 711," 100,00",05502,60711
      93 416," 100,00",05601,93416
      83 495," 100,00",05602,83495
      77 377," 100,00",05603,77377
      82 308," 100,00",05604,82308
      80 070," 100,00",05605,80070
      83 498," 100,00",05606,83498
      70 605," 100,00",05701,70605
      71 690," 100,00",05702,71690
      69 538," 100,00",05703,69538
      67 943," 100,00",05704,67943
      73 938," 100,00",05705,73938
      72 347," 100,00",05706,72347
      76 858," 100,00",05707,76858
      72 226," 100,00",05708,72226
      70 980," 100,00",05709,70980
      69 017," 100,00",05710,69017
      55 372," 100,00",05801,55372
      59 837," 100,00",05802,59837
      55 367," 100,00",05803,55367
      58 435," 100,00",05901,58435
      70 938," 100,00",05902,70938
      60 044," 100,00",05903,60044
      69 835," 100,00",05904,69835
      83 592," 100,00",05905,83592
      76 945," 100,00",05906,76945
