Nom,Prenom,Civilite,LibNua,NumDepCand,Voix,RapVoixExp,CodCirc,NbVoix,RapportExprimes
VITEL,PHILIPPE,M.,Union pour la majorité présidentielle,73,      17 108,"  61,82",08302,17108,61.82
GIRAN,J.PIERRE,M.,Union pour la majorité présidentielle,12,      33 453,"  67,90",08303,33453,67.9
DAVID BEAUREGARD DE,PHILIPPE,M.,Front national,14,      15 817,"  32,10",08303,15817,32.1
DUTOYA,MICHELE,Mme,Front national,11,      11 638,"  18,24",08304,11638,18.24
MARTIN,CHRISTIAN,M.,Socialiste,53,      19 911,"  31,20",08304,19911,31.2
COUVE,J.MICHEL,M.,Union pour la majorité présidentielle,125,      32 268,"  50,56",08304,32268,50.56
PIERRON,EVELYNE,Mme,Front national,33,      13 520,"  29,42",08305,13520,29.42
GINESTA,GEORGES,M.,Union pour la majorité présidentielle,47,      32 442,"  70,58",08305,32442,70.58
TUDURY,HELENE,Mme,Front national,13,      16 302,"  19,53",08306,16302,19.53
PONS,JOSETTE,Mme,Union pour la majorité présidentielle,19,      38 743,"  46,41",08306,38743,46.41
MENUT,GUY,M.,Socialiste,64,      28 433,"  34,06",08306,28433,34.06
MAYNARD DE,MICHEL,M.,Front national,23,      13 442,"  28,46",08307,13442,28.46
VIALATTE,J.SEBASTIEN,M.,Union pour la majorité présidentielle,69,      33 792,"  71,54",08307,33792,71.54
ROIG,M.JOSEE,Mme,Union pour la majorité présidentielle,36,      22 612,"  58,36",08401,22612,58.36
HELLE,CECILE,Mme,Socialiste,56,      16 135,"  41,64",08401,16135,41.64
GIRO,MAURICE,M.,Union pour la majorité présidentielle,1,      33 178,"  52,24",08402,33178,52.24
JOSEPH,J.LOUIS,M.,Socialiste,3,      30 329,"  47,76",08402,30329,47.76
FERRAND,J.MICHEL,M.,Union pour la majorité présidentielle,43,      31 068,"  67,85",08403,31068,67.85
MACARY,GUY,M.,Front national,70,      14 723,"  32,15",08403,14723,32.15
BOMPARD,JACQUES,M.,Front national,2,      19 439,"  42,38",08404,19439,42.38
MARIANI,THIERRY,M.,Union pour la majorité présidentielle,75,      26 434,"  57,62",08404,26434,57.62
BULTEAU,SYLVIANE,Mme,Socialiste,7,      20 151,"  41,72",08502,20151,41.72
CAILLAUD,DOMINIQUE,M.,Union pour la majorité présidentielle,20,      28 150,"  58,28",08502,28150,58.28
CLAEYS,ALAIN,M.,Socialiste,25,      24 796,"  50,68",08601,24796,50.68
HUMMEL,Dominique,M.,Union pour la majorité présidentielle,33,      24 127,"  49,32",08601,24127,49.32
CHAMARD,J.Yves,M.,Union pour la majorité présidentielle,1,      23 512,"  53,73",08602,23512,53.73
DECAUDIN,M.Françoise,Mme,Socialiste,28,      20 248,"  46,27",08602,20248,46.27
LEPERCQ,ARNAUD,M.,Union pour la majorité présidentielle,4,      24 836,"  58,25",08603,24836,58.25
CLEMENT,J.Michel,M.,Socialiste,15,      17 800,"  41,75",08603,17800,41.75
TONDUSSON,Brigitte,Mme,Socialiste,47,      17 364,"  40,03",08604,17364,40.03
ABELIN,J. PIERRE,M.,Union pour la majorité présidentielle,50,      26 010,"  59,97",08604,26010,59.97
LANFRANCA,P.CLAUDE,M.,Socialiste,1,      16 246,"  48,75",08701,16246,48.75
MARSAUD,ALAIN,M.,Union pour la majorité présidentielle,51,      17 082,"  51,25",08701,17082,51.25
BOISSERIE,DANIEL,M.,Socialiste,20,      27 576,"  54,64",08702,27576,54.64
GUILHEM,EVELYNE,Mme,Union pour la majorité présidentielle,49,      22 896,"  45,36",08702,22896,45.36
PEROL DUMONT,M.FRANCOISE,Mme,Socialiste,2,      24 616,"  57,78",08703,24616,57.78
MARTINEAU,BEATRICE,Mme,Union pour la majorité présidentielle,9,      17 988,"  42,22",08703,17988,42.22
RODET,ALAIN,M.,Socialiste,3,      28 157,"  64,55",08704,28157,64.55
LE TARRASTI,OLIVIER,M.,Union pour la majorité présidentielle,12,      15 465,"  35,45",08704,15465,35.45
HEINRICH,Michel,M.,Union pour la majorité présidentielle,2,      25 628,"  61,81",08801,25628,61.81
WELZER,Gérard,M.,Socialiste,33,      15 835,"  38,19",08801,15835,38.19
JACQUOT,Claude,M.,Socialiste,9,      19 460,"  47,47",08802,19460,47.47
CHERPION ,Gérard,M.,Union pour la majorité présidentielle,10,      21 538,"  52,53",08802,21538,52.53
VANNSON,François,M.,Divers droite,18,      23 815,"  58,98",08803,23815,58.98
VAXELAIRE,Guy,M.,Socialiste,24,      16 560,"  41,02",08803,16560,41.02
GAULTIER,Jean Jacques,M.,Union pour la majorité présidentielle,13,      21 590,"  50,77",08804,21590,50.77
FRANQUEVILLE,CHRISTIAN,M.,Divers gauche,29,      20 939,"  49,23",08804,20939,49.23
PARLY,FLORENCE,Mme,Socialiste,14,      18 772,"  42,82",08901,18772,42.82
SOISSON,J.PIERRE,M.,Union pour la majorité présidentielle,23,      25 067,"  57,18",08901,25067,57.18
CAULLET,J.YVES,M.,Socialiste,1,      20 174,"  47,53",08902,20174,47.53
ROLLAND,J.MARIE,M.,Union pour la majorité présidentielle,18,      22 274,"  52,47",08902,22274,52.47
AUBERGER,PHILIPPE,M.,Union pour la majorité présidentielle,13,      29 586,"  61,08",08903,29586,61.08
PARIS,DANIEL,M.,Radical de gauche,21,      18 853,"  38,92",08903,18853,38.92
MESLOT,Damien,M.,Union pour la majorité présidentielle,6,      14 770,"  53,23",09001,14770,53.23
FORNI,RAYMOND,M.,Socialiste,9,      12 979,"  46,77",09001,12979,46.77
CHEVENEMENT,J.PIERRE,M.,Pôle républicain,7,      12 679,"  46,58",09002,12679,46.58
ZUMKELLER,Michel,M.,Union pour la majorité présidentielle,16,      14 543,"  53,42",09002,14543,53.42
DASSAULT,SERGE,M.,Union pour la majorité présidentielle,10,      16 139,"  47,03",09101,16139,47.03
VALLS,MANUEL,M.,Socialiste,73,      18 177,"  52,97",09101,18177,52.97
MARLIN,FRANCK,M.,Union pour la majorité présidentielle,54,      28 341,"  64,08",09102,28341,64.08
LEFRANC,GERARD,M.,Communiste,126,      15 889,"  35,92",09102,15889,35.92
TAVERNIER,YVES,M.,Socialiste,38,      24 371,"  45,97",09103,24371,45.97
COLOT,GENEVIEVE,Mme,Union pour la majorité présidentielle,60,      28 643,"  54,03",09103,28643,54.03
LOUIS,MARIANNE,Mme,Socialiste,87,      20 379,"  44,03",09104,20379,44.03
WILTZER,P.ANDRE,M.,Union pour la majorité présidentielle,151,      25 904,"  55,97",09104,25904,55.97
LASBORDES,PIERRE,M.,Union pour la majorité présidentielle,5,      21 510,"  53,76",09105,21510,53.76
POCRAIN,STEPHANE,M.,Les Verts,127,      18 500,"  46,24",09105,18500,46.24
CARANTOIS,VERONIQUE,Mme,Union pour la majorité présidentielle,8,      20 150,"  48,46",09106,20150,48.46
LAMY,FRANCOIS,M.,Socialiste,108,      21 428,"  51,54",09106,21428,51.54
MARSAUDON,JEAN,M.,Union pour la majorité présidentielle,41,      21 012,"  53,72",09107,21012,53.72
AMARD,GABRIEL,M.,Socialiste,104,      18 101,"  46,28",09107,18101,46.28
TRON,GEORGES,M.,Union pour la majorité présidentielle,22,      23 718,"  59,59",09109,23718,59.59
LEON PLOQUIN,FLORENCE,Mme,Socialiste,94,      16 083,"  40,41",09109,16083,40.41
DRAY,JULIEN,M.,Socialiste,46,      16 158,"  53,04",09110,16158,53.04
DECOUX,FRANCIS,M.,Union pour la majorité présidentielle,110,      14 303,"  46,96",09110,14303,46.96
BRUNHES,JACQUES,M.,Communiste,1,      15 860,"  60,35",09201,15860,60.35
BARTHE,CECILE,Mme,Union pour la majorité présidentielle,168,      10 421,"  39,65",09201,10421,39.65
AESCHLIMANN,MANUEL,M.,Union pour la majorité présidentielle,5,      19 463,"  63,63",09202,19463,63.63
RIERA,DOMINIQUE,M.,Socialiste,150,      11 125,"  36,37",09202,11125,36.37
DUPUY,CHRISTIAN,M.,Union pour la majorité présidentielle,10,      17 197,"  49,24",09204,17197,49.24
FRAYSSE,JACQUELINE,Mme,Communiste,81,      17 729,"  50,76",09204,17729,50.76
BALKANY,PATRICK,M.,Divers droite,19,      12 713,"  34,47",09205,12713,34.47
CATOIRE,GILLES,M.,Socialiste,20,      12 096,"  32,80",09205,12096,32.8
CHAZEAUX DE,OLIVIER,M.,Union pour la majorité présidentielle,102,      12 067,"  32,72",09205,12067,32.72
OLLIER,PATRICK,M.,Union pour la majorité présidentielle,29,      30 505,"  68,52",09207,30505,68.52
NADOR,SOUHILA,Mme,Socialiste,205,      14 013,"  31,48",09207,14013,31.48
GUILLET,J.JACQUES,M.,Union pour la majorité présidentielle,33,      22 654,"  59,29",09208,22654,59.29
LEVAIN,JEAN - MARIE,M.,Radical de gauche,110,      15 555,"  40,71",09208,15555,40.71
SANTINI,ANDRE,M.,Union pour la démocratie française,74,      20 616,"  59,57",09210,20616,59.57
SCHMID,LUCILE,Mme,Socialiste,75,      13 991,"  40,43",09210,13991,40.43
JAMBU,JANINE,Mme,Communiste,155,      19 044,"  54,35",09211,19044,54.35
METTON,JEAN-LOUP,M.,Union pour la démocratie française,165,      15 993,"  45,65",09211,15993,45.65
PEMEZEC,PHILIPPE,M.,Rassemblement pour la France,174,      26 155,"  53,63",09212,26155,53.63
BAVAY,FRANCINE,Mme,Les Verts,175,      22 617,"  46,37",09212,22617,46.37
DEVEDJIAN,PATRICK,M.,Union pour la majorité présidentielle,47,      29 171,"  57,69",09213,29171,57.69
LE NEOUANNIC,PASCALE,Mme,Socialiste,177,      21 390,"  42,31",09213,21390,42.31
LE ROUX,Bruno,M.,Socialiste,5,      11 145,"  50,83",09301,11145,50.83
CHEVREAU,Hervé,M.,Union pour la démocratie française,139,      10 783,"  49,17",09301,10783,49.17
BRAOUEZEC,Patrick,M.,Communiste,8,      13 107,"  63,32",09302,13107,63.32
NICOL,Evelyne,Mme,Union pour la majorité présidentielle,171,       7 592,"  36,68",09302,7592,36.68
GIRARD,J.Michel,M.,Front national,16,       5 746,"  30,69",09303,5746,30.69
JACQUAINT,MUGUETTE,Mme,Communiste,124,      12 979,"  69,31",09303,12979,69.31
VEYSSIERE,andré,M.,Union pour la majorité présidentielle,18,       8 778,"  43,29",09304,8778,43.29
BUFFET,M.George,Mme,Communiste,21,      11 498,"  56,71",09304,11498,56.71
BIRSINGER,Bernard,M.,Communiste,23,      12 684,"  49,96",09305,12684,49.96
LAGARDE,J.Christophe,M.,Union pour la démocratie française,215,      12 706,"  50,04",09305,12706,50.04
DUPONT,J.Claude,M.,Union pour la majorité présidentielle,27,      11 351,"  40,33",09306,11351,40.33
BARTOLONE,Claude,M.,Socialiste,30,      16 791,"  59,67",09306,16791,59.67
BRARD,J.PIERRE,M.,Divers gauche,103,      10 622,"  52,23",09307,10622,52.23
VIPREY,Mouna,Mme,Socialiste,154,       9 715,"  47,77",09307,9715,47.77
WIEMERT,M.Jeanne,Mme,Socialiste,37,      13 374,"  43,63",09308,13374,43.63
PANDRAUD,ROBERT,M.,Union pour la majorité présidentielle,135,      17 282,"  56,37",09308,17282,56.37
GUIGOU,Elisabeth,Mme,Socialiste,42,      14 593,"  56,40",09309,14593,56.4
VINCENT,Georgia,Mme,Union pour la majorité présidentielle,141,      11 283,"  43,60",09309,11283,43.6
AMEDRO,Alain,M.,Les Verts,50,      10 735,"  42,73",09310,10735,42.73
ABRIOUX,J.CLAUDE,M.,Union pour la majorité présidentielle,52,      14 385,"  57,27",09310,14385,57.27
ASENSI,FRANCOIS,M.,Communiste,56,      15 749,"  57,12",09311,15749,57.12
VALLETON,Martine,Mme,Union pour la majorité présidentielle,152,      11 822,"  42,88",09311,11822,42.88
CALMAT,Alain,M.,Divers gauche,68,      15 284,"  47,25",09312,15284,47.25
RAOULT,Eric,M.,Union pour la majorité présidentielle,174,      17 060,"  52,75",09312,17060,52.75
PAJON,MICHEL,M.,Socialiste,118,      17 892,"  52,28",09313,17892,52.28
MORERE,J.Marc,M.,Divers droite,185,      16 332,"  47,72",09313,16332,47.72
PLAGNOL,HENRI,M.,Union pour la majorité présidentielle,2,      18 476,"  62,08",09401,18476,62.08
SAVARY,ELISABETH,Mme,Socialiste,4,      11 285,"  37,92",09401,11285,37.92
CATHALA,LAURENT,M.,Socialiste,8,      17 413,"  56,57",09402,17413,56.57
DELWASSE,LILIANE,Mme,Union pour la majorité présidentielle,203,      13 367,"  43,43",09402,13367,43.43
SCHWARTZENBERG,R.GERARD,M.,Radical de gauche,14,      18 149,"  51,26",09403,18149,51.26
BATAILLE,M.MICHELLE,Mme,Union pour la majorité présidentielle,74,      17 254,"  48,74",09403,17254,48.74
BENISTI,JACQUES,M.,Union pour la majorité présidentielle,164,      22 255,"  59,07",09404,22255,59.07
SABBAN,MICHELE,Mme,Socialiste,200,      15 421,"  40,93",09404,15421,40.93
CARREZ,GILLES,M.,Union pour la majorité présidentielle,20,      18 348,"  58,01",09405,18348,58.01
PICARD,EVELYNE,Mme,Socialiste,96,      13 280,"  41,99",09405,13280,41.99
SERNE,PIERRE,M.,Les Verts,26,      17 518,"  42,99",09406,17518,42.99
BEAUDOUIN,PATRICK,M.,Union pour la majorité présidentielle,110,      23 234,"  57,01",09406,23234,57.01
MONTCHAMP,M.ANNE,Mme,Union pour la majorité présidentielle,28,      19 613,"  61,86",09407,19613,61.86
BOGOSSIAN,NADINE,Mme,Socialiste,30,      12 093,"  38,14",09407,12093,38.14
BOUQUET,NATHALIE,Mme,Union pour la majorité présidentielle,37,      10 393,"  42,73",09409,10393,42.73
ROUQUET,RENE,M.,Socialiste,38,      13 929,"  57,27",09409,13929,57.27
LEFORT,J.CLAUDE,M.,Communiste,44,      17 905,"  61,75",09410,17905,61.75
PESENTI,MICHELE,Mme,Union pour la majorité présidentielle,180,      11 089,"  38,25",09410,11089,38.25
LE BOUILLONNEC,J.YVES,M.,Socialiste,86,      15 568,"  56,20",09411,15568,56.2
N'GUYEN,CARINE,Mme,Union pour la majorité présidentielle,125,      12 132,"  43,80",09411,12132,43.8
AGNOLA DELL',RICHARD,M.,Union pour la majorité présidentielle,109,      18 739,"  54,42",09412,18739,54.42
SEVE,PATRICK,M.,Socialiste,202,      15 697,"  45,58",09412,15697,45.58
HOUILLON,PHILIPPE,M.,Union pour la majorité présidentielle,7,      23 890,"  58,18",09501,23890,58.18
BATTAGLIA,VALERIE,Mme,Les Verts,207,      17 173,"  41,82",09501,17173,41.82
PONIATOWSKI,AXEL,M.,Union pour la majorité présidentielle,22,      31 163,"  53,08",09502,31163,53.08
GILLOT,DOMINIQUE,Mme,Socialiste,160,      27 546,"  46,92",09502,27546,46.92
BARDET,JEAN,M.,Union pour la majorité présidentielle,54,      24 290,"  56,50",09503,24290,56.5
DOUCET,PHILIPPE,M.,Socialiste,430,      18 701,"  43,50",09503,18701,43.5
DELATTRE,FRANCIS,M.,Union pour la majorité présidentielle,19,      22 263,"  57,28",09504,22263,57.28
BOYER,ELISABETH,Mme,Radical de gauche,309,      16 603,"  42,72",09504,16603,42.72
MOTHRON,GEORGES,M.,Union pour la majorité présidentielle,151,      16 150,"  50,38",09505,16150,50.38
HUE,ROBERT,M.,Communiste,312,      15 906,"  49,62",09505,15906,49.62
HADDAD,JANINE,Mme,Socialiste,280,      13 910,"  38,74",09506,13910,38.74
SCELLIER,FRANCOIS,M.,Union pour la majorité présidentielle,436,      22 000,"  61,26",09506,22000,61.26
CHARTIER,JEROME,M.,Union pour la majorité présidentielle,10,      24 363,"  57,71",09507,24363,57.71
ARNAL,DIDIER,M.,Socialiste,36,      17 854,"  42,29",09507,17854,42.29
STRAUSS KAHN,DOMINIQUE,M.,Socialiste,193,      11 911,"  55,01",09508,11911,55.01
JACQUEST,SOPHIE,Mme,Union pour la démocratie française,260,       9 741,"  44,99",09508,9741,44.99
BLAZY,J.PIERRE,M.,Socialiste,33,      16 939,"  54,57",09509,16939,54.57
HERMANVILLE,ELISABETH,Mme,Union pour la majorité présidentielle,184,      14 100,"  45,43",09509,14100,45.43
MARSIN,Daniel,M.,Divers gauche,30,      12 863,"  49,67",97101,12863,49.67
JALTON,Eric,M.,Divers,56,      13 036,"  50,33",97101,13036,50.33
MOUTOUSSAMY,Ernest,M.,Divers gauche,29,      14 219,"  47,49",97102,14219,47.49
LOUIS-CARABIN,Gabrielle,Mme,Union pour la majorité présidentielle,61,      15 720,"  52,51",97102,15720,52.51
ANDY,Léo,M.,Divers gauche,34,      11 107,"  47,54",97103,11107,47.54
BEAUGENDRE,Joël,M.,Union pour la majorité présidentielle,48,      12 257,"  52,46",97103,12257,52.46
LUREL,Victorin,M.,Socialiste,40,      14 234,"  50,83",97104,14234,50.83
CHAULET,Philippe,M.,Union pour la majorité présidentielle,51,      13 771,"  49,17",97104,13771,49.17
TURINAY,Anicet,M.,Union pour la majorité présidentielle,14,      10 397,"  49,42",97201,10397,49.42
MANSCOUR,Louis-Joseph,M.,Socialiste,16,      10 642,"  50,58",97201,10642,50.58
ALMONT,Alfred,M.,Union pour la majorité présidentielle,2,      12 591,"  71,85",97202,12591,71.85
MOURIESSE,Alexandre,M.,Divers gauche,7,       4 932,"  28,15",97202,4932,28.15
SAMOT,Pierre Jean,M.,Divers gauche,10,      11 630,"  58,50",97203,11630,58.5
DARSIERES,CAMILLE,M.,Divers gauche,25,       8 252,"  41,50",97203,8252,41.5
LESUEUR,André,M.,Union pour la majorité présidentielle,12,      15 441,"  48,81",97204,15441,48.81
MARIE JEANNE,ALFRED,M.,Régionaliste,24,      16 194,"  51,19",97204,16194,51.19
BUDOC,REMY-LOUIS,M.,Union pour la majorité présidentielle,19,       2 090,"  34,73",97301,2090,34.73
TAUBIRA ,CHRISTIANE,Mme,Divers gauche,21,       3 927,"  65,27",97301,3927,65.27
BERTRAND,LEON,M.,Union pour la majorité présidentielle,10,       7 169,"  64,46",97302,7169,64.46
ANTOINETTE,JEAN-ETIENNE,M.,Divers gauche,22,       3 952,"  35,54",97302,3952,35.54
VICTORIA,René-paul,M.,Union pour la majorité présidentielle,44,      20 297,"  57,95",97401,20297,57.95
TAMAYA,MICHEL,M.,Socialiste,49,      14 727,"  42,05",97401,14727,42.05
BENARD,"Alain, Robert",M.,Union pour la majorité présidentielle,3,      25 094,"  45,95",97402,25094,45.95
BELLO,HUGUETTE,Mme,Communiste,4,      29 518,"  54,05",97402,29518,54.05
HOARAU,CLAUDE,M.,Communiste,7,      23 154,"  47,72",97405,23154,47.72
AUDIFAX,Bertho,M.,Union pour la majorité présidentielle,52,      25 368,"  52,28",97405,25368,52.28
CLAIREAUX,Karine,Mme,Socialiste,2,       1 050,"  30,83",97501,1050,30.83
GRIGNON,Gérard,M.,Union pour la majorité présidentielle,6,       2 356,"  69,17",97501,2356,69.17
SIADI,Vita,M.,Union pour la démocratie française,5,      14 133,"  45,39",97601,14133,45.39
KAMARDINE,Mansour,M.,Union pour la majorité présidentielle,7,      17 001,"  54,61",97601,17001,54.61
TIALETAGI,Penisio,M.,Divers gauche,1,       3 716,"  49,61",98601,3716,49.61
BRIAL,Victor,M.,Union pour la majorité présidentielle,2,       3 774,"  50,39",98601,3774,50.39
LAFLEUR,Jacques,M.,Union pour la majorité présidentielle,2,      12 670,"  55,74",98801,12670,55.74
LE ROUX,Didier,M.,Union pour la démocratie française,8,      10 059,"  44,26",98801,10059,44.26
FROGIER,Pierre,M.,Union pour la majorité présidentielle,3,      15 719,"  55,71",98802,15719,55.71
NEAOUTYINE,paul,M.,Régionaliste,15,      12 495,"  44,29",98802,12495,44.29
