Nom,Prenom,Civilite,LibNua,NumDepCand,Voix,RapVoixExp,CodCirc,NbVoix,RapportExprimes
UEBERSCHLAG,JEAN,M.,Union pour la majorité présidentielle,41,      23 488,"  71,29",06804,23488,71.29
BOCKEL,J.MARIE,M.,Socialiste,4,      12 491,"  44,13",06805,12491,44.13
GROSSKOST,ARLETTE,Mme,Union pour la majorité présidentielle,8,      15 816,"  55,87",06805,15816,55.87
HALLER,CECILE,Mme,Front national,6,       7 690,"  24,67",06806,7690,24.67
HILLMEYER,FRANCIS,M.,Union pour la démocratie française,70,      23 487,"  75,33",06806,23487,75.33
SORDI,MICHEL,M.,Union pour la majorité présidentielle,18,      20 220,"  53,79",06807,20220,53.79
BAEUMLER,J.PIERRE,M.,Socialiste,28,      17 373,"  46,21",06807,17373,46.21
COMPARINI,A.MARIE,Mme,Union pour la majorité présidentielle,12,      17 265,"  55,44",06901,17265,55.44
TOURAINE,J.LOUIS,M.,Socialiste,18,      13 878,"  44,56",06901,13878,44.56
BUNA,GILLES,M.,Les Verts,124,      16 825,"  44,64",06902,16825,44.64
HAMELIN,EMMANUEL,M.,Union pour la majorité présidentielle,162,      20 866,"  55,36",06902,20866,55.36
DUBERNARD,J.MICHEL,M.,Union pour la majorité présidentielle,1,      18 487,"  55,32",06903,18487,55.32
ROMAGNAN,BARBARA,Mme,Socialiste,150,      14 933,"  44,68",06903,14933,44.68
PHILIP,CHRISTIAN,M.,Union pour la majorité présidentielle,50,      24 280,"  64,49",06904,24280,64.49
HEMON,PIERRE,M.,Les Verts,143,      13 371,"  35,51",06904,13371,35.51
COCHET,PHILIPPE,M.,Union pour la majorité présidentielle,10,      29 989,"  65,47",06905,29989,65.47
MAILLER,FRANCOISE,Mme,Radical de gauche,160,      15 817,"  34,53",06905,15817,34.53
GAUTIER,NATHALIE,Mme,Socialiste,26,      17 246,"  51,02",06906,17246,51.02
RENDU,DANIEL,M.,Union pour la majorité présidentielle,222,      16 559,"  48,98",06906,16559,48.98
QUEYRANNE,J.JACK,M.,Socialiste,43,      15 869,"  54,91",06907,15869,54.91
MILLON,CHARLES,M.,Divers droite,240,      13 029,"  45,09",06907,13029,45.09
BARBIER,J.PIERRE,M.,Front national,5,       9 632,"  26,80",06909,9632,26.8
PERRUT,BERNARD,M.,Union pour la majorité présidentielle,137,      26 315,"  73,20",06909,26315,73.2
BESSON,JEAN,M.,Union pour la majorité présidentielle,191,      29 651,"  65,40",06910,29651,65.4
KOHLHAAS,J.CHARLES,M.,Les Verts,259,      15 689,"  34,60",06910,15689,34.6
MONTCHARMONT,GABRIEL,M.,Socialiste,55,      19 878,"  48,02",06911,19878,48.02
FENECH,GEORGES,M.,Union pour la majorité présidentielle,129,      21 518,"  51,98",06911,21518,51.98
GOLLNISCH,BRUNO,M.,Front national,3,      10 186,"  21,29",06913,10186,21.29
DUBOST,A.MARIE,Mme,Union pour la majorité présidentielle,14,      17 452,"  36,48",06913,17452,36.48
DAVID,MARTINE,Mme,Socialiste,19,      20 197,"  42,22",06913,20197,42.22
SARDAT,ANDRE,M.,Union pour la majorité présidentielle,16,      10 574,"  46,96",06914,10574,46.96
GERIN,ANDRE,M.,Communiste,59,      11 942,"  53,04",06914,11942,53.04
JOYANDET,Alain,M.,Union pour la majorité présidentielle,1,      23 096,"  59,94",07001,23096,59.94
SILVAIN,Martine,Mme,Socialiste,37,      15 439,"  40,06",07001,15439,40.06
BRIOT,Maryvonne,Mme,Union pour la majorité présidentielle,41,      19 045,"  51,09",07002,19045,51.09
MICHEL,J.Pierre,M.,Divers gauche,49,      18 234,"  48,91",07002,18234,48.91
RAISON,Michel,M.,Union pour la majorité présidentielle,23,      17 275,"  51,47",07003,17275,51.47
MARIOT,J.Paul,M.,Socialiste,24,      16 287,"  48,53",07003,16287,48.53
REBILLARD,JACQUES,M.,Radical de gauche,25,      19 909,"  49,91",07102,19909,49.91
NESME,J.MARC,M.,Union pour la majorité présidentielle,42,      19 980,"  50,09",07102,19980,50.09
