NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,CASTEK,Sandrine,Mme,RN,Rassemblement National,7999,"  13,34","   7,42",non,02205,02205,22005
2,GUÉGUEN,Yann,M.,DXG,Divers extrême gauche,485,"   0,81","   0,45",non,02205,02205,22005
3,LE MEAUX,Vincent,M.,DVG,Divers gauche,6144,"  10,25","   5,70",non,02205,02205,22005
4,PODER,Eric,M.,REG,Régionaliste,362,"   0,60","   0,34",non,02205,02205,22005
5,JEZEQUEL,Yves,M.,LR,Les Républicains,4038,"   6,74","   3,75",non,02205,02205,22005
6,PIEPERS,Mael,M.,ECO,Ecologistes,0,"   0,00","   0,00",non,02205,02205,22005
7,GIOUX,Sylvie,Mme,ECO,Ecologistes,1900,"   3,17","   1,76",non,02205,02205,22005
8,TROADEC,Marie-Amélie,Mme,NUP,Nouvelle union populaire écologique et sociale,15851,"  26,44","  14,71",Bal.,02205,02205,22005
9,VICET,Marielle,Mme,DIV,Divers,549,"   0,92","   0,51",non,02205,02205,22005
10,KERRAIN,Trefina,Mme,REG,Régionaliste,1277,"   2,13","   1,19",non,02205,02205,22005
11,GERMAIN,Bernard,M.,REC,Reconquête !,1965,"   3,28","   1,82",non,02205,02205,22005
12,WEBER,Carine,Mme,DXG,Divers extrême gauche,289,"   0,48","   0,27",non,02205,02205,22005
13,LECLERC,Erwann,M.,DSV,Droite souverainiste,540,"   0,90","   0,50",non,02205,02205,22005
14,BOTHOREL,Eric,M.,ENS,Ensemble ! (Majorité présidentielle),18543,"  30,93","  17,21",Bal.,02205,02205,22005
