NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,JUHOOR,Karim,M.,DVG,Divers gauche,1416,"   4,39","   1,20",non,97407,97407,ZD007
2,CODDEVILLE,Hélène,Mme,ENS,Ensemble ! (Majorité présidentielle),2837,"   8,79","   2,40",non,97407,97407,ZD007
3,CATHERINE,Richelain,M.,DIV,Divers,331,"   1,03","   0,28",non,97407,97407,ZD007
4,ROBERT,Thierry,M.,DVC,Divers centre,7912,"  24,53","   6,69",Bal.,97407,97407,ZD007
5,MASSAIN,Remy,M.,RDG,Parti radical de gauche,228,"   0,71","   0,19",non,97407,97407,ZD007
6,VELLEYEN,Gaël,M.,REG,Régionaliste,907,"   2,81","   0,77",non,97407,97407,ZD007
7,MARCELY,Eric,M.,DSV,Droite souverainiste,636,"   1,97","   0,54",non,97407,97407,ZD007
8,NATIVEL,Jean François,M.,DVD,Divers droite,2055,"   6,37","   1,74",non,97407,97407,ZD007
9,RIVIERE,Jonathan,M.,RN,Rassemblement National,2656,"   8,23","   2,25",non,97407,97407,ZD007
10,VALEAMA,François,M.,DVG,Divers gauche,488,"   1,51","   0,41",non,97407,97407,ZD007
11,TRONC,Isaline,Mme,DVG,Divers gauche,1150,"   3,56","   0,97",non,97407,97407,ZD007
12,BACHOU,Jérôme,M.,DVC,Divers centre,218,"   0,68","   0,18",non,97407,97407,ZD007
13,GAILLARD,Perceval,M.,DVG,Divers gauche,6716,"  20,82","   5,68",Bal.,97407,97407,ZD007
14,PAYET,Jean Luc,M.,DXG,Divers extrême gauche,333,"   1,03","   0,28",non,97407,97407,ZD007
15,GUILLOU,Johan,M.,DVG,Divers gauche,4376,"  13,57","   3,70",non,97407,97407,ZD007
