NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,VALLÉE,Romain,M.,DXG,Divers extrême gauche,493,"   1,35","   0,66",non,01002,01002,10002
2,RIGLET,Sébastien,M.,DVC,Divers centre,546,"   1,50","   0,73",non,01002,01002,10002
3,PUFF,Isabelle,Mme,DSV,Droite souverainiste,524,"   1,44","   0,70",non,01002,01002,10002
4,HENRY,Evelyne,Mme,RN,Rassemblement National,9990,"  27,38","  13,27",Bal.,01002,01002,10002
5,BEAUFUMÉ,Sébastien,M.,ECO,Ecologistes,520,"   1,43","   0,69",non,01002,01002,10002
6,FONTAINE-GARCIA,Salomé,Mme,ENS,Ensemble ! (Majorité présidentielle),6130,"  16,80","   8,14",non,01002,01002,10002
7,FRAINCART,Sarah,Mme,NUP,Nouvelle union populaire écologique et sociale,6165,"  16,90","   8,19",non,01002,01002,10002
8,IGNATOVITCH,Etienne,M.,REC,Reconquête !,1695,"   4,65","   2,25",non,01002,01002,10002
9,BAZIN-MALGRAS,Valérie,Mme,LR,Les Républicains,10426,"  28,57","  13,85",Bal.,01002,01002,10002
