NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,CABRIT,Anne,Mme,LR,Les Républicains,8571,"  17,13","   9,36",non,07810,07810,78010
2,COUEIGNAS,Claire,Mme,DSV,Droite souverainiste,603,"   1,21","   0,66",non,07810,07810,78010
3,DU CHALARD,Thomas,M.,RN,Rassemblement National,6482,"  12,95","   7,08",non,07810,07810,78010
4,JACONO,Patrice,M.,ECO,Ecologistes,2329,"   4,65","   2,54",non,07810,07810,78010
5,CHEVRIER,Philippe,M.,REC,Reconquête !,2926,"   5,85","   3,20",non,07810,07810,78010
6,BIZIEN,Michel,M.,DXG,Divers extrême gauche,113,"   0,23","   0,12",non,07810,07810,78010
7,BOGAERS,Sylvie,Mme,ECO,Ecologistes,824,"   1,65","   0,90",non,07810,07810,78010
8,SAULNIER,Marielle,Mme,DXG,Divers extrême gauche,433,"   0,87","   0,47",non,07810,07810,78010
9,BRIOLAIS,Cédric,M.,NUP,Nouvelle union populaire écologique et sociale,11030,"  22,04","  12,05",Bal.,07810,07810,78010
10,BERGÉ,Aurore,Mme,ENS,Ensemble ! (Majorité présidentielle),16727,"  33,43","  18,27",Bal.,07810,07810,78010
