NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,ROBYN,Laurent,M.,DVG,Divers gauche,292,"   0,74","   0,33",non,07205,07205,72005
2,LUNEL,Frédéric,M.,DVG,Divers gauche,3667,"   9,32","   4,17",non,07205,07205,72005
3,BAYLE DE JESSÉ,Cécile,Mme,DSV,Droite souverainiste,1083,"   2,75","   1,23",non,07205,07205,72005
4,DE VILMAREST,Eric,M.,REC,Reconquête !,1455,"   3,70","   1,66",non,07205,07205,72005
5,MANUEL,Solène,Mme,ECO,Ecologistes,488,"   1,24","   0,56",non,07205,07205,72005
6,DE VIGNERAL,Victoria,Mme,RN,Rassemblement National,8944,"  22,74","  10,18",Bal.,07205,07205,72005
7,FOUQUET,Karine,Mme,DXG,Divers extrême gauche,487,"   1,24","   0,55",non,07205,07205,72005
8,GADRAULT,Julien,M.,DIV,Divers,263,"   0,67","   0,30",non,07205,07205,72005
9,KOKOLO,Rabbi,M.,NUP,Nouvelle union populaire écologique et sociale,7768,"  19,75","   8,84",non,07205,07205,72005
10,GRELIER,Jean-Carles,M.,ENS,Ensemble ! (Majorité présidentielle),13267,"  33,73","  15,10",Bal.,07205,07205,72005
11,LEROSIER,Noa,M.,LR,Les Républicains,1619,"   4,12","   1,84",non,07205,07205,72005
