NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,BEHAR,Claire,Mme,DIV,Divers,665,"   2,67","   0,63",non,09905,09905,ZZ005
2,GOATER,Laurent,M.,LR,Les Républicains,1775,"   7,13","   1,69",non,09905,09905,ZZ005
3,RIDELLE,Marc,M.,DSV,Droite souverainiste,396,"   1,59","   0,38",non,09905,09905,ZZ005
4,DE SOUSA TEIXEIRA,Maria Isabel,Mme,DVG,Divers gauche,510,"   2,05","   0,49",non,09905,09905,ZZ005
5,FONTAINE,Robin,M.,DIV,Divers,375,"   1,51","   0,36",non,09905,09905,ZZ005
6,VALLS,Manuel,M.,ENS,Ensemble ! (Majorité présidentielle),4024,"  16,17","   3,83",non,09905,09905,ZZ005
7,BIES,Serge,M.,RN,Rassemblement National,999,"   4,01","   0,95",non,09905,09905,ZZ005
8,ERASO,Garbiñe,Mme,REG,Régionaliste,66,"   0,27","   0,06",non,09905,09905,ZZ005
9,LE BERRE,Renaud,M.,NUP,Nouvelle union populaire écologique et sociale,6942,"  27,89","   6,61",Bal.,09905,09905,ZZ005
10,SANCHEZ PEREZ,José,M.,ECO,Ecologistes,1085,"   4,36","   1,03",non,09905,09905,ZZ005
11,CHAMOUX,Nicolas,M.,REC,Reconquête !,1931,"   7,76","   1,84",non,09905,09905,ZZ005
12,VOJETTA,Stéphane,M.,DVC,Divers centre,6123,"  24,60","   5,83",Bal.,09905,09905,ZZ005
