NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,VAÏTILINGOM,Didier,M.,REG,Régionaliste,304,"   1,31","   0,35",non,97401,97401,ZD001
2,SISTERON,Murielle,Mme,LR,Les Républicains,909,"   3,93","   1,06",non,97401,97401,ZD001
3,PAYET,Giovanni,M.,DVG,Divers gauche,970,"   4,19","   1,13",non,97401,97401,ZD001
4,LEBON,Gaëlle,Mme,RN,Rassemblement National,3015,"  13,04","   3,51",non,97401,97401,ZD001
5,WELMANT,Sonny,M.,DSV,Droite souverainiste,410,"   1,77","   0,48",non,97401,97401,ZD001
6,DUCHEMANN,Yvette,Mme,ECO,Ecologistes,468,"   2,02","   0,54",non,97401,97401,ZD001
7,BEEHARRY,Eric,M.,DIV,Divers,105,"   0,45","   0,12",non,97401,97401,ZD001
8,GUERIN,Nelsy,Mme,DXG,Divers extrême gauche,233,"   1,01","   0,27",non,97401,97401,ZD001
9,POLEYA,Jean Alexandre,M.,DVC,Divers centre,524,"   2,27","   0,61",non,97401,97401,ZD001
10,MANGROLIA,Farid,M.,DVC,Divers centre,1353,"   5,85","   1,58",non,97401,97401,ZD001
11,MAGAMOOTOO,Eric,M.,DVC,Divers centre,1217,"   5,26","   1,42",non,97401,97401,ZD001
12,MOREL,Jean Jacques,M.,DVD,Divers droite,3378,"  14,61","   3,93",Bal.,97401,97401,ZD001
13,NAILLET,Philippe,M.,DVG,Divers gauche,7742,"  33,47","   9,01",Bal.,97401,97401,ZD001
14,SAUTRON,Ludovic,M.,ECO,Ecologistes,1371,"   5,93","   1,60",non,97401,97401,ZD001
15,GRONDIN,Hary,M.,DVC,Divers centre,469,"   2,03","   0,55",non,97401,97401,ZD001
16,MITHRA,Georges,M.,DVG,Divers gauche,381,"   1,65","   0,44",non,97401,97401,ZD001
17,GASP,Corinne,Mme,DXG,Divers extrême gauche,280,"   1,21","   0,33",non,97401,97401,ZD001
