NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,BENOIST,David,M.,ECO,Ecologistes,859,"   1,72","   0,95",non,09213,09213,92013
2,MARTIN,Agathe,Mme,DXG,Divers extrême gauche,306,"   0,61","   0,34",non,09213,09213,92013
3,BREGEON,Maud,Mme,ENS,Ensemble ! (Majorité présidentielle),16441,"  32,84","  18,26",Bal.,09213,09213,92013
4,NASSIMI,Farid,M.,DIV,Divers,221,"   0,44","   0,25",non,09213,09213,92013
5,ISNARD,Numa,M.,LR,Les Républicains,2445,"   4,88","   2,72",non,09213,09213,92013
6,GAUTRELET,Julien,M.,RDG,Parti radical de gauche,1965,"   3,92","   2,18",non,09213,09213,92013
7,LAURENT,Philippe,M.,UDI,Union des Démocrates et des Indépendants,8259,"  16,49","   9,17",non,09213,09213,92013
8,YVARS,Patrick,M.,RN,Rassemblement National,2929,"   5,85","   3,25",non,09213,09213,92013
9,GAILLARD,Brice,M.,NUP,Nouvelle union populaire écologique et sociale,13976,"  27,91","  15,52",Bal.,09213,09213,92013
10,TOYANE,Alexis,M.,DIV,Divers,78,"   0,16","   0,09",non,09213,09213,92013
11,SIMONIN,Thibault,M.,REC,Reconquête !,2592,"   5,18","   2,88",non,09213,09213,92013
