NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,DASPE,Francis,M.,NUP,Nouvelle union populaire écologique et sociale,7659,"  23,63","  10,52",non,06601,06601,66001
2,BARBARIN,Loïc,M.,DIV,Divers,0,"   0,00","   0,00",non,06601,06601,66001
3,CHAMBAUD,Georges-Henri,M.,REC,Reconquête !,1811,"   5,59","   2,49",non,06601,06601,66001
4,PEIX,Rita,Mme,REG,Régionaliste,667,"   2,06","   0,92",non,06601,06601,66001
5,GRAU,Romain,M.,ENS,Ensemble ! (Majorité présidentielle),7952,"  24,54","  10,93",Bal.,06601,06601,66001
6,SCHMITT,Vanessa,Mme,ECO,Ecologistes,459,"   1,42","   0,63",non,06601,06601,66001
7,BOLO,Alexandre,M.,DVD,Divers droite,616,"   1,90","   0,85",non,06601,06601,66001
8,POCH,Cathy,Mme,DSV,Droite souverainiste,471,"   1,45","   0,65",non,06601,06601,66001
9,GAVALDA MOULENAT,Christine,Mme,LR,Les Républicains,1799,"   5,55","   2,47",non,06601,06601,66001
10,FOURCADE,Fabienne,Mme,DXG,Divers extrême gauche,219,"   0,68","   0,30",non,06601,06601,66001
11,CHIFFRE,Anthony Léonce Eugène,M.,REG,Régionaliste,250,"   0,77","   0,34",non,06601,06601,66001
12,BLANC,Sophie,Mme,RN,Rassemblement National,10162,"  31,36","  13,96",Bal.,06601,06601,66001
13,ADVENARD,Pascale,Mme,DXG,Divers extrême gauche,341,"   1,05","   0,47",non,06601,06601,66001
