NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,JACQUET,Antoine,M.,LR,Les Républicains,3169,"   8,99","   3,96",non,05103,05103,51003
2,MARC,Jennifer,Mme,RN,Rassemblement National,10215,"  28,99","  12,77",Bal.,05103,05103,51003
3,ADNOT,Thomas,M.,REC,Reconquête !,1601,"   4,54","   2,00",non,05103,05103,51003
4,JABBOUR,Johanna,Mme,DSV,Droite souverainiste,1030,"   2,92","   1,29",non,05103,05103,51003
5,CORMERAIS,Charlotte,Mme,DXG,Divers extrême gauche,581,"   1,65","   0,73",non,05103,05103,51003
6,DEBARLE,Bertrand,M.,DIV,Divers,710,"   2,01","   0,89",non,05103,05103,51003
7,BERTHELEMY,Chantal,Mme,NUP,Nouvelle union populaire écologique et sociale,6302,"  17,88","   7,88",non,05103,05103,51003
8,D'ORGEVILLE,Sonia,Mme,ECO,Ecologistes,789,"   2,24","   0,99",non,05103,05103,51003
9,GIRARDIN,Eric,M.,ENS,Ensemble ! (Majorité présidentielle),10841,"  30,77","  13,55",Bal.,05103,05103,51003
