NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,OULKHOUIR,Mohamed,M.,DVD,Divers droite,902,"   5,22","   0,75",non,09909,09909,ZZ009
2,MORENO,Elisabeth,Mme,ENS,Ensemble ! (Majorité présidentielle),4845,"  28,06","   4,02",Bal.,09909,09909,ZZ009
3,BEN CHEÏKH,Karim,M.,NUP,Nouvelle union populaire écologique et sociale,6906,"  39,99","   5,73",Bal.,09909,09909,ZZ009
4,BRUNI,Thiaba,Mme,DVG,Divers gauche,165,"   0,96","   0,14",non,09909,09909,ZZ009
5,ZOUON,Camille,M.,DIV,Divers,14,"   0,08","   0,01",non,09909,09909,ZZ009
6,SAGNA SOW,Fatou,Mme,DVC,Divers centre,109,"   0,63","   0,09",non,09909,09909,ZZ009
7,EL GUERRAB,M'Jid,M.,DVC,Divers centre,126,"   0,73","   0,10",non,09909,09909,ZZ009
8,SORDET,Ludivine,Mme,RN,Rassemblement National,257,"   1,49","   0,21",non,09909,09909,ZZ009
9,AMIOT,Nathalie,Mme,REC,Reconquête !,949,"   5,50","   0,79",non,09909,09909,ZZ009
10,EDDARRAZ,Ahmed,M.,DVC,Divers centre,61,"   0,35","   0,05",non,09909,09909,ZZ009
11,FONTANIVE,Jean-Claude,M.,DIV,Divers,33,"   0,19","   0,03",non,09909,09909,ZZ009
12,AZOULAY,David,M.,DVC,Divers centre,310,"   1,80","   0,26",non,09909,09909,ZZ009
13,BENDEDDOUCHE,Nacim,M.,DVG,Divers gauche,46,"   0,27","   0,04",non,09909,09909,ZZ009
14,BA,Oumar,M.,DVC,Divers centre,86,"   0,50","   0,07",non,09909,09909,ZZ009
15,HERBAL,Samira,Mme,DVC,Divers centre,215,"   1,25","   0,18",non,09909,09909,ZZ009
16,PERIMONY,Sébastien,M.,DVG,Divers gauche,59,"   0,34","   0,05",non,09909,09909,ZZ009
17,M'FADDEL,Naïma,Mme,LR,Les Républicains,798,"   4,62","   0,66",non,09909,09909,ZZ009
18,KAAOUT,Rachida,Mme,DVC,Divers centre,90,"   0,52","   0,07",non,09909,09909,ZZ009
19,BEN M'BAREK,Hassan,M.,DIV,Divers,8,"   0,05","   0,01",non,09909,09909,ZZ009
20,MARCHES-OUZITANE,Emilie,Mme,DVG,Divers gauche,116,"   0,67","   0,10",non,09909,09909,ZZ009
21,MARTINEZ,Jean-Claude,M.,DXD,Divers extrême droite,101,"   0,58","   0,08",non,09909,09909,ZZ009
22,REDDAD,Mehdi,M.,DVC,Divers centre,1072,"   6,21","   0,89",non,09909,09909,ZZ009
