NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,PLATRET,Gilles,M.,LR,Les Républicains,8516,"  21,08","   9,67",non,07105,07105,71005
2,DUFRAIGNE,Pascal,M.,DXG,Divers extrême gauche,410,"   1,01","   0,47",non,07105,07105,71005
3,BATHIARD,Tristan-Ludovic,M.,RDG,Parti radical de gauche,2061,"   5,10","   2,34",non,07105,07105,71005
4,GOUBEAULT,Denis,M.,REC,Reconquête !,1139,"   2,82","   1,29",non,07105,07105,71005
5,CALLI,Ramazan,M.,DVG,Divers gauche,99,"   0,25","   0,11",non,07105,07105,71005
6,SANVERT,Arnaud,M.,RN,Rassemblement National,7682,"  19,02","   8,73",non,07105,07105,71005
7,RIBOULET,Eric,M.,NUP,Nouvelle union populaire écologique et sociale,9534,"  23,60","  10,83",Bal.,07105,07105,71005
8,PELLETIER,Christine,Mme,ECO,Ecologistes,611,"   1,51","   0,69",non,07105,07105,71005
9,LARTAUT,Patrick,M.,DXG,Divers extrême gauche,371,"   0,92","   0,42",non,07105,07105,71005
10,MARGUERITTE,Louis,M.,ENS,Ensemble ! (Majorité présidentielle),9578,"  23,71","  10,88",Bal.,07105,07105,71005
11,LE THEIX,Sonia,Mme,DSV,Droite souverainiste,394,"   0,98","   0,45",non,07105,07105,71005
