NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,HELMAN,Christelle,Mme,DVG,Divers gauche,2697,"   4,43","   2,33",non,03106,03106,31006
2,PUEL,Michele,Mme,DXG,Divers extrême gauche,422,"   0,69","   0,37",non,03106,03106,31006
3,JOUVE,Fabien,M.,NUP,Nouvelle union populaire écologique et sociale,17904,"  29,39","  15,50",Bal.,03106,03106,31006
4,TARANTO,Thierry,M.,DVD,Divers droite,501,"   0,82","   0,43",non,03106,03106,31006
5,PIUSSAN,Dominique,Mme,REC,Reconquête !,2081,"   3,42","   1,80",non,03106,03106,31006
6,MARTIN,Tristan,M.,DVG,Divers gauche,200,"   0,33","   0,17",non,03106,03106,31006
7,IBORRA,Monique,Mme,ENS,Ensemble ! (Majorité présidentielle),18437,"  30,27","  15,96",Bal.,03106,03106,31006
8,LAPORTE,Sandra,Mme,ECO,Ecologistes,2657,"   4,36","   2,30",non,03106,03106,31006
9,QUINTON,Marc,M.,DIV,Divers,469,"   0,77","   0,41",non,03106,03106,31006
10,AIELLO,Lydia,Mme,RN,Rassemblement National,10231,"  16,80","   8,85",non,03106,03106,31006
11,BONNEMAISON,Sylvie,Mme,DVD,Divers droite,1169,"   1,92","   1,01",non,03106,03106,31006
12,ALVES,Christophe,M.,LR,Les Républicains,2658,"   4,36","   2,30",non,03106,03106,31006
13,PATER,Servane,Mme,ECO,Ecologistes,777,"   1,28","   0,67",non,03106,03106,31006
14,LANOIX,Delphine,Mme,DSV,Droite souverainiste,709,"   1,16","   0,61",non,03106,03106,31006
