NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,LACAILLE,Jacques,M.,DXG,Divers extrême gauche,495,"   1,26","   0,60",non,03808,03808,38008
2,AUGUSTE,Benoit,M.,RN,Rassemblement National,9007,"  22,91","  10,92",Bal.,03808,03808,38008
3,LASSALLE,Jean-Claude,M.,LR,Les Républicains,8213,"  20,89","   9,96",non,03808,03808,38008
4,DUFOUR,Eloïc,M.,ECO,Ecologistes,1183,"   3,01","   1,43",non,03808,03808,38008
5,MONNIER,Thibaut,M.,REC,Reconquête !,1663,"   4,23","   2,02",non,03808,03808,38008
6,DOGON,Quentin,M.,NUP,Nouvelle union populaire écologique et sociale,8995,"  22,88","  10,90",non,03808,03808,38008
7,GOUJON,Jean-Louis,M.,DSV,Droite souverainiste,638,"   1,62","   0,77",non,03808,03808,38008
8,ABADIE,Caroline,Mme,ENS,Ensemble ! (Majorité présidentielle),9113,"  23,18","  11,05",Bal.,03808,03808,38008
