NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,CUIGNET,Emmanuelle,Mme,RN,Rassemblement National,1402,"   3,29","   0,95",non,09904,09904,ZZ004
2,MACHICOTE,Genevieve,Mme,LR,Les Républicains,2510,"   5,89","   1,69",non,09904,09904,ZZ004
3,THEVENOT,Valentin,M.,DIV,Divers,647,"   1,52","   0,44",non,09904,09904,ZZ004
4,CRONEL,Gaëlle,Mme,DIV,Divers,625,"   1,47","   0,42",non,09904,09904,ZZ004
5,GONDARD,Cécilia,Mme,NUP,Nouvelle union populaire écologique et sociale,13842,"  32,47","   9,34",Bal.,09904,09904,ZZ004
6,DEVERCHERE,Cédric,M.,DIV,Divers,1600,"   3,75","   1,08",non,09904,09904,ZZ004
7,COUTARD,Catherine,Mme,DVG,Divers gauche,1021,"   2,39","   0,69",non,09904,09904,ZZ004
8,MABASI,Marie-Josée,Mme,DVC,Divers centre,2244,"   5,26","   1,51",non,09904,09904,ZZ004
9,GIRARD,Anne-Catherine,Mme,REC,Reconquête !,2148,"   5,04","   1,45",non,09904,09904,ZZ004
10,ANGLADE,Pieyre-Alexandre,M.,ENS,Ensemble ! (Majorité présidentielle),16597,"  38,93","  11,20",Bal.,09904,09904,ZZ004
