NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,SCHMID,Denis,M.,ECO,Ecologistes,579,"   1,89","   0,78",non,08401,08401,84001
2,CHATENAY,Christine,Mme,REG,Régionaliste,277,"   0,91","   0,38",non,08401,08401,84001
3,PASCAL,Philippe,M.,DVG,Divers gauche,0,"   0,00","   0,00",non,08401,08401,84001
4,NAU,Ophélie,Mme,REC,Reconquête !,1428,"   4,67","   1,94",non,08401,08401,84001
5,LEMAIRE,Vincent,M.,DVG,Divers gauche,253,"   0,83","   0,34",non,08401,08401,84001
6,ZITOUNI,Souad,Mme,ENS,Ensemble ! (Majorité présidentielle),6985,"  22,85","   9,47",non,08401,08401,84001
7,RIZZA,Salvator,M.,DXG,Divers extrême gauche,187,"   0,61","   0,25",non,08401,08401,84001
8,HEBRARD,Joris,M.,RN,Rassemblement National,9160,"  29,97","  12,42",Bal.,08401,08401,84001
9,GESLIN,Stéphane,M.,DXG,Divers extrême gauche,249,"   0,81","   0,34",non,08401,08401,84001
10,BROGI,Dominique,Mme,LR,Les Républicains,1359,"   4,45","   1,84",non,08401,08401,84001
11,SEDDIK,Kheira,Mme,DVD,Divers droite,752,"   2,46","   1,02",non,08401,08401,84001
12,FARYSSY,Farid,M.,NUP,Nouvelle union populaire écologique et sociale,9338,"  30,55","  12,66",Bal.,08401,08401,84001
