NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,CUADROS,Sauveur,M.,DXG,Divers extrême gauche,529,"   1,08","   0,51",non,04204,04204,42004
2,SEBAN,Shannon,Mme,ENS,Ensemble ! (Majorité présidentielle),8224,"  16,84","   7,91",non,04204,04204,42004
3,VIGOUROUX,Sylvain,M.,DSV,Droite souverainiste,711,"   1,46","   0,68",non,04204,04204,42004
4,ROUQUEROL,Jean-Baptiste,M.,REC,Reconquête !,1930,"   3,95","   1,86",non,04204,04204,42004
5,CINIERI,Dino,M.,LR,Les Républicains,12601,"  25,81","  12,12",Bal.,04204,04204,42004
6,BELMOUDEN,Sana,Mme,RDG,Parti radical de gauche,975,"   2,00","   0,94",non,04204,04204,42004
7,PAEMELAERE,Bernard,M.,NUP,Nouvelle union populaire écologique et sociale,11501,"  23,56","  11,06",Bal.,04204,04204,42004
8,GIBERT,Anthony,M.,RN,Rassemblement National,10555,"  21,62","  10,15",non,04204,04204,42004
9,THOMAS,Pascal,M.,ECO,Ecologistes,1177,"   2,41","   1,13",non,04204,04204,42004
10,VIDAL,Véronique,Mme,ECO,Ecologistes,434,"   0,89","   0,42",non,04204,04204,42004
11,BINT ZAYD,Aïcha,Mme,DIV,Divers,189,"   0,39","   0,18",non,04204,04204,42004
