NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,SOILIHI,Sullaiman,M.,DXG,Divers extrême gauche,668,"   2,84","   0,68",non,97402,97402,ZD002
2,PERON,Virginie,Mme,REG,Régionaliste,1058,"   4,50","   1,07",non,97402,97402,ZD002
3,INFANTE,Karine,Mme,REG,Régionaliste,1183,"   5,03","   1,20",non,97402,97402,ZD002
4,CHEN-TZU-KUONG,Stéphane,M.,REC,Reconquête !,467,"   1,99","   0,47",non,97402,97402,ZD002
5,LEBON,Karine,Mme,DVG,Divers gauche,10091,"  42,89","  10,20",Bal.,97402,97402,ZD002
6,LEGENTIL,Nicolas,M.,DXG,Divers extrême gauche,231,"   0,98","   0,23",non,97402,97402,ZD002
7,GRAJA,Michelle,Mme,RN,Rassemblement National,1926,"   8,19","   1,95",non,97402,97402,ZD002
8,FERRIER,Véronique,Mme,DVD,Divers droite,145,"   0,62","   0,15",non,97402,97402,ZD002
9,DEFAUD,Vincent,M.,ECO,Ecologistes,1062,"   4,51","   1,07",non,97402,97402,ZD002
10,MERA,Alix,M.,DSV,Droite souverainiste,534,"   2,27","   0,54",non,97402,97402,ZD002
11,FONTAINE,Erick,M.,REG,Régionaliste,2957,"  12,57","   2,99",non,97402,97402,ZD002
12,GEORGETTE,Emmanuel,M.,DIV,Divers,118,"   0,50","   0,12",non,97402,97402,ZD002
13,FONTAINE,Audrey,Mme,UDI,Union des Démocrates et des Indépendants,3085,"  13,11","   3,12",Bal.,97402,97402,ZD002
14,HOARAU,Laurent Philippe,M.,DIV,Divers,0,"   0,00","   0,00",non,97402,97402,ZD002
