NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,PIRÈS BEAUNE,Christine,Mme,NUP,Nouvelle union populaire écologique et sociale,20055,"  41,84","  22,27",Bal.,06302,06302,63002
2,MONNET,Karina,Mme,ENS,Ensemble ! (Majorité présidentielle),9017,"  18,81","  10,01",Bal.,06302,06302,63002
3,LACOMBE,Marie-Paule,Mme,DVD,Divers droite,667,"   1,39","   0,74",non,06302,06302,63002
4,DUPRÉ,Isabelle,Mme,RN,Rassemblement National,7862,"  16,40","   8,73",non,06302,06302,63002
5,BERTHON,Kenny,M.,DVG,Divers gauche,41,"   0,09","   0,05",non,06302,06302,63002
6,DURIN,Sylvain,M.,LR,Les Républicains,7332,"  15,30","   8,14",non,06302,06302,63002
7,FREZOULS-LE PONT,Nicole,Mme,ECO,Ecologistes,634,"   1,32","   0,70",non,06302,06302,63002
8,FÉLIX,Jean-Pierre,M.,DSV,Droite souverainiste,486,"   1,01","   0,54",non,06302,06302,63002
9,CHABRIER,Aurélien,M.,REC,Reconquête !,1172,"   2,45","   1,30",non,06302,06302,63002
10,TRUCHON,Franck,M.,DXG,Divers extrême gauche,667,"   1,39","   0,74",non,06302,06302,63002
