NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,SABATINI,Anaïs,Mme,RN,Rassemblement National,17811,"  37,62","  17,18",Bal.,06602,06602,66002
2,RASPAUD,Alexandra,Mme,REC,Reconquête !,2717,"   5,74","   2,62",non,06602,06602,66002
3,BERRUÉ,David,M.,NUP,Nouvelle union populaire écologique et sociale,9601,"  20,28","   9,26",non,06602,06602,66002
4,BRET,David,M.,LR,Les Républicains,4182,"   8,83","   4,03",non,06602,06602,66002
5,BLANC,Cyril,M.,ECO,Ecologistes,617,"   1,30","   0,60",non,06602,06602,66002
6,GABARDA,David,M.,DSV,Droite souverainiste,769,"   1,62","   0,74",non,06602,06602,66002
7,LIS,Frédérique,Mme,ENS,Ensemble ! (Majorité présidentielle),9699,"  20,49","   9,36",Bal.,06602,06602,66002
8,DIAGO,Joël,M.,REG,Régionaliste,1322,"   2,79","   1,28",non,06602,06602,66002
9,GOISET,Philippe,M.,DXG,Divers extrême gauche,626,"   1,32","   0,60",non,06602,06602,66002
