NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,THOMAS,Florent,M.,ECO,Ecologistes,688,"   1,81","   0,95",non,01401,01401,14001
2,CORBERY,Blaise,M.,DVG,Divers gauche,336,"   0,88","   0,46",non,01401,01401,14001
3,CASEVITZ,Pierre,M.,DXG,Divers extrême gauche,510,"   1,34","   0,70",non,01401,01401,14001
4,CHAHINE,Anne-Laure,Mme,REC,Reconquête !,1105,"   2,90","   1,52",non,01401,01401,14001
5,SIMONNET,Sophie,Mme,LR,Les Républicains,5275,"  13,87","   7,25",non,01401,01401,14001
6,LIBAN,Josseline,Mme,RN,Rassemblement National,4048,"  10,64","   5,56",non,01401,01401,14001
7,BLOUIN,Marlène,Mme,DSV,Droite souverainiste,559,"   1,47","   0,77",non,01401,01401,14001
8,LE VIGOUREUX,Fabrice,M.,ENS,Ensemble ! (Majorité présidentielle),11507,"  30,25","  15,81",Bal.,01401,01401,14001
9,GALLOIS,Jérémy,M.,DVG,Divers gauche,391,"   1,03","   0,54",non,01401,01401,14001
10,FOURREAU,Emma,Mme,NUP,Nouvelle union populaire écologique et sociale,13622,"  35,81","  18,71",Bal.,01401,01401,14001
