NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,LE HÉNANFF,Anne,Mme,ENS,Ensemble ! (Majorité présidentielle),21004,"  34,05","  18,29",Bal.,05601,05601,56001
2,RAMEL,Françoise,Mme,REG,Régionaliste,655,"   1,06","   0,57",non,05601,05601,56001
3,CROCI,Magali,Mme,ECO,Ecologistes,751,"   1,22","   0,65",non,05601,05601,56001
4,LE BARZ,Lydia Veronique Caroline,Mme,RN,Rassemblement National,7145,"  11,58","   6,22",non,05601,05601,56001
5,PESCHANSKI,Marc,M.,DXG,Divers extrême gauche,307,"   0,50","   0,27",non,05601,05601,56001
6,CHEVREL,Franck,M.,REC,Reconquête !,2954,"   4,79","   2,57",non,05601,05601,56001
7,FOUCAULT,Luc,M.,NUP,Nouvelle union populaire écologique et sociale,15432,"  25,01","  13,44",Bal.,05601,05601,56001
8,ROBEL,Paul,M.,DXG,Divers extrême gauche,396,"   0,64","   0,34",non,05601,05601,56001
9,LE BARAILLEC,Yann,M.,DVG,Divers gauche,2050,"   3,32","   1,78",non,05601,05601,56001
10,PAGE,Jean-Jacques,M.,REG,Régionaliste,860,"   1,39","   0,75",non,05601,05601,56001
11,ARS,François,M.,LR,Les Républicains,5009,"   8,12","   4,36",non,05601,05601,56001
12,CABAS,David,M.,DSV,Droite souverainiste,779,"   1,26","   0,68",non,05601,05601,56001
13,DELÉON,Bertrand,M.,DIV,Divers,436,"   0,71","   0,38",non,05601,05601,56001
14,MOUSSET,François,M.,DVD,Divers droite,3914,"   6,34","   3,41",non,05601,05601,56001
