NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,MARTIN,Didier,M.,ENS,Ensemble ! (Majorité présidentielle),11622,"  31,16","  16,52",Bal.,02101,02101,21001
2,PEILLON,Antoine,M.,NUP,Nouvelle union populaire écologique et sociale,9558,"  25,63","  13,58",Bal.,02101,02101,21001
3,JOURDIER,Grâce,Mme,RN,Rassemblement National,4558,"  12,22","   6,48",non,02101,02101,21001
4,MOHAMED,Ambrine,Mme,REC,Reconquête !,1599,"   4,29","   2,27",non,02101,02101,21001
5,ZIVKOVIC,Sladana,Mme,DVG,Divers gauche,2959,"   7,93","   4,21",non,02101,02101,21001
6,TITRAOUI,Amar,M.,DVC,Divers centre,161,"   0,43","   0,23",non,02101,02101,21001
7,GROS,Dominique,M.,DXG,Divers extrême gauche,105,"   0,28","   0,15",non,02101,02101,21001
8,THÉVENIN,Julien,M.,DXG,Divers extrême gauche,256,"   0,69","   0,36",non,02101,02101,21001
9,DUGOURD,François-Xavier,M.,LR,Les Républicains,5521,"  14,80","   7,85",non,02101,02101,21001
10,AYACHE,Franck,M.,UDI,Union des Démocrates et des Indépendants,386,"   1,03","   0,55",non,02101,02101,21001
11,BOURGUIGNON,Manon,Mme,DSV,Droite souverainiste,574,"   1,54","   0,82",non,02101,02101,21001
