NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,HETZ,Léa Agathe,Mme,DIV,Divers,559,"   3,53","   0,43",non,09908,09908,ZZ008
2,SIKSIK,Serge,M.,REC,Reconquête !,1095,"   6,91","   0,83",non,09908,09908,ZZ008
3,EZABADI,Milad Nathanaël,M.,DIV,Divers,793,"   5,00","   0,60",non,09908,09908,ZZ008
4,COLLET,Florence,Mme,DIV,Divers,124,"   0,78","   0,09",non,09908,09908,ZZ008
5,ABISROR - DE LIEME,Deborah,Mme,ENS,Ensemble ! (Majorité présidentielle),4402,"  27,78","   3,35",Bal.,09908,09908,ZZ008
6,PICOD,Florian,M.,DVG,Divers gauche,65,"   0,41","   0,05",non,09908,09908,ZZ008
7,LEHMANN,Hélène,Mme,DIV,Divers,470,"   2,97","   0,36",non,09908,09908,ZZ008
8,HABIB,Meyer,M.,UDI,Union des Démocrates et des Indépendants,4572,"  28,85","   3,48",Bal.,09908,09908,ZZ008
9,SERBAT,Margaux,Mme,RDG,Parti radical de gauche,53,"   0,33","   0,04",non,09908,09908,ZZ008
10,GARSON,José,M.,DVC,Divers centre,205,"   1,29","   0,16",non,09908,09908,ZZ008
11,CARBONNE,Marie-Françoise,Mme,RN,Rassemblement National,296,"   1,87","   0,23",non,09908,09908,ZZ008
12,TOUITOU,Rachel,Mme,ECO,Ecologistes,227,"   1,43","   0,17",non,09908,09908,ZZ008
13,RIVOLET,Isabelle,Mme,NUP,Nouvelle union populaire écologique et sociale,2986,"  18,84","   2,28",non,09908,09908,ZZ008
