NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,PERRU,Marie-Eve,Mme,DVC,Divers centre,675,"   1,47","   0,64",non,08307,08307,83007
2,KOSCIELSKI,Laurile,Mme,ECO,Ecologistes,818,"   1,78","   0,78",non,08307,08307,83007
3,VINCENT,Romain,M.,LR,Les Républicains,5145,"  11,20","   4,89",non,08307,08307,83007
4,IANNESSI,Charles,M.,REC,Reconquête !,4371,"   9,52","   4,16",non,08307,08307,83007
5,MUSCHOTTI,Cécile,Mme,ENS,Ensemble ! (Majorité présidentielle),12226,"  26,62","  11,62",Bal.,08307,08307,83007
6,BOUCHKARA,Basma,Mme,NUP,Nouvelle union populaire écologique et sociale,6830,"  14,87","   6,49",non,08307,08307,83007
7,CANDIDO DA SILVA,Ricardo,M.,DXG,Divers extrême gauche,258,"   0,56","   0,25",non,08307,08307,83007
8,MONNIER,Louis,M.,ECO,Ecologistes,612,"   1,33","   0,58",non,08307,08307,83007
9,CLANET,Régine,Mme,DSV,Droite souverainiste,678,"   1,48","   0,64",non,08307,08307,83007
10,REANO,Bouchra,Mme,DVG,Divers gauche,972,"   2,12","   0,92",non,08307,08307,83007
11,BERMUDEZ,Magali,Mme,DIV,Divers,166,"   0,36","   0,16",non,08307,08307,83007
12,BOCCALETTI,Frédéric,M.,RN,Rassemblement National,13185,"  28,70","  12,54",Bal.,08307,08307,83007
