NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,ALBERT,Sophia,Mme,ECO,Ecologistes,445,"   1,09","   0,52",non,08402,08402,84002
2,MANGIAVILLANO,Gérard,M.,DXG,Divers extrême gauche,334,"   0,82","   0,39",non,08402,08402,84002
3,RIGAULT,Stanislas,M.,REC,Reconquête !,4308,"  10,54","   5,02",non,08402,08402,84002
4,AUZANOT,Bénédicte,Mme,RN,Rassemblement National,10662,"  26,08","  12,42",Bal.,08402,08402,84002
5,DUCHEMIN,Sébastien,M.,DSV,Droite souverainiste,557,"   1,36","   0,65",non,08402,08402,84002
6,VIALA,Sylvie,Mme,ENS,Ensemble ! (Majorité présidentielle),9432,"  23,07","  10,99",Bal.,08402,08402,84002
7,LEON,Joséfa,Mme,ECO,Ecologistes,1058,"   2,59","   1,23",non,08402,08402,84002
8,AMOROS,Elisabeth,Mme,LR,Les Républicains,4097,"  10,02","   4,77",non,08402,08402,84002
9,GUILLAUMIN,Eric,M.,DVC,Divers centre,566,"   1,38","   0,66",non,08402,08402,84002
10,SANDOZ,François,M.,NUP,Nouvelle union populaire écologique et sociale,8804,"  21,53","  10,26",non,08402,08402,84002
11,PILLER,Agnès,Mme,ECO,Ecologistes,566,"   1,38","   0,66",non,08402,08402,84002
12,GAIFFE,Germain,M.,DIV,Divers,59,"   0,14","   0,07",non,08402,08402,84002
