NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,JACQUEMART,Nadège,Mme,REC,Reconquête !,682,"   2,62","   1,12",non,00802,00802,08002
2,BEDDELEM,Polina,Mme,ENS,Ensemble ! (Majorité présidentielle),3309,"  12,69","   5,45",non,00802,00802,08002
3,LOYEZ,Gilles,M.,NUP,Nouvelle union populaire écologique et sociale,4970,"  19,06","   8,18",non,00802,00802,08002
4,GALLET,Christelle,Mme,ECO,Ecologistes,248,"   0,95","   0,41",non,00802,00802,08002
5,TAKAWÉ,Mink,Mme,DXG,Divers extrême gauche,202,"   0,77","   0,33",non,00802,00802,08002
6,BENYOUCEF,Patrick,M.,DXG,Divers extrême gauche,226,"   0,87","   0,37",non,00802,00802,08002
7,BELLAY,Christelle,Mme,DSV,Droite souverainiste,264,"   1,01","   0,43",non,00802,00802,08002
8,PHILIPPO,Baptiste,M.,RN,Rassemblement National,5485,"  21,04","   9,03",Bal.,00802,00802,08002
9,CORDIER,Pierre,M.,LR,Les Républicains,10685,"  40,98","  17,60",Bal.,00802,00802,08002
