NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,TABAR,Jonathan,M.,DVD,Divers droite,595,"   3,99","   0,74",non,97201,97201,ZB001
2,VALERE,Erick,M.,DVG,Divers gauche,266,"   1,78","   0,33",non,97201,97201,ZB001
3,SAMOT,Fred,M.,DVG,Divers gauche,1783,"  11,96","   2,23",non,97201,97201,ZB001
4,GODARD,Joëlle,Mme,UDI,Union des Démocrates et des Indépendants,157,"   1,05","   0,20",non,97201,97201,ZB001
5,JEAN-MARIE-ALPHONSINE,Philippe,M.,DVG,Divers gauche,624,"   4,19","   0,78",non,97201,97201,ZB001
6,EDMOND-MARIETTE,Philippe,M.,REG,Régionaliste,2664,"  17,88","   3,33",Bal.,97201,97201,ZB001
7,BELLAY,Béatrice,Mme,DVG,Divers gauche,1163,"   7,80","   1,45",non,97201,97201,ZB001
8,PUISARD,Jean-Pierre,M.,REG,Régionaliste,97,"   0,65","   0,12",non,97201,97201,ZB001
9,ROMAIN,Ludovic,M.,DVG,Divers gauche,1312,"   8,80","   1,64",non,97201,97201,ZB001
10,RANGOLY,Edryan,M.,REC,Reconquête !,98,"   0,66","   0,12",non,97201,97201,ZB001
11,MIEVILLY,Yann,M.,ECO,Ecologistes,288,"   1,93","   0,36",non,97201,97201,ZB001
12,DELANNAY,Marie-Noelle,Mme,DVG,Divers gauche,1619,"  10,86","   2,02",non,97201,97201,ZB001
13,LAGIER,Alain-Claude,M.,DVG,Divers gauche,1179,"   7,91","   1,47",non,97201,97201,ZB001
14,MARTHE-DITE-SURELLY,Marie-Hellen,Mme,DXG,Divers extrême gauche,247,"   1,66","   0,31",non,97201,97201,ZB001
15,WILLIAM,Jiovanny,M.,DVG,Divers gauche,2168,"  14,55","   2,71",Bal.,97201,97201,ZB001
16,BELIMONT,Charles,M.,RN,Rassemblement National,564,"   3,78","   0,70",non,97201,97201,ZB001
17,CRISPIN,Eric Thomas,M.,DXG,Divers extrême gauche,78,"   0,52","   0,10",non,97201,97201,ZB001
