NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,QUINTELA,David,M.,REC,Reconquête !,738,"   3,12","   1,41",non,02A01,02A01,2A001
2,LIPPLER,Walter,M.,DSV,Droite souverainiste,174,"   0,74","   0,33",non,02A01,02A01,2A001
3,MOZZICONACCI,Michel,M.,DVC,Divers centre,2193,"   9,27","   4,20",non,02A01,02A01,2A001
4,DE MARI,Robin,M.,DVG,Divers gauche,1281,"   5,41","   2,45",non,02A01,02A01,2A001
5,CARROLAGGI,Jean-Paul,M.,REG,Régionaliste,3002,"  12,69","   5,74",non,02A01,02A01,2A001
6,SUSINI,Angélique,Mme,DVG,Divers gauche,353,"   1,49","   0,68",non,02A01,02A01,2A001
7,MARCANGELI,Laurent,M.,ENS,Ensemble ! (Majorité présidentielle),7972,"  33,70","  15,25",Bal.,02A01,02A01,2A001
8,AMZIANE,Anissa-Flore,Mme,DVG,Divers gauche,522,"   2,21","   1,00",non,02A01,02A01,2A001
9,COLONNA,Romain,M.,REG,Régionaliste,4135,"  17,48","   7,91",Bal.,02A01,02A01,2A001
10,ANTONA,Nathaly,Mme,RN,Rassemblement National,3003,"  12,69","   5,75",non,02A01,02A01,2A001
11,BIZZARI,Pascale,Mme,ECO,Ecologistes,207,"   0,87","   0,40",non,02A01,02A01,2A001
12,LAINEZ,Claire,Mme,DXG,Divers extrême gauche,79,"   0,33","   0,15",non,02A01,02A01,2A001
