NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,DROUET,Félix,M.,DIV,Divers,397,"   1,11","   0,32",non,09907,09907,ZZ007
2,PETIT,Frédéric,M.,ENS,Ensemble ! (Majorité présidentielle),12409,"  34,58","  10,06",Bal.,09907,09907,ZZ007
3,DUMAS,Mathilde,Mme,RN,Rassemblement National,460,"   1,28","   0,37",non,09907,09907,ZZ007
4,DESWEL,Philippe,M.,LR,Les Républicains,1391,"   3,88","   1,13",non,09907,09907,ZZ007
5,LOOBUYCK,Sophie,Mme,REC,Reconquête !,1333,"   3,71","   1,08",non,09907,09907,ZZ007
6,CHARTRAIN,Valérie,Mme,DIV,Divers,1783,"   4,97","   1,44",non,09907,09907,ZZ007
7,CHEDIAC,Sophie,Mme,DVG,Divers gauche,678,"   1,89","   0,55",non,09907,09907,ZZ007
8,SEGAL,Jérôme,M.,ECO,Ecologistes,370,"   1,03","   0,30",non,09907,09907,ZZ007
9,GEITER,Bernard,M.,DVC,Divers centre,2043,"   5,69","   1,66",non,09907,09907,ZZ007
10,PATTON,Guy,M.,REG,Régionaliste,142,"   0,40","   0,12",non,09907,09907,ZZ007
11,BOTEVA-MALO,Tatiana,Mme,ECO,Ecologistes,2582,"   7,19","   2,09",non,09907,09907,ZZ007
12,RHARMAOUI-CLAQUIN,Asma,Mme,NUP,Nouvelle union populaire écologique et sociale,9353,"  26,06","   7,58",Bal.,09907,09907,ZZ007
13,FONCK,Lucas,M.,DVD,Divers droite,45,"   0,13","   0,04",non,09907,09907,ZZ007
14,LA ROQUE,Alexandre,M.,DIV,Divers,428,"   1,19","   0,35",non,09907,09907,ZZ007
15,DENEUVE,Thierry,M.,ECO,Ecologistes,1021,"   2,84","   0,83",non,09907,09907,ZZ007
16,LE MOIGNE,Vassili,M.,DVD,Divers droite,1453,"   4,05","   1,18",non,09907,09907,ZZ007
