NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,ULUBAS,Xavier,M.,ECO,Ecologistes,1597,"   3,09","   1,61",non,06910,06910,69010
2,BOMPARD,Gilles,M.,DXG,Divers extrême gauche,448,"   0,87","   0,45",non,06910,06910,69010
3,RAMBAUD,Gerbert,M.,DSV,Droite souverainiste,4063,"   7,87","   4,09",non,06910,06910,69010
4,EDERY,Michèle,Mme,NUP,Nouvelle union populaire écologique et sociale,11640,"  22,56","  11,71",Bal.,06910,06910,69010
5,MARION,Agnès,Mme,REC,Reconquête !,5834,"  11,31","   5,87",non,06910,06910,69010
6,CHANELET,Fatiha,Mme,DVD,Divers droite,598,"   1,16","   0,60",non,06910,06910,69010
7,CRUZ,Sophie,Mme,LR,Les Républicains,8295,"  16,07","   8,35",non,06910,06910,69010
8,GASSILLOUD,Thomas,M.,ENS,Ensemble ! (Majorité présidentielle),18630,"  36,10","  18,74",Bal.,06910,06910,69010
9,RUIZ,Sébastien,M.,ECO,Ecologistes,497,"   0,96","   0,50",non,06910,06910,69010
