NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,VALLÉE,Maryse,Mme,DXG,Divers extrême gauche,605,"   1,54","   0,71",non,07903,07903,79003
2,BARBOT,Alexis,M.,DIV,Divers,1311,"   3,33","   1,54",non,07903,07903,79003
3,FAIVRE,Gerard,M.,REC,Reconquête !,1345,"   3,41","   1,58",non,07903,07903,79003
4,WOILLEZ,Juliette,Mme,NUP,Nouvelle union populaire écologique et sociale,8816,"  22,37","  10,39",Bal.,07903,07903,79003
5,GUIBERT,Olivier,M.,RN,Rassemblement National,7689,"  19,51","   9,06",non,07903,07903,79003
6,FIÉVET,Jean-Marie,M.,ENS,Ensemble ! (Majorité présidentielle),13507,"  34,27","  15,91",Bal.,07903,07903,79003
7,ROBIN,Philippe,M.,LR,Les Républicains,6139,"  15,58","   7,23",non,07903,07903,79003
