NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,THOMAS,Marc,M.,RN,Rassemblement National,3927,"   7,84","   4,21",non,09212,09212,92012
2,THOMAS,Cathy,Mme,NUP,Nouvelle union populaire écologique et sociale,14883,"  29,72","  15,94",Bal.,09212,09212,92012
3,BERNARD,Yann,M.,DXG,Divers extrême gauche,460,"   0,92","   0,49",non,09212,09212,92012
4,BLOT,Benoit,M.,LR,Les Républicains,6558,"  13,10","   7,02",non,09212,09212,92012
5,NOBLET,Florent,M.,REC,Reconquête !,2253,"   4,50","   2,41",non,09212,09212,92012
6,GABEN,Céline,Mme,DSV,Droite souverainiste,639,"   1,28","   0,68",non,09212,09212,92012
7,GHALEB,Kamel,M.,DIV,Divers,252,"   0,50","   0,27",non,09212,09212,92012
8,VASTEL,Laurent,M.,UDI,Union des Démocrates et des Indépendants,2969,"   5,93","   3,18",non,09212,09212,92012
9,PREVEL,Guillaume,M.,ECO,Ecologistes,897,"   1,79","   0,96",non,09212,09212,92012
10,BAKHTI,Hayat,Mme,ECO,Ecologistes,1524,"   3,04","   1,63",non,09212,09212,92012
11,BOURLANGES,Jean-Louis,M.,ENS,Ensemble ! (Majorité présidentielle),15423,"  30,80","  16,52",Bal.,09212,09212,92012
12,SAMIEZ,Florian,M.,DIV,Divers,288,"   0,58","   0,31",non,09212,09212,92012
