NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,SADOWSKI,Ewa,Mme,RN,Rassemblement National,2512,"   7,16","   3,66",non,03104,03104,31004
2,MARCIREAU,Patrick,M.,DXG,Divers extrême gauche,143,"   0,41","   0,21",non,03104,03104,31004
3,COTTREL,Arthur,M.,REC,Reconquête !,1447,"   4,13","   2,11",non,03104,03104,31004
4,SABATER,Raimon,M.,ECO,Ecologistes,414,"   1,18","   0,60",non,03104,03104,31004
5,LAFARGE,Sandrine,Mme,DVG,Divers gauche,192,"   0,55","   0,28",non,03104,03104,31004
6,DELMAS,Jacme,M.,REG,Régionaliste,562,"   1,60","   0,82",non,03104,03104,31004
7,SY,Khady-Alberte,Mme,DVG,Divers gauche,134,"   0,38","   0,20",non,03104,03104,31004
8,PIQUEMAL,François,M.,NUP,Nouvelle union populaire écologique et sociale,16321,"  46,54","  23,80",Bal.,03104,03104,31004
9,BRANDELY,Cécile,Mme,DXG,Divers extrême gauche,128,"   0,37","   0,19",non,03104,03104,31004
10,SERP,Bertrand,M.,LR,Les Républicains,3084,"   8,80","   4,50",non,03104,03104,31004
11,JALOUNEIX,Anaïs,Mme,DVG,Divers gauche,174,"   0,50","   0,25",non,03104,03104,31004
12,CARSALADE,Jean-Pierre,M.,DVC,Divers centre,5,"   0,01","   0,01",non,03104,03104,31004
13,CONSTANS,Marie-Claire,Mme,ENS,Ensemble ! (Majorité présidentielle),8273,"  23,59","  12,06",Bal.,03104,03104,31004
14,AGAG-BOUDJAHLAT,Fatiha,Mme,DVG,Divers gauche,1676,"   4,78","   2,44",non,03104,03104,31004
