NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,EL KHALEDI,Amale,Mme,ENS,Ensemble ! (Majorité présidentielle),4562,"  13,87","   6,90",non,06102,06102,61002
2,LOUWAGIE,Véronique,Mme,LR,Les Républicains,10759,"  32,72","  16,28",Bal.,06102,06102,61002
3,DE BOURBON PARME,Amaury,M.,REC,Reconquête !,1287,"   3,91","   1,95",non,06102,06102,61002
4,MOUSSET,Denis,M.,DIV,Divers,944,"   2,87","   1,43",non,06102,06102,61002
5,BUSSIÈRE,Cécile,Mme,NUP,Nouvelle union populaire écologique et sociale,5318,"  16,17","   8,05",non,06102,06102,61002
6,MARIE,Sandrine,Mme,DSV,Droite souverainiste,539,"   1,64","   0,82",non,06102,06102,61002
7,VELLY,Bernadette,Mme,DXG,Divers extrême gauche,259,"   0,79","   0,39",non,06102,06102,61002
8,ANSQUER,Patricia,Mme,ECO,Ecologistes,427,"   1,30","   0,65",non,06102,06102,61002
9,JOSEPH,Christophe,M.,DVG,Divers gauche,719,"   2,19","   1,09",non,06102,06102,61002
10,MOREL,Alexandre,M.,RN,Rassemblement National,8067,"  24,53","  12,21",Bal.,06102,06102,61002
