NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,GIRAUD,Joel,M.,ENS,Ensemble ! (Majorité présidentielle),10890,"  38,04","  20,06",Bal.,00502,00502,05002
2,BESSONNIER,Sandrine,Mme,DSV,Droite souverainiste,383,"   1,34","   0,71",non,00502,00502,05002
3,ROUX,Rémi,M.,DVG,Divers gauche,1077,"   3,76","   1,98",non,00502,00502,05002
4,PELISSIER,Margot,Mme,REC,Reconquête !,883,"   3,08","   1,63",non,00502,00502,05002
5,CHAUVET,Carole,Mme,LR,Les Républicains,1549,"   5,41","   2,85",non,00502,00502,05002
6,PASSEREAU,Yann,M.,ECO,Ecologistes,305,"   1,07","   0,56",non,00502,00502,05002
7,GUIGNARD,Boris,M.,DXG,Divers extrême gauche,179,"   0,63","   0,33",non,00502,00502,05002
8,ALBRAND,Louis,M.,RN,Rassemblement National,4996,"  17,45","   9,21",non,00502,00502,05002
9,MOUNAL,Capucine,Mme,NUP,Nouvelle union populaire écologique et sociale,8365,"  29,22","  15,41",Bal.,00502,00502,05002
