NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,BESSON,Pierre-Alexandre,M.,ECO,Ecologistes,864,"   2,59","   1,30",non,07601,07601,76001
2,VITARD,Céline,Mme,DXG,Divers extrême gauche,144,"   0,43","   0,22",non,07601,07601,76001
3,VACQUER,Richard,M.,DVG,Divers gauche,118,"   0,35","   0,18",non,07601,07601,76001
4,GUESDON,Pierre-Alexandre,M.,DIV,Divers,523,"   1,56","   0,78",non,07601,07601,76001
5,CROSNIER,Mélanie,Mme,RN,Rassemblement National,3094,"   9,26","   4,64",non,07601,07601,76001
6,ROUX,Marie-Hélène,Mme,LR,Les Républicains,2886,"   8,63","   4,33",non,07601,07601,76001
7,DA SILVA,Maxime,M.,NUP,Nouvelle union populaire écologique et sociale,11045,"  33,05","  16,57",Bal.,07601,07601,76001
8,DE CINTRÉ,Christine,Mme,DVG,Divers gauche,3718,"  11,12","   5,58",non,07601,07601,76001
9,ADAM,Damien,M.,ENS,Ensemble ! (Majorité présidentielle),9424,"  28,20","  14,14",Bal.,07601,07601,76001
10,FOISSEY,Valérie,Mme,DXG,Divers extrême gauche,235,"   0,70","   0,35",non,07601,07601,76001
11,CLELAND,Olivier,M.,REC,Reconquête !,1372,"   4,10","   2,06",non,07601,07601,76001
