NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,BESSAT,Caroline,Mme,NUP,Nouvelle union populaire écologique et sociale,13659,"  29,27","  14,53",Bal.,04902,04902,49002
2,LE SOURD,Fabrice,M.,DSV,Droite souverainiste,543,"   1,16","   0,58",non,04902,04902,49002
3,BAUDOIN,Jean-Charles,M.,ECO,Ecologistes,1723,"   3,69","   1,83",non,04902,04902,49002
4,GRANIER,Blandine,Mme,DIV,Divers,583,"   1,25","   0,62",non,04902,04902,49002
5,GRENIER,Aurélie,Mme,REC,Reconquête !,1647,"   3,53","   1,75",non,04902,04902,49002
6,MOULIN,Simon,M.,ECO,Ecologistes,209,"   0,45","   0,22",non,04902,04902,49002
7,DUPONT,Stella,Mme,ENS,Ensemble ! (Majorité présidentielle),18538,"  39,72","  19,72",Bal.,04902,04902,49002
8,HENNO,Inès,Mme,UDI,Union des Démocrates et des Indépendants,2833,"   6,07","   3,01",non,04902,04902,49002
9,LEMENACH,Anne-Sophie,Mme,RN,Rassemblement National,5735,"  12,29","   6,10",non,04902,04902,49002
10,LEBRUN,Philippe,M.,DXG,Divers extrême gauche,569,"   1,22","   0,61",non,04902,04902,49002
11,LYS,Miguel,M.,DIV,Divers,627,"   1,34","   0,67",non,04902,04902,49002
