NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,RUSAIL,Chantal,Mme,RN,Rassemblement National,1297,"   3,87","   0,87",non,09906,09906,ZZ006
2,BERNARD,Olivier,M.,DIV,Divers,13,"   0,04","   0,01",non,09906,09906,ZZ006
3,PRIAROLLO,Ernest,M.,DVD,Divers droite,357,"   1,06","   0,24",non,09906,09906,ZZ006
4,SELLÈS LEFRANC,Michèle,Mme,DVG,Divers gauche,336,"   1,00","   0,22",non,09906,09906,ZZ006
5,GROSSO,Guillaume,M.,DVG,Divers gauche,2017,"   6,02","   1,35",non,09906,09906,ZZ006
6,MANGIN,Magali,Mme,NUP,Nouvelle union populaire écologique et sociale,6798,"  20,28","   4,54",Bal.,09906,09906,ZZ006
7,TISSOT,Philippe,M.,REC,Reconquête !,2210,"   6,59","   1,48",non,09906,09906,ZZ006
8,MAZLOUM-MARTIN,Régine,Mme,LR,Les Républicains,2866,"   8,55","   1,91",non,09906,09906,ZZ006
9,CORBRAN,Roxane,Mme,DVC,Divers centre,2988,"   8,91","   1,99",non,09906,09906,ZZ006
10,MENGUE,Danielle,Mme,DVD,Divers droite,155,"   0,46","   0,10",non,09906,09906,ZZ006
11,DUMARTY,Jérôme,M.,DIV,Divers,427,"   1,27","   0,29",non,09906,09906,ZZ006
12,CLAVEL,Jean-Philippe,M.,DIV,Divers,66,"   0,20","   0,04",non,09906,09906,ZZ006
13,FERRACCI,Marc,M.,ENS,Ensemble ! (Majorité présidentielle),12233,"  36,49","   8,17",Bal.,09906,09906,ZZ006
14,SON-FORGET,Joachim,M.,DVD,Divers droite,1503,"   4,48","   1,00",non,09906,09906,ZZ006
15,DORTHE,Arnaud,M.,REG,Régionaliste,261,"   0,78","   0,17",non,09906,09906,ZZ006
