NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,LAQUA,Éric,M.,REC,Reconquête !,1134,"   3,44","   1,59",non,02803,02803,28003
2,ORFILA,Valéria,Mme,NUP,Nouvelle union populaire écologique et sociale,6283,"  19,08","   8,81",non,02803,02803,28003
3,MARTIAL,Rémi,M.,LR,Les Républicains,2934,"   8,91","   4,11",non,02803,02803,28003
4,GERACI,Carole,Mme,DIV,Divers,1705,"   5,18","   2,39",non,02803,02803,28003
5,LAMIRAULT,Luc,M.,ENS,Ensemble ! (Majorité présidentielle),9505,"  28,87","  13,32",Bal.,02803,02803,28003
6,FLAUNET,Régine,Mme,RN,Rassemblement National,8086,"  24,56","  11,33",Bal.,02803,02803,28003
7,BOUTICOURT,Damien,M.,DSV,Droite souverainiste,539,"   1,64","   0,76",non,02803,02803,28003
8,CHEVROLLIER,Vincent,M.,DXG,Divers extrême gauche,325,"   0,99","   0,46",non,02803,02803,28003
9,JOLY,Vivette,Mme,ECO,Ecologistes,904,"   2,75","   1,27",non,02803,02803,28003
10,RIBAS,Romain,M.,DVC,Divers centre,329,"   1,00","   0,46",non,02803,02803,28003
11,DARDABA,Soumaya,Mme,ECO,Ecologistes,620,"   1,88","   0,87",non,02803,02803,28003
12,BARBIER,Claire,Mme,ECO,Ecologistes,289,"   0,88","   0,41",non,02803,02803,28003
13,LAMOUREUX,Aurore,Mme,DXG,Divers extrême gauche,274,"   0,83","   0,38",non,02803,02803,28003
