NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,JUDAS,Gurvan,M.,DVG,Divers gauche,1126,"   2,94","   1,27",non,07705,07705,77005
2,LENORMAND,François,M.,RN,Rassemblement National,9745,"  25,41","  11,03",Bal.,07705,07705,77005
3,RIESTER,Franck,M.,ENS,Ensemble ! (Majorité présidentielle),11225,"  29,27","  12,71",Bal.,07705,07705,77005
4,QUENOT,Pascal,M.,DXG,Divers extrême gauche,302,"   0,79","   0,34",non,07705,07705,77005
5,NOIREZ,Éric,M.,DSV,Droite souverainiste,610,"   1,59","   0,69",non,07705,07705,77005
6,LEMOINE,Jacques,M.,DVD,Divers droite,356,"   0,93","   0,40",non,07705,07705,77005
7,ASPRO,Jean-Michel,M.,REC,Reconquête !,1689,"   4,40","   1,91",non,07705,07705,77005
8,LAJOYE,Eléonore,Mme,ECO,Ecologistes,558,"   1,46","   0,63",non,07705,07705,77005
9,CAUX,Nicolas,M.,LR,Les Républicains,2767,"   7,22","   3,13",non,07705,07705,77005
10,COLIN,Cédric,M.,NUP,Nouvelle union populaire écologique et sociale,8889,"  23,18","  10,06",non,07705,07705,77005
11,CHEVALLIER,Marie-Pierre,Mme,ECO,Ecologistes,1048,"   2,73","   1,19",non,07705,07705,77005
12,DAHMANE,Redouane,M.,DIV,Divers,29,"   0,08","   0,03",non,07705,07705,77005
