NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,CANEPARO,Bruno,M.,DVD,Divers droite,183,"   0,42","   0,23",non,07804,07804,78004
2,RATIVET,Bénédicte,Mme,REC,Reconquête !,2826,"   6,54","   3,53",non,07804,07804,78004
3,LEBEC,Marie,Mme,ENS,Ensemble ! (Majorité présidentielle),18308,"  42,34","  22,84",Bal.,07804,07804,78004
4,LELANDAIS,Sophie,Mme,RN,Rassemblement National,3739,"   8,65","   4,66",non,07804,07804,78004
5,CONSIGNY,Charles,M.,LR,Les Républicains,5523,"  12,77","   6,89",non,07804,07804,78004
6,MAUREL,Franck,M.,DXG,Divers extrême gauche,337,"   0,78","   0,42",non,07804,07804,78004
7,RICHARD-DESOUBEAUX,Chloé,Mme,ECO,Ecologistes,1107,"   2,56","   1,38",non,07804,07804,78004
8,BOURDON,Céline,Mme,NUP,Nouvelle union populaire écologique et sociale,10780,"  24,93","  13,45",Bal.,07804,07804,78004
9,ZANATTA,Céline,Mme,DIV,Divers,435,"   1,01","   0,54",non,07804,07804,78004
