NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,LALANDE,Sabine,Mme,NUP,Nouvelle union populaire écologique et sociale,21174,"  32,72","  16,82",Bal.,04405,04405,44005
2,VINCENT,Romain,M.,DVD,Divers droite,1284,"   1,98","   1,02",non,04405,04405,44005
3,CLOPEAU,Emmanuelle,Mme,DXG,Divers extrême gauche,630,"   0,97","   0,50",non,04405,04405,44005
4,CLEMENCE,Arnaud,M.,REC,Reconquête !,2394,"   3,70","   1,90",non,04405,04405,44005
5,EL HAIRY,Sarah,Mme,ENS,Ensemble ! (Majorité présidentielle),24235,"  37,45","  19,25",Bal.,04405,04405,44005
6,TRÉDAN,Maëlig,Mme,REG,Régionaliste,624,"   0,96","   0,50",non,04405,04405,44005
7,AVOT,Laure,Mme,DSV,Droite souverainiste,779,"   1,20","   0,62",non,04405,04405,44005
8,KARCHER,Millà,Mme,RN,Rassemblement National,7475,"  11,55","   5,94",non,04405,04405,44005
9,GARNIER,Didier,M.,DVC,Divers centre,2741,"   4,24","   2,18",non,04405,04405,44005
10,DEBUIRE,Jérôme,M.,ECO,Ecologistes,2686,"   4,15","   2,13",non,04405,04405,44005
11,KUCHARCZYK,Tadeusz,M.,DIV,Divers,688,"   1,06","   0,55",non,04405,04405,44005
