NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,EVRARD,Auguste,M.,RN,Rassemblement National,12140,"  27,46","  13,17",Bal.,06208,06208,62008
2,CARON,Philippe,M.,UDI,Union des Démocrates et des Indépendants,2235,"   5,06","   2,42",non,06208,06208,62008
3,ROUSSEL,Simon,M.,NUP,Nouvelle union populaire écologique et sociale,6961,"  15,75","   7,55",non,06208,06208,62008
4,VANDOMME,Laura,Mme,ECO,Ecologistes,804,"   1,82","   0,87",non,06208,06208,62008
5,MAYAUD,Aude,Mme,REC,Reconquête !,1037,"   2,35","   1,12",non,06208,06208,62008
6,POTTERIE,Benoît,M.,ENS,Ensemble ! (Majorité présidentielle),9440,"  21,36","  10,24",non,06208,06208,62008
7,BAYARD,Frédéric,M.,DSV,Droite souverainiste,556,"   1,26","   0,60",non,06208,06208,62008
8,SACHOT,Marie-Denise,Mme,DVD,Divers droite,505,"   1,14","   0,55",non,06208,06208,62008
9,PETIT,Bertrand,M.,DVG,Divers gauche,9961,"  22,54","  10,80",Bal.,06208,06208,62008
10,ZANNIS,Etienne,M.,DXG,Divers extrême gauche,563,"   1,27","   0,61",non,06208,06208,62008
