NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,DUIGOU,Yves,M.,RN,Rassemblement National,5865,"  12,10","   6,50",non,06905,06905,69005
2,JOINT,Bastien,M.,LR,Les Républicains,8449,"  17,43","   9,37",non,06905,06905,69005
3,LE BEL,Cédric,M.,REC,Reconquête !,3058,"   6,31","   3,39",non,06905,06905,69005
4,BOUARD,Stéphanie,Mme,ECO,Ecologistes,1442,"   2,97","   1,60",non,06905,06905,69005
5,BROCARD,Blandine,Mme,ENS,Ensemble ! (Majorité présidentielle),17508,"  36,12","  19,42",Bal.,06905,06905,69005
6,MATTEUCCI,Fabrice,M.,NUP,Nouvelle union populaire écologique et sociale,11063,"  22,82","  12,27",Bal.,06905,06905,69005
7,RIVIÈRE,Hélène,Mme,DXG,Divers extrême gauche,339,"   0,70","   0,38",non,06905,06905,69005
8,SLIMANI,Mohamed,M.,DIV,Divers,212,"   0,44","   0,24",non,06905,06905,69005
9,KABIL,Julie,Mme,DIV,Divers,542,"   1,12","   0,60",non,06905,06905,69005
