NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,BELLON,Sandrine,Mme,DIV,Divers,118,"   0,46","   0,19",non,09110,09110,91010
2,DE BOISHUE,Nicolas,M.,LR,Les Républicains,2068,"   8,00","   3,35",non,09110,09110,91010
3,AZZOUNI,Sabrine,Mme,REG,Régionaliste,78,"   0,30","   0,13",non,09110,09110,91010
4,ZAOUI,Mustapha,M.,ECO,Ecologistes,528,"   2,04","   0,85",non,09110,09110,91010
5,CARCASSET,Nadia,Mme,ENS,Ensemble ! (Majorité présidentielle),6779,"  26,21","  10,97",Bal.,09110,09110,91010
6,LECLERC,Monique,Mme,DXG,Divers extrême gauche,272,"   1,05","   0,44",non,09110,09110,91010
7,REHAB,Hanna,Mme,ECO,Ecologistes,655,"   2,53","   1,06",non,09110,09110,91010
8,CAMUS,Stephane,M.,DVD,Divers droite,490,"   1,89","   0,79",non,09110,09110,91010
9,CORMIER,Claudine,Mme,ECO,Ecologistes,292,"   1,13","   0,47",non,09110,09110,91010
10,VERA-FONTANO,Inès,Mme,REC,Reconquête !,948,"   3,67","   1,53",non,09110,09110,91010
11,GODIER,Marie,Mme,RN,Rassemblement National,3994,"  15,44","   6,46",non,09110,09110,91010
12,LÉAUMENT,Antoine,M.,NUP,Nouvelle union populaire écologique et sociale,9640,"  37,27","  15,59",Bal.,09110,09110,91010
