NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,PIRILLO,Aurélie,Mme,LR,Les Républicains,2172,"  10,85","   2,08",non,09910,09910,ZZ010
2,AZAR,Georges,M.,REC,Reconquête !,1702,"   8,50","   1,63",non,09910,09910,ZZ010
3,DOUDY,Justin,M.,DIV,Divers,26,"   0,13","   0,02",non,09910,09910,ZZ010
4,LAKRAFI,Amélia,Mme,ENS,Ensemble ! (Majorité présidentielle),6558,"  32,75","   6,29",Bal.,09910,09910,ZZ010
5,MAARAOUI,Caline,Mme,DIV,Divers,1110,"   5,54","   1,06",non,09910,09910,ZZ010
6,TAIEB,Alain,M.,DVC,Divers centre,1083,"   5,41","   1,04",non,09910,09910,ZZ010
7,DARVISH,Elisabeth,Mme,DVC,Divers centre,777,"   3,88","   0,74",non,09910,09910,ZZ010
8,DUGUÉ,Caroline,Mme,DVG,Divers gauche,237,"   1,18","   0,23",non,09910,09910,ZZ010
9,MOUSSA,Chantal,Mme,NUP,Nouvelle union populaire écologique et sociale,4513,"  22,54","   4,33",Bal.,09910,09910,ZZ010
10,LOOKY,Serilo,M.,DIV,Divers,21,"   0,10","   0,02",non,09910,09910,ZZ010
11,MALONGA DUCELLIER,Regina,Mme,DIV,Divers,270,"   1,35","   0,26",non,09910,09910,ZZ010
12,RAUMAIN,Deborah,Mme,RN,Rassemblement National,420,"   2,10","   0,40",non,09910,09910,ZZ010
13,HOJEIJ,Ali Camille,M.,DVC,Divers centre,639,"   3,19","   0,61",non,09910,09910,ZZ010
14,ZINZINDOHOUE,Viviane,Mme,ECO,Ecologistes,276,"   1,38","   0,26",non,09910,09910,ZZ010
15,MOJON-CHEMINADE,Odile,Mme,DVD,Divers droite,63,"   0,31","   0,06",non,09910,09910,ZZ010
16,ASKAR-WABERI,Ubah,Mme,DSV,Droite souverainiste,158,"   0,79","   0,15",non,09910,09910,ZZ010
