NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,KHELIL,Anna,Mme,REC,Reconquête !,1283,"   3,51","   1,71",non,04506,04506,45006
2,LEGROS,Raphaël,M.,ECO,Ecologistes,579,"   1,58","   0,77",non,04506,04506,45006
3,BOUBEKEUR,Carla,Mme,RN,Rassemblement National,7152,"  19,54","   9,51",non,04506,04506,45006
4,CHOQUEL,David,M.,DXG,Divers extrême gauche,349,"   0,95","   0,46",non,04506,04506,45006
5,RAMOS,Richard,M.,ENS,Ensemble ! (Majorité présidentielle),11851,"  32,38","  15,77",Bal.,04506,04506,45006
6,BAUMGARTNER,Gaël,M.,ECO,Ecologistes,1260,"   3,44","   1,68",non,04506,04506,45006
7,HICTER,Olivier,M.,NUP,Nouvelle union populaire écologique et sociale,9339,"  25,52","  12,42",Bal.,04506,04506,45006
8,DELAGUETTE,Xavier,M.,DIV,Divers,299,"   0,82","   0,40",non,04506,04506,45006
9,TOULOUGOUSSOU,Théodore-Richard,M.,DVG,Divers gauche,293,"   0,80","   0,39",non,04506,04506,45006
10,DE FILIPPI,Chrystel,Mme,LR,Les Républicains,3542,"   9,68","   4,71",non,04506,04506,45006
11,SILVESTRE,Dylan,M.,DVD,Divers droite,78,"   0,21","   0,10",non,04506,04506,45006
12,BIBET,Sébastien,M.,DSV,Droite souverainiste,570,"   1,56","   0,76",non,04506,04506,45006
