NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,RICHÉ,Philippe,M.,DXG,Divers extrême gauche,90,"   0,22","   0,11",non,01703,01703,17003
2,ARDOUIN,Jean-Philippe,M.,ENS,Ensemble ! (Majorité présidentielle),10111,"  24,53","  12,01",Bal.,01703,01703,17003
3,GIRAUD,Bertrand,M.,LR,Les Républicains,2826,"   6,86","   3,36",non,01703,01703,17003
4,COLLARD,Nathalie,Mme,RN,Rassemblement National,9192,"  22,30","  10,92",Bal.,01703,01703,17003
5,RAHMANI,Khamssa,Mme,DXG,Divers extrême gauche,239,"   0,58","   0,28",non,01703,01703,17003
6,RAÏSSAC-JARRARD,Nathalie,Mme,ECO,Ecologistes,793,"   1,92","   0,94",non,01703,01703,17003
7,WONG,Christian,M.,ECO,Ecologistes,500,"   1,21","   0,59",non,01703,01703,17003
8,DAHAN,Gérald,M.,NUP,Nouvelle union populaire écologique et sociale,8686,"  21,07","  10,32",non,01703,01703,17003
9,BOURHIS,Lydia,Mme,DSV,Droite souverainiste,507,"   1,23","   0,60",non,01703,01703,17003
10,BARUSSEAU,Fabrice,M.,DVG,Divers gauche,4061,"   9,85","   4,82",non,01703,01703,17003
11,ELMAYAN,Lorys,Mme,ECO,Ecologistes,609,"   1,48","   0,72",non,01703,01703,17003
12,PINEAU,Maurice,M.,REC,Reconquête !,1680,"   4,08","   2,00",non,01703,01703,17003
13,DIETZ,Pierre,M.,DVC,Divers centre,1922,"   4,66","   2,28",non,01703,01703,17003
