NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,LAHALLE,Lynda,Mme,DVD,Divers droite,3473,"   7,23","   3,60",non,01406,01406,14006
2,BORNE,Elisabeth,Mme,ENS,Ensemble ! (Majorité présidentielle),16491,"  34,32","  17,10",Bal.,01406,01406,14006
3,SAAD,Jemâa,Mme,DVG,Divers gauche,486,"   1,01","   0,50",non,01406,01406,14006
4,GEORGET,Pascale,Mme,DXG,Divers extrême gauche,547,"   1,14","   0,57",non,01406,01406,14006
5,GUETTIER,Mickaël,M.,DSV,Droite souverainiste,1195,"   2,49","   1,24",non,01406,01406,14006
6,ORMAIN,François,M.,DVC,Divers centre,723,"   1,50","   0,75",non,01406,01406,14006
7,GAUCHARD,Noé,M.,NUP,Nouvelle union populaire écologique et sociale,11786,"  24,53","  12,22",Bal.,01406,01406,14006
8,MBELO,Anne-Lyse,Mme,DVG,Divers gauche,889,"   1,85","   0,92",non,01406,01406,14006
9,DUPONT,Valérie,Mme,REC,Reconquête !,1342,"   2,79","   1,39",non,01406,01406,14006
10,BATTAIL,Bruno,M.,ECO,Ecologistes,672,"   1,40","   0,70",non,01406,01406,14006
11,ROY,Jean-Philippe,M.,RN,Rassemblement National,10447,"  21,74","  10,83",non,01406,01406,14006
